shot_amnt,dp_runtime_mean_microseconds,fft_runtime_mean_microseconds
1,4.05696,137.32448000000002
2,5.3224,139.10148
3,5.893260000000001,146.83542
4,6.6360600000000005,140.13608
5,7.53934,136.54988
6,9.497459999999998,153.75616
7,10.58372,150.82448000000002
8,12.41512,146.79712
9,14.188540000000001,151.95708
10,15.5923,148.34478
11,18.06448,152.11901999999998
12,20.208099999999998,152.88879999999997
13,22.62278,151.25995999999998
14,25.4435,154.05828
15,28.8119,158.87522
16,30.54498,156.79128
17,34.36068,168.14285999999998
18,38.14374,168.07766
19,41.40974,163.283
20,46.36018,168.11882
21,47.811800000000005,173.66206
22,55.17818,180.29038
23,55.840720000000005,170.60920000000002
24,65.73052,189.74438
25,64.80692,171.6191
26,70.91714,177.7243
27,79.16216,184.64776
28,79.0231,185.23092000000003
29,84.48164,183.63118
30,95.05266,188.76206
31,103.53604,198.55622
32,105.95653999999999,197.36866
33,109.52386,193.88335999999998
34,118.03282,202.33722
35,120.29864,204.6934
36,123.72444,197.23196
37,136.22028,210.36846
38,137.0267,204.13448
39,146.8853,204.8183
40,159.43354000000002,211.53866
41,166.33638,217.20756
42,171.81588,220.16038
43,180.29811999999998,223.15189999999998
44,180.8162,219.85764
45,201.48335999999998,228.86944
46,200.12606,228.46298000000002
47,208.24434,233.51178
48,217.98814000000002,229.75264
49,229.9844,236.5443
50,241.47173999999998,245.52151999999998
