bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.4886,,,,,,,,,,,,,,2b46a8ff-473c-4b97-b003-af3c14794cc4,293,,,"[106.7, 33.0]",16275,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Luis Alberto Suárez Díaz,5246.0,Center Forward,11,Barcelona,217,['8ba7b30c-cbf8-4fb0-be54-75962acdeefd'],3,,Left Foot,,"[114.1, 35.7, 0.1]",,"[{'location': [98.2, 50.7], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.5, 50.0], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.1, 35.9], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.1, 39.4], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.3, 34.1], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}]",f2032746-6ece-4a1b-b605-9bc33742709f,Saved,,0.20362423,Normal,Open Play,,,,Barcelona,217,00:05:03.208,Shot,
,,,,,,,,,,,,,,,,0.2146,,,,,,,,,,,,,,ca82d1ec-88de-4a23-a3f2-fa4e83a0ee68,297,,,"[104.9, 38.8]",16275,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Philippe Coutinho Correia,3501.0,Left Wing,11,Barcelona,217,"['4f56a54f-2727-49b0-a575-f6008598d259', 'f9f3db75-d1db-48f6-b4cf-06dac3fd3e43']",5,,Right Foot,,"[111.3, 39.0]",,"[{'location': [111.3, 39.0], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [109.2, 39.8], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.1, 49.4], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [94.2, 20.1], 'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [112.6, 25.5], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.7, 39.4], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.7, 39.7], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,Blocked,,0.07687691,Normal,Open Play,,,,Barcelona,217,00:05:05.727,Shot,
,,,,,,,,,,,,,,,,0.0925,,,,,,,,,,,,,,86aca323-e401-47ea-aa1a-014c1a79f1a7,337,,,"[111.2, 33.4]",16275,6,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,14,Barcelona,217,"['377aa737-5b0b-4bcf-9708-41fb5f9c212e', '82642d38-fc2a-487f-9237-061413d6b751']",2,,Right Foot,,"[113.5, 34.6]",True,"[{'location': [108.2, 45.8], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [113.8, 39.6], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.3, 36.5], 'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.7, 45.3], 'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.9, 30.2], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [88.1, 29.9], 'player': {'id': 13599, 'name': 'Carles Aleña Castillo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.3, 32.5], 'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.0, 34.7], 'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.4, 30.9], 'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [119.5, 37.1], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.9, 20.1], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.1, 33.7], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.4, 34.6], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}]",92ec7ccd-f79e-4e08-89c5-1a7e20c66316,Blocked,,0.09436024,Normal,Open Play,,,,Barcelona,217,00:06:02.083,Shot,
,,,,,,,,,,,,,,,,1.5751,,,,,,,,,,,,,,1888a126-7345-4b4e-8439-c1475fcccd93,341,,,"[103.8, 28.7]",16275,6,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Left Back,14,Barcelona,217,['708d0014-b7d2-43e6-8ac9-c6545c352463'],3,,Right Foot,,"[120.0, 46.1, 6.8]",True,"[{'location': [102.9, 60.1], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [90.4, 28.1], 'player': {'id': 13599, 'name': 'Carles Aleña Castillo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [118.4, 33.2], 'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [101.5, 30.1], 'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.3, 38.5], 'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.5, 44.0], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [109.8, 39.2], 'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.5, 33.9], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.6, 38.5], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.2, 38.0], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.7, 42.7], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.5, 27.5], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [120.0, 30.9], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [115.8, 40.5], 'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",,Off T,,0.046564475,Half Volley,Open Play,,,,Barcelona,217,00:06:03.688,Shot,
,,,,,,,,,,,,,,,,0.1105,,,,,,,,,,,,,,e43b2243-86b6-4ce6-98bf-26f723b821a3,1052,,,"[93.4, 30.6]",16275,21,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Philippe Coutinho Correia,3501.0,Left Wing,41,Barcelona,217,"['679560a4-86d5-49f3-a1c5-356cb0605eaa', '9d3526dd-80a3-40cb-a053-8a50ab2e1009']",12,,Right Foot,,"[94.7, 31.5]",,"[{'location': [88.2, 43.5], 'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [87.6, 33.9], 'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [94.0, 34.6], 'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [95.0, 49.3], 'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.4, 60.8], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.5, 49.8], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [103.1, 40.6], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.4, 31.6], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 35.7], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.1, 27.6], 'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [107.0, 32.7], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.4, 39.2], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [87.1, 25.4], 'player': {'id': 13599, 'name': 'Carles Aleña Castillo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.9, 20.0], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [96.9, 25.3], 'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [94.7, 31.5], 'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",f1b56aa9-d15c-4ffb-9779-c524bff16cf7,Blocked,,0.025361296,Normal,Open Play,,,,Barcelona,217,00:21:12.056,Shot,
,,,,,,,,,,,,,,,,1.2488,,,,,,,,,,,,,,a83838ae-e3b5-4955-b36b-c0efc4e2cdba,1084,,,"[92.5, 20.1]",16275,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Philippe Coutinho Correia,3501.0,Left Wing,42,Barcelona,217,['ecba4be2-bb07-43e3-bfe6-547e07045330'],0,,Right Foot,,"[117.8, 39.3, 0.3]",,"[{'location': [101.9, 59.8], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [88.2, 33.6], 'player': {'id': 13599, 'name': 'Carles Aleña Castillo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [84.7, 31.4], 'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.9, 48.5], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [98.0, 41.9], 'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.7, 39.3], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.7, 39.8], 'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.8, 27.5], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [101.1, 25.5], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [94.2, 26.2], 'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.5, 23.6], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.8, 17.2], 'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [81.2, 9.7], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [86.8, 11.8], 'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.4, 19.4], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.9, 20.7], 'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [117.9, 39.3], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",e9d87e40-723d-4f1e-9843-7cd683e85ff4,Saved,,0.00678333,Normal,Open Play,,,,Barcelona,217,00:22:00.286,Shot,
,,,,,,,,,,,,,,,,0.1188,,,,,,,,,,,,,,c8e5d7f5-26d4-46db-a99b-22e93271cba2,1397,,,"[106.3, 57.1]",16275,28,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Luis Alberto Suárez Díaz,5246.0,Center Forward,58,Barcelona,217,"['816c0144-5ae2-4b36-8ff1-edbbfa1f8465', 'f68dc5d3-119e-45d5-90ef-0ed555168514']",43,,Right Foot,True,"[115.7, 47.0, 0.2]",True,"[{'location': [87.4, 43.4], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.3, 56.4], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.8, 46.8], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.6, 37.0], 'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [95.3, 46.8], 'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.5, 41.1], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.7, 55.4], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}]",6f51f841-cf03-420b-a331-7eec5ae19035,Saved,,0.026529558,Normal,Open Play,,,,Barcelona,217,00:28:43.082,Shot,
,,,,,,,,,,,,,,,,0.9182,,,,,,,,,,,,,,56e2952d-5a1d-4103-9cd9-6ff2c88227d8,1412,,,"[112.8, 38.2]",16275,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,59,Barcelona,217,['db16749f-e646-4a1a-b03c-a72707772247'],22,,Head,,"[120.0, 37.9, 5.3]",,"[{'location': [112.8, 43.4], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.6, 46.7], 'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.2, 43.4], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.7, 39.5], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.4, 29.7], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [106.6, 25.4], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.2, 36.5], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.9, 36.5], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [119.7, 39.9], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.1, 65.9], 'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",fb934c27-80fb-4c38-bf33-aeb4f0ba346f,Off T,,0.17868578,Normal,Open Play,,,,Barcelona,217,00:29:22.935,Shot,
,,,,,,,,,,,,,,,,1.3189,,,,,,,,,,,,,,d9495b93-1ea0-4dad-b4db-b1af87c54ae9,1695,,,"[107.1, 48.7]",16275,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Rodrigo Ely,6636.0,Center Back,78,Deportivo Alavés,206,['8b14910b-eaca-4da4-b114-54321cb3852a'],53,,Head,,"[120.0, 36.8, 4.2]",,"[{'location': [107.5, 40.7], 'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.8, 48.1], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.6, 48.8], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.8, 51.3], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [101.5, 48.5], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.5, 46.6], 'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [107.0, 46.6], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.1, 46.6], 'player': {'id': 13599, 'name': 'Carles Aleña Castillo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.3, 45.3], 'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.3, 36.1], 'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.2, 39.5], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [101.7, 36.1], 'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.9, 39.5], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [95.6, 31.1], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.6, 40.2], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",c0493373-d608-4070-862c-44bf57d55428,Off T,,0.059528023,Normal,Open Play,,,,Deportivo Alavés,206,00:39:53.648,Shot,
,,,,,,,,,,,,,,,,0.0534,,,,,,,,,,,,,,87e29352-17b1-4bc7-a8fe-9c9276187322,1940,,,"[89.6, 35.6]",16275,44,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Carles Aleña Castillo,13599.0,Left Center Midfield,83,Barcelona,217,"['212aed1e-f289-40ce-a746-5ea3d5c67758', '511045f5-c180-4a7f-b6fc-b8e954c6883c']",21,,Left Foot,,"[91.8, 35.8]",,"[{'location': [95.7, 45.0], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [91.2, 60.3], 'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.0, 60.6], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.3, 58.6], 'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [99.3, 46.8], 'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.9, 52.2], 'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.4, 19.6], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.1, 29.7], 'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [98.9, 33.8], 'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.8, 41.4], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [92.5, 25.5], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.9, 21.3], 'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.2, 38.8], 'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.8, 35.8], 'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",85ea324e-0c39-4bf9-ac4b-1a86bc88d69f,Blocked,,0.015290774,Normal,Open Play,,,,Barcelona,217,00:44:21.953,Shot,
