50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.786958,,,,,,,,,,6121d4b7-6888-4362-9ee9-4e71f6de9c9f,269,,,"[106.0, 39.0]",19773,4,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Courtney Sweetman-Kirk,15611.0,Center Forward,10,Liverpool WFC,966,['779778c4-89a9-4fbf-9b29-d3f3ce74d4de'],38,Right Foot,"[120.0, 45.4, 3.2]",,"[{'location': [105.0, 29.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.0, 45.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 38.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.0, 33.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.0, 36.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.0, 35.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 23.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 26.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [89.0, 23.0], 'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [109.0, 50.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",b0b195ae-c96d-4012-8783-03a034948de4,,Off T,0.14038071,Half Volley,Open Play,,,,Liverpool WFC,966,00:04:38.668,Shot,
,,,,,,,,,,,,,2.131161,,,,,,,,,,f9fbce06-caec-41a1-9287-0e65efecda17,294,,,"[88.0, 49.0]",19773,5,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Inessa Kaagman,15579.0,Center Attacking Midfield,11,Everton LFC,967,['63301432-9637-4761-abe5-ff5b7fec07f6'],21,Right Foot,"[118.0, 37.0, 1.0]",True,"[{'location': [86.0, 42.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [83.0, 37.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 31.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 36.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 48.0], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [79.0, 58.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [78.0, 38.0], 'player': {'id': 18253, 'name': 'Hannah Cain'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [85.0, 42.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [81.0, 48.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.0, 33.0], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",1bead5a8-eee2-4a21-be35-93d777e47be3,,Goal,0.020345978,Normal,Open Play,,,,Everton LFC,967,00:05:21.318,Shot,
,,,,,,,,,,,,,0.158521,,,,,,,,,,aca97829-9abb-46cf-b7da-945e01cde869,618,,,"[112.0, 30.0]",19773,11,,,,,,,,,,,,,,,,,,,,,1,From Corner,Christie Murray,15628.0,Left Center Midfield,25,Liverpool WFC,966,"['8a2abc3e-6b88-42f4-a42c-045a8b51cbad', 'f9d5997b-05ed-4bd9-a90e-d142dd1e1904']",55,Right Foot,"[114.0, 31.0]",,"[{'location': [111.0, 41.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 47.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 39.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.0, 46.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 34.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.0, 32.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 35.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 30.0], 'player': {'id': 18253, 'name': 'Hannah Cain'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.0, 24.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 47.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [114.0, 39.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [115.0, 44.0], 'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.0, 48.0], 'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",10c08828-a2fe-436b-b75f-4089885892e0,,Blocked,0.10853159,Normal,Open Play,,,,Liverpool WFC,966,00:11:55.065,Shot,
,,,,,,,,,,,,,0.253925,,,,,,,,,,4d7401b7-cde2-4f8e-851b-9c4ee7c9be2c,624,,,"[113.0, 39.0]",19773,11,,,,,,,,,,,,,,,,,,,,,1,From Corner,Courtney Sweetman-Kirk,15611.0,Right Midfield,25,Liverpool WFC,966,['89dc14fd-daba-456b-a308-d59fd06f7bf9'],56,Right Foot,"[120.0, 40.1, 0.6]",True,"[{'location': [101.0, 32.0], 'player': {'id': 18253, 'name': 'Hannah Cain'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.0, 42.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 31.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 49.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 37.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.0, 26.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [112.0, 34.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.0, 30.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 47.0], 'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [113.0, 46.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [115.0, 43.0], 'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.0, 29.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",aeaa38db-2b6a-474f-ac3e-3d2bafa963f7,,Saved,0.38033155,Normal,Open Play,,,,Liverpool WFC,966,00:11:56.704,Shot,
,,,,,,,,,,,,,0.452659,,,,,,,,,,6cd44607-2702-4340-bf33-043761cd0391,627,,,"[118.0, 43.0]",19773,11,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jessica Anne Clarke,15218.0,Center Forward,25,Liverpool WFC,966,['23a5a03f-27b4-4f4a-ac86-e6f990645155'],58,Right Foot,"[120.0, 41.3, 1.6]",True,"[{'location': [115.0, 47.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 38.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.0, 41.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [117.0, 35.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 34.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.0, 37.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.0, 33.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 26.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [107.0, 46.0], 'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [114.0, 44.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [114.0, 39.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [116.0, 31.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,True,Goal,0.8297503,Half Volley,Open Play,,,,Liverpool WFC,966,00:11:58.413,Shot,
,,,,,,,,,,,,,1.682789,,,,,,,,,,79568198-3c77-441a-8ecd-c53f2d8c9384,654,,,"[89.0, 36.0]",19773,13,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Rinsola Babajide,15613.0,Left Midfield,26,Everton LFC,967,['d20bb11f-ffcb-4ca8-b8ff-05f37fdd0f4b'],10,Left Foot,"[120.0, 38.3, 3.7]",,"[{'location': [98.0, 29.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.0, 37.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [87.0, 42.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.0, 48.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 37.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.0, 49.0], 'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.0, 42.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [88.0, 46.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,,Off T,0.020563932,Normal,Open Play,,,,Liverpool WFC,966,00:13:10.206,Shot,
,,,,,,,,,,,,,0.720382,,,,,,,,,,eddfe749-06a4-4ef4-bd99-926d4b81c80b,685,,,"[105.0, 49.0]",19773,14,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Hannah Cain,18253.0,Center Forward,29,Everton LFC,967,['50b021a4-5874-44c2-a593-5c0d088c663f'],23,Right Foot,"[118.0, 42.0, 1.2]",,"[{'location': [104.0, 45.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 47.0], 'player': {'id': 15629, 'name': 'Satara Murray'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 48.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 50.0], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 42.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 42.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",8c2ae58d-221b-4241-8069-0c57ab57f7dc,,Saved,0.08530081,Normal,Open Play,,,,Everton LFC,967,00:14:23.438,Shot,
,,,,,,,,,,,,,1.01158,,,,,,,,,,0ca71c4b-7b7b-4e18-89e6-855d2577ff1c,986,,,"[106.0, 29.0]",19773,23,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Jessica Anne Clarke,15218.0,Left Midfield,50,Liverpool WFC,966,['a4be2a16-3dcd-40fc-9592-907b8622c830'],27,Right Foot,"[119.0, 42.0, 0.3]",,"[{'location': [98.0, 48.0], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.0, 25.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.0, 33.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [92.0, 34.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 48.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 33.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 29.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 25.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.0, 31.0], 'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [106.0, 48.0], 'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [112.0, 45.0], 'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.0, 27.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",1ca165aa-d462-4e69-a008-637f83a7b124,,Saved,0.10472007,Normal,Open Play,,,,Liverpool WFC,966,00:23:27.193,Shot,
,,,,,,,,,,,,,0.887453,,,,,,,,,,3e4a02fc-76a3-41cf-9a3c-e8f31c001861,1357,,,"[93.0, 26.0]",19773,32,,,,,,,,,,,,,,,,,,,,,1,From Counter,Courtney Sweetman-Kirk,15611.0,Center Forward,73,Liverpool WFC,966,['a9a9ce2b-8e24-414c-b273-5bf1fe89fca4'],16,Right Foot,"[120.0, 46.0, 2.3]",,"[{'location': [92.0, 30.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.0, 47.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.0, 32.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.0, 33.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 39.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 27.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 24.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 45.0], 'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.0, 58.0], 'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [102.0, 28.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",c832a810-0e98-4bd0-aaa3-6c1bef3b5fc4,,Off T,0.031541288,Normal,Open Play,,,,Liverpool WFC,966,00:32:16.732,Shot,
,,,,,,,,,,,,,0.515757,,,,,,,,,,1f224840-71d3-49d6-b77f-1334838db17a,1384,,,"[111.0, 45.0]",19773,32,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Inessa Kaagman,15579.0,Center Attacking Midfield,74,Everton LFC,967,['5df2579a-2fac-48b5-9d3c-804124784541'],58,Right Foot,"[117.0, 38.5, 0.9]",True,"[{'location': [109.0, 32.0], 'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 29.0], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 24.0], 'player': {'id': 18253, 'name': 'Hannah Cain'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.0, 47.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",bbbc8d35-4336-447f-acfc-ca913db2a913,,Saved,0.363465,Normal,Open Play,,,,Everton LFC,967,00:32:58.028,Shot,
