50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.1993,,,,,,,,,,,,,9c4a796f-fda8-41ac-a67e-f248330cae98,305,,,"[107.8, 28.2]",19813,8,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emma Follis,15557.0,Right Wing,18,Birmingham City WFC,969,"['7a3acc61-92b9-4f46-ae7a-6f95e22fd92b', 'd27422d1-dca3-4d5c-b20f-ad83f24ca997']",2,Right Foot,"[108.5, 29.0]",,"[{'location': [101.5, 26.0], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.3, 14.6], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.0, 39.7], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.1, 44.0], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [87.2, 31.1], 'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [101.4, 25.2], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.1, 47.8], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.6, 43.4], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.5, 39.5], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 37.9], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.8, 28.4], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.3, 29.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 29.6], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",22139cf2-ea5c-4e16-9c6e-983660e42e8c,Blocked,0.045434393,Normal,Open Play,,,,Birmingham City WFC,969,00:08:02.333,Shot,
,,,,,,,,,,,,,,,0.1391,,,,,,,,,,,,,c9ecba57-a838-4652-8897-f16b59efe7b7,309,,,"[108.7, 24.3]",19813,8,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Charlie Wellings,15563.0,Left Wing,18,Birmingham City WFC,969,"['13db453f-7c3c-428e-a052-4e4017191fcd', '33e7635d-3965-4dd3-a501-43a54ff8142a']",4,Left Foot,"[109.4, 25.3]",True,"[{'location': [101.4, 17.7], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [107.7, 27.1], 'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.7, 32.3], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.1, 43.3], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [88.9, 33.1], 'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [118.9, 37.2], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.5, 20.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.5, 26.0], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.3, 26.3], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 28.1], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.8, 31.8], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.8, 42.5], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.1, 43.9], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",,Blocked,0.036418602,Normal,Open Play,,,,Birmingham City WFC,969,00:08:04.714,Shot,
,,,,,,,,,,,,,,,0.8805,,,,,,,,,,,,,612d284c-5157-41c6-9cd3-46b698f2524e,315,,,"[114.1, 44.7]",19813,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Meaghan Sargeant,19502.0,Right Center Back,19,Birmingham City WFC,969,"['38ca16c9-f20f-484d-ba34-4488cc5c596b', 'c0093e83-bf33-4471-937e-80a31476de6d']",45,Left Foot,"[118.6, 41.0]",True,"[{'location': [117.0, 43.2], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.7, 45.4], 'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [116.5, 42.3], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.1, 36.8], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [115.1, 39.9], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.5, 42.6], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.3, 40.5], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.6, 40.4], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.1, 37.6], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [120.0, 38.4], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 41.5], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.7, 42.1], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [116.4, 42.9], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.6, 45.4], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.7, 48.9], 'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [113.7, 51.8], 'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.6, 43.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",,Blocked,0.13996236,Volley,Open Play,,,,Birmingham City WFC,969,00:08:45.988,Shot,
,,,,,,,,,,,,,,,0.086,,,,,,,,,,,,,5f9e5c7c-535f-4eb4-8241-db3ceb6aea20,321,,,"[102.3, 48.4]",19813,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Charlie Wellings,15563.0,Left Wing,19,Birmingham City WFC,969,"['35662cff-aa6e-4fc4-a9d1-7abf9a6ba7e2', 'eb7fbbfe-e521-4062-aa6c-62d535b518b9']",49,Right Foot,"[104.5, 47.3]",,"[{'location': [118.1, 40.1], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.2, 42.5], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.9, 41.7], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.8, 38.6], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.7, 42.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 50.8], 'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.3, 40.7], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.7, 42.9], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [114.0, 39.9], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.4, 45.2], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.9, 47.1], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.6, 48.6], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [103.4, 50.2], 'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [108.2, 58.7], 'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [87.3, 46.2], 'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [102.6, 35.9], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.0, 40.5], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.6, 42.7], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,Blocked,0.052803025,Half Volley,Open Play,,,,Birmingham City WFC,969,00:08:49.191,Shot,
,,,,,,,,,,,,,,,0.5936,,,,,,,,,,,,,44fc1833-5c14-4a8f-9cf4-bf37d5e58a03,1002,,,"[110.1, 41.1]",19813,26,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adriana Kristina Leon,8297.0,Right Wing,51,West Ham United LFC,972,['bdf59323-cecd-4db1-95a0-064383979ac5'],14,Left Foot,"[120.0, 37.9, 1.6]",True,"[{'location': [118.7, 39.4], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.6, 36.8], 'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 32.8], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [118.6, 17.1], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.3, 20.1], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.8, 38.0], 'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.6, 39.1], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.3, 34.1], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",e7e8e23a-95c8-4584-9018-bf5841d2ec8a,Goal,0.14396788,Volley,Open Play,,,,West Ham United LFC,972,00:26:14.572,Shot,
,,,,,,,,,,,,,,,1.3082,,,,,,,,,,,,,57a22009-e624-4433-9ae6-4108bbbf2f16,1224,,,"[102.7, 46.2]",19813,32,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Charlie Wellings,15563.0,Left Wing,60,Birmingham City WFC,969,['7111810c-25be-41b6-920a-633052d09363'],38,Left Foot,"[104.1, 36.8]",True,"[{'location': [108.6, 60.7], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.9, 42.5], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.1, 43.2], 'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [107.9, 28.9], 'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.8, 39.3], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.5, 42.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.3, 42.9], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.8, 39.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.1, 31.3], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.8, 44.6], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.5, 46.7], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",,Blocked,0.05821529,Half Volley,Open Play,,,,Birmingham City WFC,969,00:32:38.797,Shot,
,,,,,,,,,,,,,,,1.2309,,,,,,,,,,,,,cfb55350-2a47-46d4-b69a-1e35505592d4,1472,,,"[100.3, 37.9]",19813,43,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Hayley Ladd,19501.0,Right Defensive Midfield,73,Birmingham City WFC,969,['a3a49657-e267-49bd-9513-c466a90dc857'],15,Right Foot,"[120.0, 36.6, 1.8]",,"[{'location': [108.5, 38.9], 'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.5, 39.4], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.1, 41.0], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.1, 45.9], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.7, 44.2], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.9, 40.7], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.5, 34.4], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.5, 38.4], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.4, 37.8], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.2, 37.2], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.6, 38.9], 'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.0, 47.7], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.6, 46.3], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.7, 43.0], 'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [107.3, 31.8], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [107.9, 39.8], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,Goal,0.09366026,Normal,Free Kick,,,,Birmingham City WFC,969,00:43:15.919,Shot,
,,,,,,,,,,,,,,,1.4459,,,,,,,,,,,,,1b452a39-c074-4067-a997-f0cf8daed948,1713,,,"[101.0, 39.9]",19813,46,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marisa Ewers,15565.0,Left Defensive Midfield,90,Birmingham City WFC,969,['e6a09f27-fa2d-4f6b-a40d-a8fb742f2a88'],24,Right Foot,"[120.0, 41.5, 3.7]",True,"[{'location': [111.5, 49.6], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.1, 58.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 54.4], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.1, 56.6], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.6, 45.6], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.4, 49.4], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.0, 51.1], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.1, 58.6], 'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.1, 66.6], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.4, 37.9], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.9, 28.9], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [119.0, 38.2], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.7, 38.0], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.5, 30.5], 'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.4, 39.8], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.4, 42.3], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",,Off T,0.0709535,Volley,Open Play,,,,Birmingham City WFC,969,00:01:24.613,Shot,
,,,,,,,,,,,,,,,0.9621,,,,,,,,,,,,,6b9375c7-e663-488f-abfc-acdaa1852664,2109,,,"[111.0, 39.3]",19813,57,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Claudia Walker,15580.0,Right Wing,115,Birmingham City WFC,969,['09bce395-50f2-42fc-b834-4afa4e2559d4'],57,Right Foot,"[120.0, 39.8, 3.7]",True,"[{'location': [118.9, 47.9], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.1, 42.4], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.5, 41.0], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.6, 39.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 40.2], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.4, 37.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.3, 41.4], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.1, 36.5], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [119.8, 49.2], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [116.9, 42.5], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [116.2, 39.1], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,Off T,0.11899585,Volley,Open Play,,,,Birmingham City WFC,969,00:12:57.475,Shot,
,,,,,,,,,,,,,,,1.283679,,,,,,,,,,,,,7657e1cf-3c07-42de-a6ac-bca7828581cb,2144,,,"[87.2, 47.2]",19813,58,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Harriet Scott,19592.0,Right Back,119,Birmingham City WFC,969,['16a7db40-bd25-4dc3-b5c6-2ff7e98a1215'],53,Right Foot,"[120.0, 34.0, 1.0]",,"[{'location': [88.4, 39.3], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [92.5, 46.1], 'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.2, 41.4], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.9, 53.6], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 30.1], 'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.8, 17.2], 'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [96.7, 44.2], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.7, 39.2], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.4, 32.2], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.3, 29.1], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [87.4, 30.7], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",7b1d474e-81a9-42df-99f4-2870e002c1ea,Off T,0.020241689,Normal,Open Play,,,,Birmingham City WFC,969,00:13:53.349,Shot,
