ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.780458,,,,,,,,,,,,65e39da7-f47d-4ce8-90fa-663d27763f93,142,,,"[98.6, 35.8]",3754057,4,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Vadis Odjidja-Ofoe,23742.0,Center Attacking Midfield,11,Norwich City,56,['db62c828-211f-4cf7-b563-753f026c2c70'],15,,Right Foot,"[118.3, 42.2, 0.9]",,"[{'location': [98.8, 53.3], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.2, 49.4], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.4, 60.5], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.2, 48.8], 'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.8, 42.0], 'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.3, 43.6], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.5, 37.1], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.9, 33.0], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.1, 33.1], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.3, 39.5], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.4, 33.5], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [93.5, 39.0], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",6a3091d2-cd89-47fe-afa0-5a4aab368a5a,,,Saved,0.07749127,Normal,Open Play,,,,Norwich City,56,00:04:15.170,Shot,
,,,,,,,,,,,,,,,,1.468928,,,,,,,,,,,,5f094a73-1fb4-4096-929f-7e50225c18fe,151,,,"[111.3, 36.1]",3754057,4,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Sébastien Aymar Bassong Nguena,31296.0,Left Center Back,12,Norwich City,56,"['c8450594-2f70-409d-a4a3-2236b56f5746', 'eda321a5-e036-48d8-8662-13ed4362d0c6']",59,True,Head,"[120.0, 53.8, 0.6]",,"[{'location': [112.2, 36.2], 'player': {'id': 23742, 'name': 'Vadis Odjidja-Ofoe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.4, 40.1], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.9, 24.0], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.1, 57.4], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.8, 52.9], 'player': {'id': 16932, 'name': 'Youssouf Chafiq Mulumbu Ngangu'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [112.6, 49.8], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.8, 48.6], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.1, 38.8], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.8, 40.2], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.8, 44.0], 'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.2, 42.3], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 37.3], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.4, 25.9], 'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.1, 36.6], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [110.6, 38.6], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",6c056f7f-de3c-4102-9386-1686a67ae5d7,,,Off T,0.09163061,Normal,Open Play,,,,Norwich City,56,00:04:59.414,Shot,True
,,,,,,,,,,,,,,,,1.13666,,,,,,,,,,,,eeb7f785-58ba-4dbf-a4f6-40ea55195efc,513,,,"[100.6, 59.8]",3754057,15,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Robert Brady,10967.0,Left Wing,35,Norwich City,56,['c8493b5d-ea04-4b1b-8a20-fcaf568540a3'],19,,Left Foot,"[119.2, 42.7, 1.9]",True,"[{'location': [113.9, 38.2], 'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.7, 33.6], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [113.3, 31.5], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.1, 32.7], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.6, 37.4], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [104.5, 58.0], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.5, 35.8], 'player': {'id': 16932, 'name': 'Youssouf Chafiq Mulumbu Ngangu'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [118.5, 41.7], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.1, 42.1], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.9, 39.3], 'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': True}, {'location': [111.7, 36.4], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [106.2, 37.7], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.6, 45.7], 'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.6, 34.6], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.5, 32.8], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.9, 36.1], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.1, 56.9], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.4, 64.7], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",bc653f1b-5d13-4291-a22f-d24cdd636d06,,,Saved,0.008913649,Normal,Open Play,,,,Norwich City,56,00:15:19.441,Shot,
,,,,,,,,,,,,,,,,0.346822,,,,,,,,,,,,ce287f6f-323c-404c-8d6b-7409174e8d95,518,,,"[117.6, 37.6]",3754057,16,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Cameron Jerome,4807.0,Center Forward,36,Norwich City,56,"['04f66935-f181-43fe-b89f-b799661f3351', '4a0be689-8005-4b06-a51a-be868e3428a8']",14,True,Head,"[120.0, 41.8, 3.6]",,"[{'location': [119.3, 39.9], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.3, 47.4], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.2, 48.0], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.7, 62.2], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 32.6], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.4, 40.3], 'player': {'id': 23742, 'name': 'Vadis Odjidja-Ofoe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [117.4, 38.5], 'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [117.8, 42.0], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.8, 32.7], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [115.7, 37.0], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.5, 35.7], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.2, 47.7], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 41.4], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.8, 47.7], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.5, 45.0], 'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 56.5], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",229a28a9-9789-4ef8-a5bc-a391cf59193e,,True,Off T,0.22802804,Normal,Open Play,,,,Norwich City,56,00:16:14.430,Shot,True
,,,,,,,,,,,,,,,,0.319988,,,,,,,,,,,,e0466ed9-7a96-46da-b8eb-09c8e018f8b5,712,,,"[110.7, 54.6]",3754057,22,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Bamidele Alli,3094.0,Center Attacking Midfield,51,Tottenham Hotspur,38,['0952b40e-1142-4606-bcb3-a9a996687ade'],8,,Right Foot,"[116.3, 46.5, 1.6]",True,"[{'location': [97.4, 19.7], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.3, 53.2], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 39.1], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.7, 35.1], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.4, 45.7], 'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.9, 37.4], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.0, 39.3], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",f3748028-0ae7-4b71-a98e-e6fc21120926,,,Saved,0.0954776,Normal,Open Play,,,,Tottenham Hotspur,38,00:22:08.590,Shot,
,,,,,,,,,,,,,,,,1.67802,,,,,,,,,,,,7953bcd2-71a2-4daa-80a0-547068f18100,715,,,"[109.5, 49.0]",3754057,22,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Harry Kane,10955.0,Center Forward,51,Tottenham Hotspur,38,['5cc1034e-80c7-4d8c-ad51-50bd48832964'],10,,Right Foot,"[120.0, 28.9, 0.4]",True,"[{'location': [111.8, 38.3], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.1, 43.1], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.5, 41.3], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.8, 50.0], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.6, 45.5], 'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.3, 23.5], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.0, 53.8], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.9, 41.6], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,,Off T,0.2554363,Normal,Open Play,,,,Tottenham Hotspur,38,00:22:10.806,Shot,
,,,,,,,,,,,,,,,,0.485011,,,,,,,,,,,,ca813dec-c15e-47de-85d6-106d1dedd719,802,,,"[108.1, 40.1]",3754057,25,,,,,,,,,,,,,,,,,,,,,,1,Other,Harry Kane,10955.0,Center Forward,57,Tottenham Hotspur,38,['190c3469-cf5b-42cb-8293-240a7a51af37'],52,,Right Foot,"[120.0, 39.4, 1.5]",,,,,,Goal,0.7835,Normal,Penalty,,,,Tottenham Hotspur,38,00:25:52.843,Shot,
,,,,,,,,,,,,,,,,0.259188,,,,,,,,,,,,213261e6-c954-4357-b0f2-c597e3345583,1048,,,"[115.0, 38.2]",3754057,34,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Toby Alderweireld,20005.0,Right Center Back,79,Tottenham Hotspur,38,['6cea5db2-0a8b-4cfc-a83e-752dfb3331b3'],12,,Head,"[118.9, 41.1, 2.1]",,"[{'location': [113.3, 46.1], 'player': {'id': 23742, 'name': 'Vadis Odjidja-Ofoe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.2, 44.2], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.3, 20.5], 'player': {'id': 16932, 'name': 'Youssouf Chafiq Mulumbu Ngangu'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.7, 40.3], 'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.7, 37.2], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.8, 34.2], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 33.3], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.7, 41.2], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.6, 31.1], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.7, 28.5], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [115.1, 31.1], 'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [116.3, 31.1], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.6, 15.1], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.7, 45.4], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.9, 45.4], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",6846d779-f425-4f02-b869-c5c96e1ce94a,,,Saved,0.20645288,Normal,Open Play,,,,Tottenham Hotspur,38,00:34:12.694,Shot,
,,,,,,,,,,,,,,,,0.549935,,,,,,,,,,,,47d355f9-e104-45a8-a162-e189cb511b79,1051,,,"[115.8, 42.5]",3754057,34,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Bamidele Alli,3094.0,Center Attacking Midfield,79,Tottenham Hotspur,38,['d98f6790-c60b-4780-b2cc-f2556fb5841b'],14,,Head,"[119.2, 40.0, 2.4]",,"[{'location': [117.5, 42.4], 'player': {'id': 23742, 'name': 'Vadis Odjidja-Ofoe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.3, 25.4], 'player': {'id': 16932, 'name': 'Youssouf Chafiq Mulumbu Ngangu'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.5, 36.9], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.2, 31.1], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [115.6, 39.5], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.9, 39.5], 'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 31.6], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.3, 35.9], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 25.1], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.3, 40.4], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [104.7, 42.0], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [99.5, 24.6], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.7, 30.6], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [112.4, 34.9], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.8, 27.0], 'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [116.5, 31.5], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,,Saved,0.21603069,Normal,Open Play,,,,Tottenham Hotspur,38,00:34:14.826,Shot,
,,,,,,,,,,,,,,,,0.39876,,,,,,,,,,,,d47fd1ca-f376-4d11-ac38-6bbc62509a77,1057,,,"[114.7, 45.1]",3754057,35,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Toby Alderweireld,20005.0,Right Center Back,81,Tottenham Hotspur,38,['1d53f981-d792-4cbd-80bb-fff480c14cc8'],13,,Head,"[120.0, 45.1, 2.2]",,"[{'location': [118.4, 42.6], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.9, 34.9], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.5, 40.5], 'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 63.5], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.4, 48.8], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [115.4, 52.9], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.3, 35.2], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.3, 42.6], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.1, 37.6], 'player': {'id': 23742, 'name': 'Vadis Odjidja-Ofoe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [115.5, 40.4], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.9, 51.8], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [114.5, 53.6], 'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [109.5, 38.8], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [114.2, 34.5], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [120.0, 76.8], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",de1f89b0-a1a0-434e-9656-2db045ce021b,,,Off T,0.12539689,Normal,Open Play,,,,Tottenham Hotspur,38,00:35:13.159,Shot,
