ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.12776,,,,,,,,,,,,,,,4cfefc11-ce2d-452c-a76d-dcdccfa1f8fb,130,,"[100.4, 29.1]",3754156,3,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jeffrey Schlupp,3520.0,Left Midfield,8,Leicester City,22,['f93c5ad4-b275-495e-a5f5-7481a4f4ba72'],40,,Left Foot,"[120.0, 38.1, 6.9]",True,"[{'location': [105.6, 26.7], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.3, 36.3], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.6, 35.8], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.4, 44.6], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [92.4, 40.1], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [88.1, 50.5], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [116.5, 38.2], 'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.1, 22.2], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [98.1, 36.3], 'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [104.7, 30.8], 'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.7, 36.4], 'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.5, 39.1], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 32.6], 'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.2, 41.0], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [110.3, 43.5], 'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 29.6], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,Off T,,0.03825098,Half Volley,Open Play,,,,Leicester City,22,00:03:40.853,Shot,
,,,,,,,,,,,,,,1.058966,,,,,,,,,,,,,,,30602c11-a480-4f39-9c48-7a80e26de293,337,,"[96.0, 51.3]",3754156,9,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Etienne Capoue,3721.0,Right Center Midfield,17,Watford,23,['b67eb372-5c9a-476b-af15-6b87d1810425'],18,,Right Foot,"[117.0, 40.6, 0.4]",True,"[{'location': [94.1, 65.4], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.2, 37.5], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [114.5, 66.2], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.4, 47.9], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [87.2, 42.3], 'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [111.9, 58.7], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.4, 38.8], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.2, 59.0], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [92.1, 40.7], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [89.8, 30.6], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [117.4, 41.0], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.5, 41.7], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.5, 39.0], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.8, 35.8], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.8, 31.5], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.0, 33.8], 'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [108.3, 36.9], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",a30db092-b17c-42d3-99cb-b675cb2e1163,Saved,,0.03136356,Normal,Open Play,,,,Watford,23,00:09:18.579,Shot,
,,,,,,,,,,,,,,0.947109,,,,,,,,,,,,,,,210a10fd-7464-40ef-8fd8-769319349f37,519,,"[105.0, 53.0]",3754156,14,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marc Albrighton,3307.0,Right Midfield,29,Leicester City,22,"['660732c0-0cae-4deb-9885-4475a2ee833e', 'c745ba93-e4e9-4b97-87ef-3a6125f03f55']",18,,Left Foot,"[119.1, 45.2, 0.3]",,"[{'location': [106.8, 63.1], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.3, 57.0], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [98.4, 55.9], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [107.6, 40.7], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [117.0, 43.4], 'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.8, 59.6], 'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.2, 42.5], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.2, 40.2], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.8, 50.6], 'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.8, 43.1], 'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.4, 52.4], 'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.9, 57.7], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.6, 57.7], 'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",,Saved Off Target,True,0.047358267,Half Volley,Open Play,,,,Leicester City,22,00:14:18.138,Shot,True
,,,,,,,,,,,,,,0.773725,,,,,,,,,,,,,,,d57c5da2-002e-4d47-bf41-99f2b3cdb61d,661,,"[108.0, 28.9]",3754156,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Odion Jude Ighalo,5458.0,Left Center Forward,38,Watford,23,"['55ba1d8c-1f72-4605-bfa5-78b9368b21af', '767586de-3cb4-4ae2-aa99-fcb39d68aaff']",14,,Right Foot,"[120.0, 44.1, 0.2]",,"[{'location': [117.2, 37.0], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.1, 46.8], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.7, 34.0], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 29.4], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.7, 15.0], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [109.3, 29.3], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.5, 35.7], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [87.8, 15.5], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.1, 24.7], 'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",f324c24a-b4a9-4513-9082-e3777ce5dac5,Post,,0.07106884,Half Volley,Open Play,,,,Watford,23,00:19:14.766,Shot,True
,,,,,,,,,,,,,,0.531186,,,,,,,,,,,,,,,5adbec98-634a-46e4-9afe-d8927f738bd5,664,,"[103.1, 31.7]",3754156,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Almen Abdi,43081.0,Left Midfield,38,Watford,23,['f4e9dd00-b8b0-4482-97f1-cc6f4a4e0e78'],17,,Right Foot,"[116.9, 38.7, 2.1]",True,"[{'location': [110.0, 40.7], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [109.5, 28.1], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.5, 20.5], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [99.9, 34.5], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.4, 33.8], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.4, 46.5], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.6, 38.2], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.5, 32.2], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.2, 30.1], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.1, 39.5], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,Saved,,0.05609921,Half Volley,Open Play,,,,Watford,23,00:19:17.268,Shot,
,,,,,,,,,,,,,,1.268495,,,,,,,,,,,,,,,a124be95-99f6-4fd9-bdcc-27bbe2ed3ced,811,,"[85.8, 56.0]",3754156,24,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Etienne Capoue,3721.0,Right Center Midfield,45,Watford,23,['0fc4d815-4ebc-4ae6-b42b-9e4b60cea220'],15,,Right Foot,"[120.0, 30.6, 3.5]",,"[{'location': [99.8, 35.5], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [101.1, 31.0], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.2, 38.2], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.7, 46.0], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.1, 40.4], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.4, 31.6], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [87.2, 38.5], 'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [87.5, 41.1], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [79.1, 72.4], 'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [81.8, 72.3], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [82.9, 70.8], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [94.6, 75.0], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [99.4, 64.2], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.3, 54.3], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [87.0, 52.8], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",b0df9918-23e3-4bd7-b72e-4edf7c8ab1e7,Off T,,0.006013275,Normal,Open Play,,,,Watford,23,00:24:15.995,Shot,
,,,,,,,,,,,,,,0.892293,,,,,,,,,,,,,,,98251a25-916f-4b1c-94dd-2b91ac37fcdf,887,,"[99.6, 53.9]",3754156,26,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Marc Albrighton,3307.0,Right Midfield,46,Leicester City,22,['f8133e52-2524-402b-9e68-2206f77c378a'],4,,Left Foot,"[116.1, 43.3, 0.9]",,"[{'location': [103.9, 46.9], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [97.6, 51.6], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [106.6, 37.2], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.0, 41.7], 'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 39.4], 'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.4, 35.9], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.5, 32.1], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.5, 39.4], 'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.6, 45.4], 'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.6, 59.2], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [100.0, 57.0], 'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.6, 47.2], 'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.3, 52.2], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.9, 62.1], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",5cdf2b2f-c07a-4f81-8bd1-e9ea0a2558c6,Saved,,0.03241188,Normal,Open Play,,,,Leicester City,22,00:26:04.509,Shot,
,,,,,,,,,,,,,,0.758416,,,,,,,,,,,,,,,6ddabe5c-5ae7-42c3-89da-5aa9352b0898,1395,,"[98.4, 36.0]",3754156,37,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jamie Vardy,10960.0,Center Forward,70,Leicester City,22,"['6262ac34-edf9-4318-93cd-7539356bcc10', 'b35a7d58-e177-4102-828c-357c1c5a7bca']",12,,Right Foot,"[114.3, 40.3, 0.2]",,"[{'location': [114.4, 39.7], 'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.3, 48.4], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.0, 34.0], 'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.9, 34.9], 'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.2, 36.3], 'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.5, 24.3], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.9, 21.9], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [96.1, 33.0], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [97.0, 55.9], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",c8ac16dc-ba18-4215-a629-2fea4dd8c2dd,Saved,,0.12452502,Normal,Open Play,,,,Leicester City,22,00:37:12.167,Shot,True
,,,,,,,,,,,,,,0.594048,,,,,,,,,,,,,,,ccd248a9-17ac-444a-a23b-7e2621b576ba,1585,,"[98.8, 34.9]",3754156,43,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Almen Abdi,43081.0,Left Midfield,84,Watford,23,"['8b11d84c-67db-4055-befc-4a0573486238', 'ef41458e-3b79-4013-9a4a-8edd5a2e43c3']",39,,Right Foot,"[113.6, 33.2]",True,"[{'location': [101.9, 45.6], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [101.0, 31.9], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [111.6, 47.0], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.5, 35.8], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [110.1, 41.4], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.8, 43.8], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 42.5], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.5, 32.8], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.3, 35.2], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.1, 39.9], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.6, 49.6], 'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.5, 45.1], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [105.8, 33.1], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [114.1, 46.0], 'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [115.7, 31.0], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [113.3, 79.1], 'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [94.0, 28.2], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,Blocked,,0.03593927,Volley,Open Play,,,,Watford,23,00:43:39.964,Shot,
,,,,,,,,,,,,,,1.336886,,,,,,,,,,,,,,,56163720-8cdc-49d8-9a8d-efb66e73a530,1690,,"[106.5, 40.8]",3754156,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jamie Vardy,10960.0,Center Forward,93,Leicester City,22,['c09d947b-1d5c-4fc0-b747-d19df000fa4f'],51,,Right Foot,"[97.7, 17.9]",True,"[{'location': [103.8, 62.3], 'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.6, 62.4], 'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.1, 47.8], 'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.1, 58.2], 'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.2, 36.9], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.0, 46.0], 'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.2, 41.9], 'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.2, 35.9], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.8, 40.9], 'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.7, 45.0], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [107.8, 35.4], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [107.7, 71.8], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.8, 54.0], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",85e76924-a5c0-4586-91a1-dcb5309bc48e,Wayward,,0.08751145,Volley,Open Play,,,,Leicester City,22,00:00:51.316,Shot,
