50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.523108,,,,,,,,,,,,5af2f4e5-62db-4808-82e1-6301c8b53a94,345,,,"[95.6, 41.3]",3754186,7,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Juan Manuel Mata García,3294.0,Center Attacking Midfield,18,Manchester United,39,['99863a83-d761-4f98-b398-b8f54e87478c'],52,,Left Foot,,"[104.4, 45.8]",,"[{'location': [102.3, 36.1], 'player': {'id': 9648, 'name': 'Paddy McNair'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [107.4, 47.0], 'player': {'id': 18414, 'name': 'Bastian Schweinsteiger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [116.8, 46.1], 'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [112.7, 39.0], 'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.5, 38.3], 'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [93.4, 50.4], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [111.1, 76.9], 'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [118.0, 39.7], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.8, 36.1], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.9, 41.6], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.2, 44.7], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.4, 38.7], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.0, 45.6], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [105.6, 38.4], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.4, 47.6], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 40.3], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.4, 61.9], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [94.7, 51.0], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}]",,,Wayward,,0.023646608,Volley,Open Play,,,,Manchester United,39,00:07:52.693,Shot,
,,,,,,,,,,,,,,,,0.045733,,,,,,,,,,,,a6c9eaf4-9eea-4f9e-bec9-5a76e588470e,367,,,"[104.8, 23.3]",3754186,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Wayne Mark Rooney,3538.0,Left Center Forward,18,Manchester United,39,"['40d1b9df-08d5-41da-9e4e-feabf132f297', '9f89b27a-cf97-444c-97f4-bf2f094c6ec2']",11,,Right Foot,True,"[117.4, 36.2, 1.7]",,"[{'location': [105.5, 49.7], 'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [98.8, 39.1], 'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.5, 26.5], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.7, 33.6], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.4, 40.2], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.1, 32.6], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.5, 47.2], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.7, 33.1], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.8, 36.9], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.3, 25.6], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",d905e8ac-f607-418b-b9b3-f2f47e5b235f,,Saved,,0.032663077,Normal,Open Play,,,,Manchester United,39,00:08:11.828,Shot,
,,,,,,,,,,,,,,,,0.025888,,,,,,,,,,,,f8fc2dbf-0d68-43a6-81c0-d26e29e2bcdf,540,,,"[98.0, 27.5]",3754186,12,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,N''Golo Kanté,3961.0,Right Center Midfield,28,Leicester City,22,"['186e7bfe-6925-4da4-9d88-37ed429effab', 'fa5b0185-95c3-4476-8fad-a376d403c96d']",0,,Right Foot,,"[98.8, 27.9]",True,"[{'location': [101.3, 20.6], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [102.9, 23.6], 'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.6, 26.9], 'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [103.2, 32.8], 'player': {'id': 9648, 'name': 'Paddy McNair'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.3, 39.0], 'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.4, 39.3], 'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.1, 47.6], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [97.9, 49.4], 'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [99.7, 35.6], 'player': {'id': 18414, 'name': 'Bastian Schweinsteiger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.8, 28.4], 'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [91.8, 36.3], 'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [97.9, 28.5], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [96.3, 53.0], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.8, 30.6], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.6, 33.9], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,,Blocked,,0.035192795,Normal,Open Play,,,,Leicester City,22,00:12:00.592,Shot,
,,,,,,,,,,,,,,,,1.446626,,,,,,,,,,,,af0dac8d-9527-4910-92e9-2948d9a4b2f8,696,,,"[97.0, 36.7]",3754186,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Wayne Mark Rooney,3538.0,Left Center Forward,37,Manchester United,39,['bdad5a1e-f6f3-4bb6-9c39-ba41b0394d09'],40,,Right Foot,,"[118.5, 44.5, 1.6]",True,"[{'location': [118.5, 42.0], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [86.4, 41.7], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [96.0, 58.1], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [93.9, 48.3], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.2, 39.0], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.6, 49.6], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.8, 41.3], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.2, 21.7], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [102.4, 37.2], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.1, 33.4], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.0, 55.6], 'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [102.9, 45.5], 'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [88.9, 41.6], 'player': {'id': 18414, 'name': 'Bastian Schweinsteiger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.4, 43.1], 'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [84.4, 19.2], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",3dc86707-5f31-42e8-b615-a60215210ca7,,Saved Off Target,True,0.036593255,Volley,Open Play,,,,Manchester United,39,00:16:40.125,Shot,
,,,,,,,,,,,,,,,,0.107009,,,,,,,,,,,,7cfd594a-5a9f-4dd5-b604-bd6005ca7b45,836,,,"[110.6, 31.5]",3754186,21,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bastian Schweinsteiger,18414.0,Left Center Midfield,48,Manchester United,39,"['1bcce2e2-531d-44fd-b5d8-01e0af65a7a6', '80308aa5-80b5-40d9-bce4-7932e36a657b']",19,,Right Foot,,"[112.4, 33.2]",True,"[{'location': [110.4, 33.7], 'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [92.9, 11.5], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [107.7, 42.3], 'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [118.8, 37.4], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [119.2, 25.2], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.7, 17.7], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.9, 15.5], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [113.2, 33.3], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.9, 35.4], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.7, 30.4], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [104.5, 41.7], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.6, 45.2], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",0c95dad9-a0e6-418e-bdb5-9d8314517a0e,,Blocked,,0.09514493,Normal,Open Play,,,,Manchester United,39,00:21:19.722,Shot,
,,,,,,,,,,,,,,,,0.05279,,,,,,,,,,,,48f20cdb-4de1-4653-baf8-ea4594995aaa,884,,,"[111.2, 36.4]",3754186,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Chris Smalling,10958.0,Center Back,51,Manchester United,39,"['01e9200b-8aa2-4c77-893c-f51a7a5eca36', '8a5be305-9c59-44b6-a98f-f6d42f8d8e18']",30,True,Head,,"[111.1, 39.4]",,"[{'location': [114.1, 32.5], 'player': {'id': 18414, 'name': 'Bastian Schweinsteiger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.2, 21.0], 'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.3, 40.3], 'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.1, 49.4], 'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [104.6, 44.2], 'player': {'id': 9648, 'name': 'Paddy McNair'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [95.2, 29.8], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [117.3, 15.2], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [114.9, 33.1], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.1, 42.5], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.0, 38.9], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.8, 37.3], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 28.4], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [105.4, 45.2], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.7, 45.2], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.2, 40.1], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.3, 35.0], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [107.2, 25.0], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",8619bca0-1a4c-4724-af8c-1f01d1bd8ea0,,Wayward,,0.06502883,Normal,Open Play,,,,Manchester United,39,00:22:30.318,Shot,True
,,,,,,,,,,,,,,,,0.908569,,,,,,,,,,,,9347ef8f-b8d5-4ac1-a3fe-1eafe55b6eaa,897,,,"[107.8, 53.0]",3754186,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Jamie Vardy,10960.0,Left Center Forward,53,Leicester City,22,['58629b10-a48d-48d4-9cd2-deacc6274954'],26,,Right Foot,,"[120.0, 37.1, 0.6]",,"[{'location': [107.7, 51.6], 'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [106.8, 45.1], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [103.9, 41.8], 'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.5, 37.3], 'player': {'id': 9648, 'name': 'Paddy McNair'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.8, 60.8], 'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.9, 48.6], 'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.6, 52.6], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [102.8, 41.2], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",17ce0da0-6682-443f-b069-f45dd3804497,True,Goal,,0.14171019,Normal,Open Play,,,,Leicester City,22,00:23:26.079,Shot,
,,,,,,,,,,,,,,,,1.093457,,,,,,,,,,,,55f511de-688c-4f9d-b8ca-31c098b3ecdd,946,,,"[95.2, 30.7]",3754186,26,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Bastian Schweinsteiger,18414.0,Left Center Midfield,56,Manchester United,39,['a2e8bf6e-f3b5-4df5-843c-8f923d0261bf'],17,,Right Foot,,"[120.0, 28.2, 1.0]",True,"[{'location': [118.9, 39.8], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.2, 61.8], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [94.4, 40.5], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.1, 49.9], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.1, 33.6], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.0, 27.0], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.3, 40.4], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.8, 34.6], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.9, 34.5], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.8, 11.4], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [91.7, 40.0], 'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.8, 46.9], 'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [105.6, 36.4], 'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",,,Off T,,0.021193385,Volley,Open Play,,,,Manchester United,39,00:26:17.672,Shot,
,,,,,,,,,,,,,,,,0.369919,,,,,,,,,,,,8a659dfe-0558-4418-8a30-e891b1609ae1,1084,,,"[113.9, 23.0]",3754186,30,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Riyad Mahrez,3814.0,Right Midfield,65,Leicester City,22,"['4ceceea2-d0cc-4b0c-948f-2b92107c688e', '56dc5b8b-5a99-4780-b926-8dd6be474d6e']",35,,Left Foot,,"[117.7, 34.6, 0.6]",,"[{'location': [109.3, 34.9], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [108.3, 32.6], 'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.9, 29.4], 'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [105.8, 24.7], 'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [110.6, 41.4], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [111.8, 36.8], 'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.2, 26.3], 'player': {'id': 9648, 'name': 'Paddy McNair'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.9, 35.3], 'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.8, 40.0], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",1914c44e-a934-47bf-9195-ff1294451590,True,Saved,,0.015576049,Normal,Open Play,,,,Leicester City,22,00:30:35.164,Shot,True
,,,,,,,,,,,,,,,,1.523563,,,,,,,,,,,,b2a993f2-dcc7-4a0a-9b8c-c1d4f2205e28,1384,,,"[110.4, 40.3]",3754186,38,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Wayne Mark Rooney,3538.0,Left Center Forward,81,Manchester United,39,['b13bba64-9d68-491f-bb12-939daf704b45'],17,,Head,,"[120.0, 51.1, 3.9]",,"[{'location': [110.3, 47.0], 'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.0, 42.4], 'player': {'id': 9648, 'name': 'Paddy McNair'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [93.6, 27.0], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [114.4, 32.7], 'player': {'id': 18414, 'name': 'Bastian Schweinsteiger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.3, 21.4], 'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.3, 39.5], 'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [119.1, 42.6], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.8, 29.0], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [112.6, 44.8], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.8, 29.9], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [110.1, 42.1], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.4, 41.3], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.8, 39.1], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.2, 25.2], 'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.8, 38.5], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.3, 35.4], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",f57f4898-9a03-48aa-95ad-e4aabff12bab,,Off T,,0.0779977,Normal,Open Play,,,,Manchester United,39,00:38:17.899,Shot,
