bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.432437,,,,,,,,,,,,,,fe308117-0829-444e-b079-85b6dbf613a2,151,,"[102.2, 44.8]",3754335,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cameron Jerome,4807.0,Center Forward,8,Norwich City,56,"['39f60d37-c1f9-4210-b406-b9612d9276f0', 'a7716935-5bb2-4055-874f-4c20fa863bb0']",46,,Right Foot,"[120.0, 40.0, 5.4]",True,"[{'location': [116.4, 41.4], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.5, 46.8], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.7, 43.0], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.1, 44.9], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [91.5, 52.1], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [94.0, 46.3], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.7, 37.1], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.9, 64.0], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [96.2, 44.5], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",d887f2f3-43db-4bf5-8e6f-ece4c256a30d,,,Off T,0.139287,Normal,Open Play,,,,Norwich City,56,00:02:46.329,Shot,True
,,,,,,,,,,,,,,,,,0.533865,,,,,,,,,,,,,,609f6fe0-6768-4668-8c64-d1157f574419,348,,"[113.9, 45.2]",3754335,6,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Shinji Okazaki,3810.0,Left Center Forward,16,Leicester City,22,['1a39f6d0-4330-4e7a-abe0-7ba138687efb'],36,,Head,"[120.0, 42.9, 4.5]",,"[{'location': [119.1, 71.0], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 64.6], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.3, 51.3], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.5, 43.0], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [116.9, 52.4], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 44.9], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 40.6], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.2, 35.2], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.5, 43.3], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.3, 59.8], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [109.0, 32.8], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [109.5, 39.6], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",5c53e7a4-b2cb-4dfb-9fca-e87210112870,,,Off T,0.20798212,Normal,Open Play,,,,Leicester City,22,00:06:36.751,Shot,
,,,,,,,,,,,,,,,,,0.176741,,,,,,,,,,,,,,c4cbe21e-3980-4dce-badd-b59175bcbb1f,593,,"[96.7, 52.2]",3754335,13,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Graham Dorrans,16334.0,Left Defensive Midfield,28,Norwich City,56,"['62d876e8-751b-4d99-9338-f6ec9545d5c9', 'a50e5de8-38d7-4784-8a65-3080efd6c650', 'f78a030c-7f07-41ad-9865-7375cf6f04e5']",55,,Right Foot,"[99.6, 51.2]",,"[{'location': [104.5, 36.3], 'player': {'id': 22594, 'name': 'Matt Jarvis'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [101.4, 41.3], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [117.4, 41.2], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.4, 58.2], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.8, 56.4], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [99.7, 51.2], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.7, 49.2], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.4, 42.6], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.3, 36.4], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.8, 36.7], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [91.5, 51.3], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [91.2, 49.0], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [101.0, 63.9], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [91.4, 66.4], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.7, 40.9], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",caf98f3b-dfda-49fd-80f9-0091b36f76e1,,,Blocked,0.028765477,Normal,Open Play,,,,Norwich City,56,00:13:55.869,Shot,True
,,,,,,,,,,,,,,,,,1.036065,,,,,,,,,,,,,,921ec380-a9b8-478b-8d90-51e991dea03d,804,,"[88.4, 49.8]",3754335,18,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Graham Dorrans,16334.0,Left Defensive Midfield,40,Norwich City,56,"['7114e4df-756b-4d6a-b7d3-497d22453ad6', 'c08801a6-acb7-4c2b-b091-1602e8a4718b']",56,,Right Foot,"[91.7, 47.0]",True,"[{'location': [87.8, 52.6], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [85.4, 55.9], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [97.7, 42.4], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.5, 27.5], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [108.1, 44.6], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [118.6, 39.9], 'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.4, 42.9], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [94.6, 51.7], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.1, 36.1], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [112.9, 40.7], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.6, 43.4], 'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.9, 45.4], 'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.6, 35.8], 'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.8, 38.2], 'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.1, 37.2], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.3, 33.4], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,,Wayward,0.01178937,Half Volley,Open Play,,,,Norwich City,56,00:18:56.728,Shot,True
,,,,,,,,,,,,,,,,,0.271467,,,,,,,,,,,,,,5bd9f9c4-0c51-480f-84a8-414e26f25bf9,834,,"[119.5, 31.4]",3754335,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Jamie Vardy,10960.0,Right Center Forward,42,Leicester City,22,['c1f45635-1030-4807-b1d2-8a8261c9de33'],52,,Right Foot,"[120.0, 35.9, 0.2]",,"[{'location': [119.4, 36.0], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.7, 33.2], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.6, 31.6], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.1, 33.6], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [115.7, 28.0], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [113.2, 32.6], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",f207c843-cf46-477e-83a6-0615c576d7f1,True,,Saved,0.016617822,Normal,Open Play,,,,Leicester City,22,00:19:52.461,Shot,
,,,,,,,,,,,,,,,,,0.205911,,,,,,,,,,,,,,810a32b5-15ce-489a-831e-8357b3cf8c56,1010,,"[106.5, 29.0]",3754335,23,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jeffrey Schlupp,3520.0,Left Midfield,49,Leicester City,22,"['22e4c7df-5784-4539-9e18-4ebeb94e853a', 'f8f6f1d5-b313-4198-8830-9e521f4d6eec']",54,,Left Foot,"[108.7, 31.1]",,"[{'location': [108.7, 32.0], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.4, 47.5], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [116.4, 36.9], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.8, 42.7], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.2, 28.5], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.3, 31.0], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.5, 36.3], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",70836f90-a267-4f81-a320-04a1af97ba51,,,Blocked,0.109360814,Normal,Open Play,,,,Leicester City,22,00:23:54.503,Shot,
,,,,,,,,,,,,,,,,,0.077433,,,,,,,,,,,,,,2d516827-9bc1-4c1c-a79f-20b65413c51a,1020,,"[114.3, 46.4]",3754335,24,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Danny Drinkwater,3662.0,Right Center Midfield,50,Leicester City,22,['38c42b41-ef64-43c5-b0e2-c04a374f1699'],27,,Right Foot,"[115.3, 45.7, 1.2]",True,"[{'location': [115.4, 28.8], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.1, 33.1], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.4, 34.3], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [116.4, 38.7], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [110.0, 22.9], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [101.4, 30.3], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.6, 42.8], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 45.3], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 42.8], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.4, 36.6], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.5, 40.2], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.4, 22.2], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [114.3, 26.4], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,,,Saved,0.18145864,Normal,Open Play,,,,Leicester City,22,00:24:27.361,Shot,
,,,,,,,,,,,,,,,,,0.161611,,,,,,,,,,,,,,38fb69fb-a5fe-4304-bad3-c1b4f15ea73f,1023,,"[106.5, 54.8]",3754335,24,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Danny Simpson,3270.0,Right Back,50,Leicester City,22,"['2cb6a379-d6e7-4a52-a408-eb0d44af9552', '336ac992-2965-4497-a618-7d1260ac29ca']",29,,Right Foot,"[109.2, 52.9]",True,"[{'location': [119.6, 38.2], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.5, 30.2], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.7, 26.1], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.9, 27.9], 'player': {'id': 3520, 'name': 'Jeffrey Schlupp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [112.8, 33.9], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [114.6, 47.6], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.4, 47.1], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.5, 41.4], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.2, 35.7], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.6, 51.6], 'player': {'id': 22594, 'name': 'Matt Jarvis'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [117.5, 45.9], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.9, 42.3], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.2, 53.3], 'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [115.5, 40.7], 'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [111.8, 39.1], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [94.1, 34.6], 'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,,Blocked,0.04546489,Normal,Open Play,,,,Leicester City,22,00:24:29.376,Shot,
,,,,,,,,,,,,,,,,,0.358505,,,,,,,,,,,,,,034fb1c8-75f6-4771-af8d-e985fdb7f587,1077,,"[108.1, 40.1]",3754335,27,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Jamie Vardy,10960.0,Right Center Forward,54,Leicester City,22,['32ebb995-26cf-463c-953d-6fbc2d8f33c2'],13,,Right Foot,"[120.0, 38.2, 1.3]",,,,,,Goal,0.7835,Normal,Penalty,,,,Leicester City,22,00:27:13.194,Shot,
,,,,,,,,,,,,,,,,,0.009241,,,,,,,,,,,,,,32465342-0d5d-4dc6-a35a-ef3b00348139,1135,,"[117.3, 36.8]",3754335,29,,True,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jeffrey Schlupp,3520.0,Left Midfield,57,Leicester City,22,['f93289ac-22eb-4ae1-baa8-3d1b0f729cd6'],22,,Left Foot,"[120.0, 9.4]",True,"[{'location': [110.2, 50.2], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.9, 56.3], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.7, 60.7], 'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [116.4, 49.0], 'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [117.8, 47.9], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.2, 42.9], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 37.7], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",5f622491-374e-4f5d-bbd6-862fee19b517,,True,Wayward,0.8362313,Normal,Open Play,,,,Leicester City,22,00:29:22.431,Shot,
