ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.051474,,,,,,,,,,,97fa7aef-de09-4468-8419-ecde1c9e377a,113,,"[98.8, 26.2]",3764241,3,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Stephanie Houghton,10185.0,Right Center Back,6,Manchester City WFC,746,['5f29b52e-d32a-4a23-b298-9c700560a4fc'],44,Right Foot,"[119.4, 36.2, 0.5]",,"[{'location': [107.7, 43.6], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [119.2, 40.1], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.6, 40.7], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.5, 36.3], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.8, 38.9], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.7, 41.9], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.9, 26.1], 'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [93.9, 39.6], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.8, 36.5], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.7, 37.9], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.8, 40.9], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.4, 39.8], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [97.7, 41.4], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.8, 34.4], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.5, 39.3], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.7, 30.6], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.2, 29.7], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",,,Saved,0.056303676,Normal,Free Kick,,,,Manchester City WFC,746,00:03:44.503,Shot,
,,,,,,,,,,,,,,,0.945773,,,,,,,,,,,37138206-a883-4568-a02a-a13b095de314,265,,"[108.3, 35.3]",3764241,6,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Georgia Stanway,4643.0,Left Wing,14,Manchester City WFC,746,['849c060a-f4a3-4b74-a3a2-6cb2672de6ed'],32,Left Foot,"[120.0, 45.8, 0.2]",,"[{'location': [94.0, 46.6], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.6, 51.3], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.0, 43.5], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.4, 37.3], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.9, 42.2], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.5, 35.9], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 37.3], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",62aa8e09-e0fa-4a4b-8e09-1c819b6e7c4b,,Off T,0.2477737,Normal,Open Play,,,,Manchester City WFC,746,00:06:32.332,Shot,
,,,,,,,,,,,,,,,1.267843,,,,,,,,,,,82d13a05-fe4a-4936-8dff-feb10ab44dfd,420,,"[93.1, 46.6]",3764241,9,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Danielle Buet,20034.0,Left Center Midfield,21,Brighton & Hove Albion WFC,965,"['233726d6-61fa-49ae-8205-ecb424209edf', '7ffefc7d-28b0-4646-bfda-c144c66f48aa']",53,Right Foot,"[120.0, 48.3, 1.8]",,"[{'location': [117.9, 41.9], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.5, 62.2], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [87.0, 39.1], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.3, 53.0], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.4, 45.7], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.2, 71.1], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [90.7, 33.1], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [91.1, 51.9], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [87.4, 41.7], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [98.4, 33.3], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.2, 40.5], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.9, 47.0], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Off T,0.028833263,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:09:53.300,Shot,True
,,,,,,,,,,,,,,,0.186234,,,,,,,,,,,f736823c-a3dd-4b4b-8fb7-0bfc0289ed39,1415,,"[109.5, 34.3]",3764241,33,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Chloe Kelly,15570.0,Right Wing,60,Manchester City WFC,746,['1c2362df-2357-4e5b-ac62-7196087ad5b6'],47,Left Foot,"[114.3, 37.1, 0.2]",,"[{'location': [102.0, 41.8], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.2, 35.7], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 34.4], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.5, 43.5], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.5, 36.6], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.2, 49.7], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [90.5, 53.7], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.2, 53.3], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",08c2985e-e009-4908-af70-258dfc048599,True,Saved,0.36269072,Normal,Open Play,,,,Manchester City WFC,746,00:33:47.598,Shot,
,,,,,,,,,,,,,,,0.296352,,,,,,,,,,,d2300ef2-83a3-4071-a108-c158b63d3af0,1690,,"[111.5, 47.8]",3764241,42,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Georgia Stanway,4643.0,Left Wing,72,Manchester City WFC,746,"['9b697cfc-718a-425b-a488-e10354d80eb6', 'd7769cad-d994-4c13-83ec-f492034f9c96', 'f4c5795d-60ea-45dd-880f-25ba66f221cb']",1,Right Foot,"[114.3, 45.5, 0.2]",,"[{'location': [97.1, 55.1], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.9, 42.5], 'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [114.8, 45.2], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.7, 47.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.7, 53.8], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [99.1, 48.9], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.1, 43.3], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.1, 38.7], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",19978958-591f-4803-bb06-cbd7b391629e,,Saved,0.20171909,Normal,Open Play,,,,Manchester City WFC,746,00:42:01.015,Shot,True
,,,,,,,,,,,,,,,2.733656,,,,,,,,,,,cab26e73-0581-4453-9e38-85e9547580f4,1732,,"[106.0, 57.9]",3764241,42,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Georgia Stanway,4643.0,Left Wing,72,Manchester City WFC,746,['9a42a4ea-ca97-4716-b7ee-b51cc51fda9e'],45,Left Foot,"[120.0, 9.7, 0.2]",,"[{'location': [118.5, 43.1], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.2, 38.1], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.6, 43.9], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.9, 47.6], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.8, 53.1], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.8, 51.0], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.3, 63.3], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.5, 45.3], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.6, 49.2], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.8, 38.0], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [89.7, 63.2], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [113.0, 61.3], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",520b77c7-c553-41aa-a440-cbb64425b5a9,,Off T,0.02196142,Normal,Open Play,,,,Manchester City WFC,746,00:42:45.999,Shot,
,,,,,,,,,,,,,,,0.88204,,,,,,,,,,,86b4ba55-627b-40b4-996e-08b47e62b4df,1790,,"[102.2, 55.2]",3764241,44,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Inessa Kaagman,15579.0,Center Attacking Midfield,78,Brighton & Hove Albion WFC,965,['4072291e-73df-434f-98ca-bc0dbc4e989c'],46,Left Foot,"[120.0, 50.9, 0.2]",True,"[{'location': [108.1, 37.8], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.2, 46.5], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.3, 53.5], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.5, 63.2], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.8, 38.1], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.0, 76.4], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [101.2, 49.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.9, 44.5], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.5, 40.9], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [116.7, 37.9], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.8, 42.0], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 41.4], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Off T,0.025833277,Volley,Open Play,,,,Brighton & Hove Albion WFC,965,00:44:46.748,Shot,
,,,,,,,,,,,,,,,1.212722,,,,,,,,,,,17fc1c67-402a-4631-acb1-ec0861f014ac,2029,,"[107.9, 31.0]",3764241,47,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ellen White,10180.0,Center Forward,90,Manchester City WFC,746,['572ce257-0ca5-4cca-904e-29e5cf18ac26'],51,Left Foot,"[120.0, 44.6, 0.1]",True,"[{'location': [104.2, 24.6], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.7, 35.4], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.3, 25.5], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.4, 33.9], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.4, 32.1], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",f571ab1d-672a-49b8-82b2-451bdf3777bf,,Off T,0.33691108,Normal,Open Play,,,,Manchester City WFC,746,00:02:51.991,Shot,
,,,,,,,,,,,,,,,0.982846,,,,,,,,,,,b1de0d9a-da0e-4140-a8d1-2f00a43f757c,2100,,"[99.6, 53.2]",3764241,49,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Georgia Stanway,4643.0,Left Wing,93,Brighton & Hove Albion WFC,965,['88c3492e-ce53-4bcb-8553-4897fe4aac27'],54,Right Foot,"[120.0, 41.4, 4.7]",,"[{'location': [103.0, 45.3], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.0, 43.2], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [90.3, 30.4], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.0, 26.3], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.7, 42.7], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.3, 26.9], 'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [96.6, 21.6], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.0, 34.2], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.7, 40.5], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,,Off T,0.056533407,Normal,Open Play,,,,Manchester City WFC,746,00:04:54.102,Shot,
,,,,,,,,,,,,,,,0.5366,,,,,,,,,,,eca5d0b8-8403-40dc-9505-25851ed89723,2114,,"[117.0, 29.1]",3764241,51,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Stephanie Houghton,10185.0,Right Center Back,96,Manchester City WFC,746,['17e9144c-eaa0-4eec-8b2c-8bb33e188833'],26,Left Foot,"[120.0, 35.3, 1.2]",True,"[{'location': [113.1, 35.0], 'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [114.2, 39.8], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [119.2, 36.1], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.3, 30.4], 'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.5, 30.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.7, 38.1], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.9, 39.1], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",7d9cf227-be00-4aea-9198-863f354c9a9c,,Off T,0.02223076,Volley,Open Play,,,,Manchester City WFC,746,00:06:26.721,Shot,
