ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.714882,,,,,,,,,,,94ae1b57-063b-483d-8a5c-615e3fdc39e8,118,,,"[115.1, 49.2]",3775540,2,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Shania Hayles,19499.0,Left Center Forward,8,Aston Villa,2647,['f7ed334b-4105-4611-acdc-4a4d6fc4d583'],55,,Head,"[119.4, 40.5, 1.1]",,"[{'location': [102.2, 36.1], 'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.6, 41.9], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [105.9, 47.3], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.9, 42.5], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.5, 46.9], 'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.6, 38.9], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.6, 44.9], 'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.5, 48.2], 'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [99.0, 45.9], 'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.3, 35.0], 'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",afea34d7-feac-4c4d-b5d6-59508446d040,True,Saved,0.10940435,Normal,Open Play,,,,Aston Villa,2647,00:02:55.012,Shot,
,,,,,,,,,,,,,,,0.058664,,,,,,,,,,,cce40cbe-4aec-4d49-bcef-1f5370737d43,221,,,"[97.0, 36.4]",3775540,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Molly Pike,31564.0,Left Midfield,16,Bristol City WFC,973,"['8b9315e8-9a0c-4109-a3b0-f31cd27d6bc7', 'c23c22b2-1a01-4542-9bc6-9867c839bc0f', 'dad534c3-fce2-4c30-a32c-9fb26e00e84a']",37,,Right Foot,"[98.5, 36.8]",,"[{'location': [95.5, 39.7], 'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [94.3, 42.7], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [101.7, 41.9], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.6, 37.0], 'player': {'id': 77717, 'name': 'Olivia McLoughlin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.5, 35.5], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [89.1, 36.9], 'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.5, 48.4], 'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.2, 36.8], 'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.6, 40.6], 'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.4, 32.5], 'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.7, 38.9], 'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.9, 40.6], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [107.2, 34.1], 'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",,,Blocked,0.032962434,Half Volley,Open Play,,,,Bristol City WFC,973,00:06:37.313,Shot,True
,,,,,,,,,,,,,,,1.183869,,,,,,,,,,,0354bdad-c4b0-43e7-8e08-92f93127713c,543,,,"[110.5, 40.0]",3775540,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Yana Daniëls,10093.0,Right Midfield,38,Bristol City WFC,973,"['23ab637f-2006-4a92-b651-9f1d80ca5b5d', 'd3627b90-b154-4c78-906f-26dad1433295']",33,True,Head,"[120.0, 44.9, 0.5]",,"[{'location': [113.2, 16.7], 'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.9, 18.7], 'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [97.7, 39.7], 'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [110.2, 40.7], 'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.0, 35.2], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [112.7, 38.1], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.4, 43.4], 'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.7, 38.7], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.7, 44.1], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [112.8, 36.7], 'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.8, 36.6], 'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.8, 37.7], 'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 39.9], 'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.5, 23.7], 'player': {'id': 33010, 'name': 'Freya Gregory'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.8, 41.8], 'player': {'id': 77717, 'name': 'Olivia McLoughlin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.8, 39.7], 'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.1, 21.4], 'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",795295b2-9383-4b41-8215-b4870303fa8b,,Off T,0.066122144,Normal,Open Play,,,,Bristol City WFC,973,00:15:33.026,Shot,True
,,,,,,,,,,,,,,,1.127501,,,,,,,,,,,04f8d83c-5d90-418f-aa84-c2f9e9c8b422,817,,,"[111.3, 38.4]",3775540,24,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Stine Larsen,10102.0,Right Center Forward,59,Aston Villa,2647,"['25dfb7b3-49d0-4b47-8fd3-9635f2d61415', 'bf7b0374-6d3a-4c40-bf4a-051338716a99']",17,True,Head,"[120.0, 46.5, 0.5]",,"[{'location': [111.1, 31.7], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [112.0, 38.6], 'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.6, 40.0], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.6, 41.9], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.0, 39.9], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.8, 45.1], 'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.1, 50.5], 'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.3, 39.0], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [110.9, 43.2], 'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [104.8, 26.8], 'player': {'id': 33010, 'name': 'Freya Gregory'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [106.5, 48.5], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",8373b817-dd28-4e6c-9a13-283d94088605,,Off T,0.0730478,Normal,Open Play,,,,Aston Villa,2647,00:24:17.619,Shot,True
,,,,,,,,,,,,,,,1.016697,,,,,,,,,,,f6b49e6d-eef6-415f-8928-ac2bcbaefe31,956,,,"[106.1, 39.7]",3775540,29,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Chloe Arthur,10193.0,Left Defensive Midfield,71,Aston Villa,2647,['ce75ac74-4cc9-4680-b03d-cccb1d95f916'],15,,Left Foot,"[120.0, 43.0, 6.9]",True,"[{'location': [104.7, 53.5], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.2, 47.2], 'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.9, 43.6], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.3, 57.1], 'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.7, 39.5], 'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.1, 36.1], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.6, 40.2], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.1, 52.8], 'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [106.9, 42.7], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",6a2ee8e5-15cf-4a30-913d-b8d4a9a4d4a3,,Off T,0.05719179,Volley,Open Play,,,,Aston Villa,2647,00:29:15.564,Shot,
,,,,,,,,,,,,,,,1.824236,,,,,,,,,,,4606e139-0235-4335-9d26-a869899e1bc7,1000,,,"[96.9, 29.8]",3775540,30,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Ebony Salmon,31527.0,Left Center Forward,74,Bristol City WFC,973,"['351ee29d-727a-46ca-82f3-479778a6b3d8', '93930724-834c-4459-b62b-6ed2b76f01a9']",36,,Right Foot,"[120.0, 45.1, 3.4]",,"[{'location': [92.9, 22.4], 'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [99.7, 38.1], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [91.6, 52.3], 'player': {'id': 33010, 'name': 'Freya Gregory'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [96.3, 32.7], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.2, 38.4], 'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.7, 34.4], 'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 29.6], 'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.4, 30.2], 'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [85.9, 23.4], 'player': {'id': 77717, 'name': 'Olivia McLoughlin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.5, 39.2], 'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [86.4, 45.7], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [93.6, 43.1], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",835b1701-f570-40b8-a82e-86af85bb0e64,,Off T,0.035563584,Normal,Open Play,,,,Bristol City WFC,973,00:30:36.289,Shot,True
,,,,,,,,,,,,,,,1.594244,,,,,,,,,,,1cbfbbc8-d007-4285-a22a-6ad0ead6f8df,1171,,,"[113.1, 31.0]",3775540,34,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Natalie Haigh,46535.0,Left Center Back,82,Aston Villa,2647,['5da6eef7-99d7-4393-b296-18c266263031'],3,,Head,"[120.0, 43.4, 1.3]",,"[{'location': [90.1, 39.1], 'player': {'id': 77717, 'name': 'Olivia McLoughlin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [108.5, 41.8], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.1, 49.4], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [113.0, 30.7], 'player': {'id': 33010, 'name': 'Freya Gregory'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [101.3, 34.3], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [106.1, 49.1], 'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 32.4], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [113.0, 29.5], 'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.9, 36.2], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.5, 43.5], 'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [88.1, 48.6], 'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.4, 32.5], 'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.9, 38.3], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.1, 32.4], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [117.1, 36.9], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",125e5938-5999-4820-b08b-996332850939,,Goal,0.06790463,Normal,Open Play,,,,Aston Villa,2647,00:34:03.465,Shot,
,,,,,,,,,,,,,,,0.767548,,,,,,,,,,,a878000a-98ca-47b3-90bf-49c67b86019d,1236,,,"[106.5, 50.6]",3775540,35,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stine Larsen,10102.0,Right Center Forward,85,Aston Villa,2647,['f2d2aa89-dbbe-4c54-a520-97caf8fbeb22'],54,,Right Foot,"[120.0, 41.4, 5.7]",True,"[{'location': [110.0, 45.3], 'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.9, 43.1], 'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.8, 50.1], 'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.1, 45.8], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.8, 37.1], 'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.8, 43.5], 'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.3, 29.4], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [89.4, 38.7], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [99.0, 33.9], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [97.9, 45.9], 'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [85.4, 57.9], 'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [117.3, 43.3], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",e1b5b9b3-4735-4fd4-be91-a50d64893873,,Off T,0.12175119,Normal,Open Play,,,,Aston Villa,2647,00:35:54.098,Shot,
,,,,,,,,,,,,,,,0.644996,,,,,,,,,,,28bb382d-b2cf-4d74-b37b-361fad07af52,1413,,,"[112.7, 33.6]",3775540,41,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Stine Larsen,10102.0,Right Center Forward,99,Aston Villa,2647,"['33bbee16-e53d-46a1-b0a1-cca2120bf2a3', 'fbdf5c40-0858-4fc3-b0a4-9aa3bc789489']",31,True,Head,"[117.5, 39.0, 1.1]",,"[{'location': [104.6, 44.4], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [96.7, 63.7], 'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [88.1, 56.8], 'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [105.0, 29.4], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.3, 39.0], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 49.8], 'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.9, 41.3], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 48.4], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.2, 34.3], 'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.4, 26.4], 'player': {'id': 33010, 'name': 'Freya Gregory'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [94.5, 40.3], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",aa080187-bc11-45e6-8b05-ec3971e1d9f7,,Saved,0.094977565,Normal,Open Play,,,,Aston Villa,2647,00:41:31.747,Shot,True
,,,,,,,,,,,,,,,2.527943,,,,,,,,,,,14957177-8394-4107-891d-7371bcc58e34,1536,,,"[103.3, 35.3]",3775540,44,,,True,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Charlie Wellings,15563.0,Right Center Forward,110,Bristol City WFC,973,"['23000036-2abf-4f40-ac0e-24fd46a73135', 'f60dd82a-9df7-4faf-988d-07c9fc1aa1d1']",59,,Right Foot,"[120.0, 37.9, 2.8]",,"[{'location': [101.0, 9.0], 'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [101.8, 19.8], 'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [91.4, 35.4], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [101.7, 43.7], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [96.3, 50.4], 'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [107.9, 48.4], 'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [118.3, 38.6], 'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.3, 34.8], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [94.8, 33.6], 'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [99.5, 37.6], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.5, 49.3], 'player': {'id': 33010, 'name': 'Freya Gregory'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [97.5, 26.9], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [99.7, 21.6], 'player': {'id': 77717, 'name': 'Olivia McLoughlin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.3, 40.6], 'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.6, 35.8], 'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.2, 31.9], 'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.2, 37.1], 'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",f512c7ca-94ad-48a0-b083-f7a898db8b2e,,Post,0.061989605,Half Volley,Open Play,,,,Bristol City WFC,973,00:44:59.242,Shot,True
