bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.05234,,,,,,,,,,,a1cbc312-0975-4e18-aef6-3cc02678983d,385,,,"[113.5, 53.8]",3775594,9,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ella Toone,31534.0,Right Wing,15,Manchester United,1475,"['0bc6699d-7eea-4ad4-b51b-c1b41f62f277', '4cecdd35-0f9d-4af6-bd94-f47e4ac1c417']",19,,Right Foot,"[113.9, 53.0]",,"[{'location': [110.9, 41.8], 'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.2, 42.7], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.1, 52.9], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",d08a5cb7-6353-488a-8bb0-07c6580db0cb,,,Blocked,0.027873583,Normal,Open Play,,,,Manchester United,1475,00:09:19.514,Shot,
,,,,,,,,,,,,,,0.948669,,,,,,,,,,,e7bfa082-8b28-4f7f-8ac3-c6a52d525dd1,451,,,"[105.2, 31.9]",3775594,11,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ella Toone,31534.0,Right Wing,17,Manchester United,1475,['04ba4c1e-d8f8-4bc8-91c5-4d486d6c9f71'],0,,Right Foot,"[118.7, 39.2, 0.4]",True,"[{'location': [119.2, 40.3], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.6, 33.5], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 34.1], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 44.8], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.8, 37.8], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [92.2, 43.1], 'player': {'id': 32618, 'name': 'Martha Harris'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.2, 31.6], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.0, 22.8], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.3, 37.3], 'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.3, 46.2], 'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.4, 42.0], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [106.2, 48.0], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.3, 32.9], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.7, 30.4], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",47481c8d-ba44-4821-bac2-4b7de53b256f,,,Saved,0.16152163,Normal,Open Play,,,,Manchester United,1475,00:11:00.313,Shot,
,,,,,,,,,,,,,,0.578371,,,,,,,,,,,e56b8a56-7b4b-4012-8976-8ecedfe80c48,477,,,"[110.2, 29.6]",3775594,11,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Lauren James,31531.0,Center Forward,19,Manchester United,1475,['841ae424-41c2-4787-91e4-e8b565e40e3a'],34,,Right Foot,"[120.0, 40.9, 4.9]",,"[{'location': [102.1, 39.9], 'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.7, 30.8], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.7, 37.3], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.5, 39.8], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.2, 31.8], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.5, 39.4], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.2, 41.6], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.2, 34.2], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.5, 30.4], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.8, 37.9], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [113.1, 35.3], 'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",d259e869-ed61-4dde-9bfc-bf1dd31ee55b,,,Off T,0.069656886,Normal,Open Play,,,,Manchester United,1475,00:11:34.997,Shot,
,,,,,,,,,,,,,,0.417405,,,,,,,,,,,eebcd29f-1f13-4660-a32e-ce31d5de1e8e,654,,,"[110.8, 26.3]",3775594,16,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leah Galton,31539.0,Left Wing,32,Manchester United,1475,['646359ec-f25b-401c-abcb-ac67ecf44364'],43,,Left Foot,"[118.2, 36.3, 1.7]",,"[{'location': [118.0, 37.0], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.3, 38.4], 'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.8, 41.6], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.6, 52.2], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.6, 39.0], 'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.3, 33.8], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [89.7, 51.1], 'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [96.5, 44.9], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [95.1, 39.2], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 28.7], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.8, 27.3], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",657529ae-0f3f-4642-b4e0-cc8cd348687e,True,,Saved,0.08553347,Normal,Open Play,,,,Manchester United,1475,00:16:43.195,Shot,
,,,,,,,,,,,,,,1.482082,,,,,,,,,,,e7b4e0ad-c681-487b-8a58-eea6e840f4af,707,,,"[99.1, 55.7]",3775594,19,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Martha Harris,32618.0,Right Back,38,Manchester United,1475,['d6554347-6042-4cd8-84b3-f16bb6c9809d'],15,,Right Foot,"[120.0, 32.4, 2.5]",,"[{'location': [98.7, 48.8], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [117.7, 42.3], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.4, 49.5], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.6, 44.8], 'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.5, 36.9], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.6, 55.1], 'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",cfe8cc2f-ccab-46db-bd71-37b8960ed27b,,,Off T,0.02661571,Normal,Open Play,,,,Manchester United,1475,00:19:15.778,Shot,
,,,,,,,,,,,,,,0.925019,,,,,,,,,,,e1def8d4-5da9-40d9-8b76-2744525ee704,959,,,"[96.4, 47.1]",3775594,27,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Katie Zelem,31540.0,Center Attacking Midfield,51,Manchester United,1475,"['7ba854e2-b7e8-414b-8b16-f826e4724801', 'd48e50e0-a768-4912-b0b9-549928ef7ed8']",10,,Left Foot,"[118.1, 41.9, 0.4]",,"[{'location': [103.1, 31.9], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [89.2, 65.5], 'player': {'id': 32618, 'name': 'Martha Harris'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.4, 53.5], 'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [84.8, 59.1], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [93.7, 38.9], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.3, 60.0], 'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [118.2, 41.0], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 48.7], 'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.7, 42.4], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.1, 46.7], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 48.2], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [98.3, 41.6], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",d87c9054-ed0d-41d4-9b44-4b7757d7f39b,,,Saved,0.02326097,Normal,Open Play,,,,Manchester United,1475,00:27:10.337,Shot,True
,,,,,,,,,,,,,,0.268477,,,,,,,,,,,9fb2b85e-45c0-454d-8eeb-96a7a8324e83,1117,,,"[94.0, 55.7]",3775594,33,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ella Toone,31534.0,Right Wing,64,Manchester United,1475,"['4f4df9cd-83fc-4b51-a7be-046f2f85731a', 'e685f999-05db-48c7-bc3b-471e34240357']",6,,Right Foot,"[101.5, 50.7]",,"[{'location': [99.4, 56.8], 'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.1, 61.4], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.7, 48.0], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.3, 24.2], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.3, 61.8], 'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.5, 55.8], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.7, 55.9], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [117.5, 41.5], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.8, 50.6], 'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.6, 48.8], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.1, 29.7], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.4, 46.2], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 38.8], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",e66d7158-020b-42a9-a11a-e05a9bfab97b,,,Blocked,0.018711932,Normal,Open Play,,,,Manchester United,1475,00:33:06.206,Shot,
,,,,,,,,,,,,,,0.111904,,,,,,,,,,,71a4ef97-d29a-43c2-8bc0-8670573b5dd2,1303,,,"[99.2, 41.9]",3775594,38,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Katie Zelem,31540.0,Center Attacking Midfield,72,Manchester United,1475,"['4a05b324-de29-4229-854c-f39639430231', 'a11dc584-22f1-41cb-b12f-c9fc051f7502']",51,,Left Foot,"[100.7, 41.4]",True,"[{'location': [86.6, 49.3], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [94.8, 34.3], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [108.3, 35.5], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [103.7, 14.0], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.0, 24.0], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.7, 47.9], 'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.9, 36.2], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.4, 35.6], 'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.7, 31.8], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.6, 22.1], 'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [91.7, 34.0], 'player': {'id': 33090, 'name': 'Emily Murphy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [101.7, 26.5], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 41.2], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [105.9, 32.8], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.2, 39.8], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",aba15b7b-d9a4-4a61-88fd-50aa4653bc2c,,,Blocked,0.056171253,Normal,Open Play,,,,Manchester United,1475,00:38:51.614,Shot,
,,,,,,,,,,,,,,0.007912,,,,,,,,,,,6c141c4a-ba02-41e8-8a37-f8d4e82ab710,1314,,,"[102.5, 21.5]",3775594,39,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ella Toone,31534.0,Right Wing,72,Manchester United,1475,"['4f2cbe88-cbf6-41cb-a842-9ff1aa75f668', 'c373fa55-1dc0-4da6-9853-de00c0ea0205']",3,,Right Foot,"[103.5, 22.7]",,"[{'location': [112.5, 40.3], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.5, 46.0], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.3, 41.9], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.4, 39.8], 'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [99.2, 36.9], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.7, 32.9], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.4, 26.5], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.5, 37.5], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [106.3, 30.7], 'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 33.4], 'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [100.7, 48.2], 'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.9, 22.8], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [88.3, 48.6], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [91.6, 33.0], 'player': {'id': 33090, 'name': 'Emily Murphy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [91.0, 34.1], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [118.3, 39.4], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",c1498496-2c7e-496b-9251-cdc3d615f3d8,,,Blocked,0.010764746,Normal,Open Play,,,,Manchester United,1475,00:39:03.196,Shot,
,,,,,,,,,,,,,,0.640904,,,,,,,,,,,c8cafa5f-4219-468e-8496-bbd3ca0e785a,1341,,,"[107.6, 42.6]",3775594,39,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jackie Groenen,10654.0,Right Defensive Midfield,72,Manchester United,1475,['891a9195-ae9d-430a-8f53-b0d479f66dda'],24,,Right Foot,"[120.0, 39.7, 5.6]",,"[{'location': [111.7, 32.8], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.8, 45.0], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [114.2, 37.0], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.3, 58.5], 'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.9, 30.0], 'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.8, 41.9], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.4, 52.7], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.0, 52.9], 'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [116.0, 46.3], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.7, 42.8], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.4, 46.9], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [108.2, 40.6], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.1, 38.0], 'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,,Off T,0.22975397,Normal,Open Play,,,,Manchester United,1475,00:39:24.315,Shot,
