50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.613969,,,,,,,,,,,,29a346ca-e3ea-4533-a280-d86a6c669756,66,,,"[100.2, 32.1]",3775647,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Rianna Jarrett,46716.0,Center Forward,5,Brighton & Hove Albion WFC,965,['084bcaf8-4574-49b6-9218-08abb3fa6824'],47,Left Foot,"[114.8, 38.1, 1.3]",,"[{'location': [96.9, 45.5], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.9, 39.5], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.6, 34.7], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.9, 18.6], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.8, 38.1], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.9, 19.4], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",8689877a-b1fb-4170-85ff-1976839cf552,,Saved,0.107472755,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:00:47.231,Shot,
,,,,,,,,,,,,,,,,0.792434,,,,,,,,,,,,07971821-86ea-4c33-b553-b701aee8304e,184,,,"[106.8, 56.6]",3775647,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ellie Brazil,16393.0,Left Wing,11,Brighton & Hove Albion WFC,965,['df4b764f-7e41-43af-9294-f2275e381b9d'],6,Right Foot,"[118.5, 42.8, 1.1]",,"[{'location': [118.5, 42.7], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.5, 46.8], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.1, 57.2], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 40.0], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.6, 53.3], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.3, 36.6], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",287e8b74-b62a-464d-85f5-25183358ec2c,True,Saved,0.043077674,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:03:06.750,Shot,
,,,,,,,,,,,,,,,,0.153469,,,,,,,,,,,,61630269-bd13-4f5c-ae09-fdc6507634c5,352,,,"[99.7, 23.6]",3775647,6,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jamie-Lee Napier,32169.0,Left Midfield,26,Birmingham City WFC,969,"['40cfd400-932c-4b2d-adc2-0ed5fa454e01', 'c1355146-14cf-4877-a3a6-0095a731d1ee']",15,Right Foot,"[101.0, 24.6]",,"[{'location': [117.2, 37.2], 'player': {'id': 24370, 'name': 'Cecilie Fiskerstrand'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.7, 53.1], 'player': {'id': 20035, 'name': 'Bethan Roe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.3, 37.5], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.1, 34.3], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.3, 34.9], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [91.4, 40.8], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.4, 24.2], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 36.7], 'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.8, 39.2], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [90.5, 44.4], 'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",cd4d0081-449e-4aa4-9458-99ed7c32ca82,,Blocked,0.025793124,Normal,Open Play,,,,Birmingham City WFC,969,00:06:15.097,Shot,
,,,,,,,,,,,,,,,,0.341354,,,,,,,,,,,,8111bf58-d304-41d6-9efb-943746739f08,542,,,"[102.0, 56.2]",3775647,12,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kayleigh Green,16400.0,Right Wing,40,Brighton & Hove Albion WFC,965,"['8b0f691d-2153-47b5-a728-5fcb1bc7c754', 'b113f6da-d5e3-41a2-8dfa-9035b6f0a9d7']",26,Left Foot,"[107.9, 51.3]",,"[{'location': [118.6, 42.0], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.7, 60.8], 'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [97.8, 49.0], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.2, 55.6], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.6, 49.7], 'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.6, 55.0], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.7, 51.3], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.2, 43.2], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.4, 34.1], 'player': {'id': 33090, 'name': 'Emily Murphy'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.6, 55.3], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [109.0, 54.8], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.8, 45.1], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.4, 39.4], 'player': {'id': 20035, 'name': 'Bethan Roe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.3, 44.8], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,Blocked,0.027216395,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:12:26.627,Shot,
,,,,,,,,,,,,,,,,1.727334,,,,,,,,,,,,002ca45f-d8eb-425a-8330-52e2d762a1c5,673,,,"[101.0, 29.5]",3775647,15,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Danielle Buet,20034.0,Left Defensive Midfield,47,Brighton & Hove Albion WFC,965,"['16344cf6-0990-4a01-89c9-ae0c8cafe654', '463e6022-a01f-4f4b-bcab-b10ce84fbdb6']",5,Left Foot,"[120.0, 47.1, 0.7]",,"[{'location': [103.5, 45.2], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 39.4], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.4, 32.4], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.5, 30.6], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.4, 36.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.4, 25.5], 'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.4, 25.6], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.8, 17.0], 'player': {'id': 33090, 'name': 'Emily Murphy'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.1, 37.9], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.4, 22.6], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.2, 15.7], 'player': {'id': 20035, 'name': 'Bethan Roe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.5, 22.6], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",d5cef184-f47b-4e45-bb5a-e897f5608d6f,,Off T,0.038820695,Half Volley,Open Play,,,,Brighton & Hove Albion WFC,965,00:15:05.488,Shot,True
,,,,,,,,,,,,,,,,0.437784,,,,,,,,,,,,82c9f93e-034a-42a9-bc78-ff28e2952b7c,771,,,"[112.2, 38.6]",3775647,17,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rianna Jarrett,46716.0,Center Forward,52,Brighton & Hove Albion WFC,965,['3be5187c-d2f7-4a1b-8f67-73810e28f1db'],42,Head,"[112.7, 35.7]",,"[{'location': [117.8, 38.2], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 34.3], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.5, 39.6], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.8, 41.5], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.5, 32.4], 'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.7, 33.1], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.1, 26.6], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 26.4], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.4, 19.8], 'player': {'id': 33090, 'name': 'Emily Murphy'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.0, 45.9], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [108.3, 24.7], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.8, 22.4], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",8e2cc079-c106-461d-a71a-32727619ad8f,,Wayward,0.16532476,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:17:42.971,Shot,
,,,,,,,,,,,,,,,,0.77018,,,,,,,,,,,,03b71d0c-599c-49b1-889e-7a398544f9d3,869,,,"[105.2, 49.0]",3775647,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ellie Brazil,16393.0,Left Wing,56,Brighton & Hove Albion WFC,965,['ffb1af30-752f-4f2e-8777-d8fb1f22034e'],16,Right Foot,"[120.0, 41.4, 4.5]",,"[{'location': [117.4, 42.8], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.3, 56.8], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.2, 48.8], 'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.8, 37.7], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.2, 40.8], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 42.0], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.6, 34.8], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.6, 43.9], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.4, 26.5], 'player': {'id': 33090, 'name': 'Emily Murphy'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [97.4, 46.8], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [90.7, 25.9], 'player': {'id': 20035, 'name': 'Bethan Roe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.7, 33.9], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",3f33213b-3037-40d5-95fe-e73c58814b63,,Off T,0.14716698,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:20:16.745,Shot,
,,,,,,,,,,,,,,,,1.698324,,,,,,,,,,,,3c3ec309-2a59-40db-bcd7-01fd99b6ca84,1026,,,"[94.4, 43.4]",3775647,24,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Inessa Kaagman,15579.0,Center Attacking Midfield,68,Brighton & Hove Albion WFC,965,['4d1835bf-5ae0-44ce-b36e-914e7fa045ca'],53,Right Foot,"[120.0, 43.3, 6.2]",,"[{'location': [118.7, 42.1], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 27.8], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 30.6], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.2, 42.5], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.5, 47.5], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.7, 37.2], 'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.3, 41.9], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.2, 37.1], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.4, 27.3], 'player': {'id': 33090, 'name': 'Emily Murphy'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [96.8, 37.9], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",056521f6-6151-4bb0-8bae-98ffb8267a9b,,Off T,0.032250904,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:24:53.608,Shot,
,,,,,,,,,,,,,,,,0.28693,,,,,,,,,,,,eb56cf60-04a4-4746-9094-79725f52c37f,1100,,,"[99.5, 51.9]",3775647,26,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Mollie Green,47520.0,Right Center Midfield,73,Birmingham City WFC,969,"['8d2acf64-03f6-4681-bc69-8d9ab9f8cb56', 'b92c8f27-caae-424e-9969-44fdc0fbc778']",54,Right Foot,"[101.5, 51.1]",True,"[{'location': [93.5, 51.1], 'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [117.3, 42.1], 'player': {'id': 24370, 'name': 'Cecilie Fiskerstrand'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.6, 64.4], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.4, 51.1], 'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.1, 56.0], 'player': {'id': 20035, 'name': 'Bethan Roe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.3, 52.0], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.6, 56.8], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.2, 48.2], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [92.5, 53.3], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.2, 40.6], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.9, 50.2], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",39d692a0-15ed-416b-9232-f34cf72f6154,,Blocked,0.057672124,Normal,Open Play,,,,Birmingham City WFC,969,00:26:54.212,Shot,
,,,,,,,,,,,,,,,,1.615632,,,,,,,,,,,,a1c69128-9d78-4938-889e-11947eaeeaf6,1202,,,"[87.6, 27.9]",3775647,30,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Inessa Kaagman,15579.0,Center Attacking Midfield,78,Brighton & Hove Albion WFC,965,['faaab02c-d5dc-4671-9dd5-a39561b8f0a0'],5,Left Foot,"[118.7, 42.6, 2.2]",,"[{'location': [94.1, 46.9], 'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [82.0, 28.6], 'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [86.4, 33.2], 'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.6, 37.1], 'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.4, 33.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.8, 24.7], 'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.5, 42.6], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.3, 37.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [92.9, 47.6], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.5, 26.7], 'player': {'id': 46716, 'name': 'Rianna Jarrett'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",861401f1-549a-4f8b-9e6c-5b42fb3761a5,,Saved,0.0115052955,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:30:05.035,Shot,
