ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.789848,,,,,,,,,,,,,,,,434a06b5-f22e-494b-9e2c-daff387ed3b4,155,,"[104.5, 58.7]",3817868,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Iman Basafa,162205.0,Right Center Midfield,11,Bengaluru,7284,['0846c349-679c-4d3b-bbff-d6c4e7fbbdba'],18,Right Foot,"[117.8, 43.0, 2.2]",,"[{'location': [100.1, 63.9], 'player': {'id': 164496, 'name': 'Jerry Lalrinzuala'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [98.8, 59.8], 'player': {'id': 164481, 'name': 'Narayan Das'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.3, 43.6], 'player': {'id': 164480, 'name': 'Debjit Majumder'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.5, 61.5], 'player': {'id': 83332, 'name': 'Prince Vinny Ibara Doniama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.0, 36.1], 'player': {'id': 164493, 'name': 'Keisham Reagan Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [105.1, 37.1], 'player': {'id': 124748, 'name': 'Sunil Chhetri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.7, 33.4], 'player': {'id': 124740, 'name': 'Udanta Kumam Singh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [86.1, 68.4], 'player': {'id': 26565, 'name': 'Bruno Edgar Silva Almeida'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [107.7, 40.5], 'player': {'id': 179458, 'name': 'Mohammad Sajid Dhot'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.7, 54.6], 'player': {'id': 89499, 'name': 'Slavko Damjanović'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [100.4, 50.3], 'player': {'id': 167009, 'name': 'Germanpreet Singh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [93.7, 58.2], 'player': {'id': 164495, 'name': 'Edwin Sydney Vanspaul'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [89.4, 69.2], 'player': {'id': 164476, 'name': 'Łukasz Gikiewicz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}]",d9d2f462-b505-42d9-8043-d8c0fe77c1d4,,Saved,,0.008956682,Normal,Open Play,,,,Bengaluru,7284,00:03:18.931,Shot,
,,,,,,,,,,,,,,0.22686,,,,,,,,,,,,,,,,7b1dd81c-a13f-49f4-8040-7de998e1781e,163,,"[116.5, 38.5]",3817868,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Prince Vinny Ibara Doniama,83332.0,Right Wing,12,Bengaluru,7284,['639744f8-9ce3-4c62-ad8e-33c1700c0445'],51,Right Foot,"[120.0, 37.0, 7.0]",True,"[{'location': [119.0, 38.2], 'player': {'id': 164480, 'name': 'Debjit Majumder'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.9, 39.2], 'player': {'id': 170069, 'name': 'Parag Satish Shrivas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [114.3, 34.4], 'player': {'id': 164493, 'name': 'Keisham Reagan Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [112.5, 37.0], 'player': {'id': 51364, 'name': 'Vladimir Koman Jr.'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [116.3, 31.2], 'player': {'id': 164481, 'name': 'Narayan Das'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.6, 16.5], 'player': {'id': 164496, 'name': 'Jerry Lalrinzuala'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [104.3, 33.9], 'player': {'id': 164495, 'name': 'Edwin Sydney Vanspaul'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.9, 32.5], 'player': {'id': 124904, 'name': 'Suresh Singh Wangjam'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.5, 16.4], 'player': {'id': 124740, 'name': 'Udanta Kumam Singh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.3, 35.4], 'player': {'id': 124748, 'name': 'Sunil Chhetri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.4, 30.6], 'player': {'id': 26565, 'name': 'Bruno Edgar Silva Almeida'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [105.2, 43.9], 'player': {'id': 162205, 'name': 'Iman Basafa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [117.5, 38.3], 'player': {'id': 89499, 'name': 'Slavko Damjanović'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [114.7, 38.7], 'player': {'id': 164476, 'name': 'Łukasz Gikiewicz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [113.7, 31.1], 'player': {'id': 125212, 'name': 'Mirlan Murzaev'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [108.7, 45.6], 'player': {'id': 179458, 'name': 'Mohammad Sajid Dhot'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",d1f7fa60-a871-4e64-b8f0-cb7fff689a42,,Off T,,0.36971843,Volley,Open Play,,,,Bengaluru,7284,00:03:51.695,Shot,
,,,,,,,,,,,,,,0.729346,,,,,,,,,,,,,,,,5dcb6a3b-f2e1-4881-a4e4-2dd8aa844190,195,,"[88.7, 52.3]",3817868,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Parag Satish Shrivas,170069.0,Right Back,15,Bengaluru,7284,"['6ff7251d-5849-4570-b56b-c0cc601dbcc9', 'bf56663f-865e-4daa-91e3-ddf27f732d44']",24,Left Foot,"[101.6, 47.3]",,"[{'location': [101.5, 35.8], 'player': {'id': 164496, 'name': 'Jerry Lalrinzuala'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [82.9, 41.4], 'player': {'id': 125212, 'name': 'Mirlan Murzaev'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [102.4, 37.6], 'player': {'id': 179458, 'name': 'Mohammad Sajid Dhot'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.2, 40.5], 'player': {'id': 89499, 'name': 'Slavko Damjanović'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [90.9, 26.7], 'player': {'id': 162203, 'name': 'Pratik Prabhakar Chaudhari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [101.8, 47.2], 'player': {'id': 164481, 'name': 'Narayan Das'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 39.7], 'player': {'id': 164480, 'name': 'Debjit Majumder'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.6, 29.4], 'player': {'id': 164493, 'name': 'Keisham Reagan Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [91.7, 57.0], 'player': {'id': 164495, 'name': 'Edwin Sydney Vanspaul'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [91.8, 49.2], 'player': {'id': 167009, 'name': 'Germanpreet Singh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [79.8, 56.9], 'player': {'id': 164476, 'name': 'Łukasz Gikiewicz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [83.3, 51.1], 'player': {'id': 51364, 'name': 'Vladimir Koman Jr.'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.6, 35.1], 'player': {'id': 124748, 'name': 'Sunil Chhetri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.1, 29.2], 'player': {'id': 124740, 'name': 'Udanta Kumam Singh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.6, 38.5], 'player': {'id': 83332, 'name': 'Prince Vinny Ibara Doniama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [88.7, 44.7], 'player': {'id': 26565, 'name': 'Bruno Edgar Silva Almeida'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [76.6, 61.9], 'player': {'id': 124904, 'name': 'Suresh Singh Wangjam'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [90.4, 70.6], 'player': {'id': 162205, 'name': 'Iman Basafa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",b6619081-2390-4a2e-a402-bd90f8395a59,,Blocked,,0.011736263,Normal,Open Play,,,,Bengaluru,7284,00:05:24.493,Shot,
,,,,,,,,,,,,,,0.205995,,,,,,,,,,,,,,,,e65e6c8b-af70-40df-bc8f-a3995d450f84,355,,"[113.8, 42.0]",3817868,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Łukasz Gikiewicz,164476.0,Right Center Forward,20,Chennaiyin,7290,['213a0612-c042-428c-88f5-10c24ab2683d'],21,Left Foot,"[118.1, 40.5, 1.3]",True,"[{'location': [93.4, 22.3], 'player': {'id': 83332, 'name': 'Prince Vinny Ibara Doniama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.4, 49.0], 'player': {'id': 26565, 'name': 'Bruno Edgar Silva Almeida'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.2, 44.2], 'player': {'id': 166560, 'name': 'Wungngayam Muirang'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.6, 37.9], 'player': {'id': 162203, 'name': 'Pratik Prabhakar Chaudhari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.4, 34.7], 'player': {'id': 170069, 'name': 'Parag Satish Shrivas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.3, 32.2], 'player': {'id': 164495, 'name': 'Edwin Sydney Vanspaul'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [93.8, 20.9], 'player': {'id': 164496, 'name': 'Jerry Lalrinzuala'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [110.1, 30.9], 'player': {'id': 125212, 'name': 'Mirlan Murzaev'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.5, 40.9], 'player': {'id': 162202, 'name': 'Lara Sharma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.6, 60.3], 'player': {'id': 162208, 'name': 'Naorem Roshan Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",,,Saved to Post,True,0.5989308,Normal,Open Play,,,,Chennaiyin,7290,00:08:21.706,Shot,
,,,,,,,,,,,,,,0.644854,,,,,,,,,,,,,,,,b2006e2d-1d90-46d7-b15f-f4238a81005f,417,,"[108.0, 40.0]",3817868,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Iman Basafa,162205.0,Right Center Midfield,24,Bengaluru,7284,['aa90254b-c66a-4cd5-beff-0c7be7783217'],35,Right Foot,"[120.0, 37.1, 1.6]",,,,,Goal,,0.7835,Normal,Penalty,,,,Bengaluru,7284,00:11:35.700,Shot,
,,,,,,,,,,,,,,1.485755,,,,,,,,,,,,,,,,f8638d25-5712-49b0-90e0-5ff6dca4ebd2,484,,"[89.9, 50.2]",3817868,13,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Germanpreet Singh,167009.0,Center Defensive Midfield,29,Chennaiyin,7290,['0520ca90-bf9e-4215-8793-287be605fe3a'],43,Right Foot,"[120.0, 33.0, 0.9]",,"[{'location': [97.9, 46.9], 'player': {'id': 164476, 'name': 'Łukasz Gikiewicz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [93.7, 40.6], 'player': {'id': 164495, 'name': 'Edwin Sydney Vanspaul'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [93.4, 43.5], 'player': {'id': 125212, 'name': 'Mirlan Murzaev'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [79.4, 52.6], 'player': {'id': 51364, 'name': 'Vladimir Koman Jr.'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [88.8, 69.5], 'player': {'id': 164493, 'name': 'Keisham Reagan Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [97.2, 39.6], 'player': {'id': 170069, 'name': 'Parag Satish Shrivas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.4, 48.5], 'player': {'id': 166560, 'name': 'Wungngayam Muirang'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 47.2], 'player': {'id': 162203, 'name': 'Pratik Prabhakar Chaudhari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.1, 34.5], 'player': {'id': 83332, 'name': 'Prince Vinny Ibara Doniama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [89.5, 49.2], 'player': {'id': 26565, 'name': 'Bruno Edgar Silva Almeida'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.1, 21.2], 'player': {'id': 164496, 'name': 'Jerry Lalrinzuala'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [118.3, 41.5], 'player': {'id': 162202, 'name': 'Lara Sharma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [83.4, 57.8], 'player': {'id': 124904, 'name': 'Suresh Singh Wangjam'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [90.5, 61.3], 'player': {'id': 124740, 'name': 'Udanta Kumam Singh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [96.4, 58.1], 'player': {'id': 162208, 'name': 'Naorem Roshan Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",d41ad0f1-6c44-445e-a74a-86ddf373a8b6,,Off T,,0.020866219,Normal,Open Play,,,,Chennaiyin,7290,00:13:43.066,Shot,
,,,,,,,,,,,,,,1.569058,,,,,,,,,,,,,,,,2ac4b94f-1b51-44ae-9992-e75f7fee6ebe,550,,"[96.4, 44.2]",3817868,15,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vladimir Koman Jr.,51364.0,Right Center Midfield,32,Bengaluru,7284,"['4d315c60-d0d3-4e4a-b19e-5ff4294c18f1', 'b7efd770-4688-488e-9f66-c8bed25cc329']",20,Right Foot,"[120.0, 32.5, 0.4]",,"[{'location': [114.4, 41.4], 'player': {'id': 162202, 'name': 'Lara Sharma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 44.6], 'player': {'id': 26565, 'name': 'Bruno Edgar Silva Almeida'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.8, 54.1], 'player': {'id': 162208, 'name': 'Naorem Roshan Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.8, 48.0], 'player': {'id': 166560, 'name': 'Wungngayam Muirang'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.4, 39.1], 'player': {'id': 162203, 'name': 'Pratik Prabhakar Chaudhari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.4, 27.4], 'player': {'id': 170069, 'name': 'Parag Satish Shrivas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [84.2, 42.4], 'player': {'id': 167009, 'name': 'Germanpreet Singh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [102.6, 50.2], 'player': {'id': 164476, 'name': 'Łukasz Gikiewicz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [99.1, 39.7], 'player': {'id': 125212, 'name': 'Mirlan Murzaev'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [90.9, 28.4], 'player': {'id': 164495, 'name': 'Edwin Sydney Vanspaul'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,Off T,,0.086088166,Normal,Open Play,,,,Chennaiyin,7290,00:15:20.696,Shot,True
,,,,,,,,,,,,,,1.455734,,,,,,,,,,,,,,,,46593d5b-b412-4516-b7bc-2aaadcb4191b,651,,"[86.3, 39.6]",3817868,18,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mirlan Murzaev,125212.0,Left Center Forward,39,Bengaluru,7284,['60a0055b-5667-4333-8c5a-012999f46ffd'],18,Right Foot,"[120.0, 52.0, 6.0]",,"[{'location': [115.1, 41.9], 'player': {'id': 162202, 'name': 'Lara Sharma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [81.1, 40.2], 'player': {'id': 162205, 'name': 'Iman Basafa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [85.9, 42.1], 'player': {'id': 124904, 'name': 'Suresh Singh Wangjam'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.6, 60.1], 'player': {'id': 162208, 'name': 'Naorem Roshan Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [91.7, 38.7], 'player': {'id': 26565, 'name': 'Bruno Edgar Silva Almeida'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.5, 38.1], 'player': {'id': 162203, 'name': 'Pratik Prabhakar Chaudhari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.6, 43.5], 'player': {'id': 166560, 'name': 'Wungngayam Muirang'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.8, 25.4], 'player': {'id': 170069, 'name': 'Parag Satish Shrivas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [78.5, 38.1], 'player': {'id': 167009, 'name': 'Germanpreet Singh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [85.9, 57.7], 'player': {'id': 51364, 'name': 'Vladimir Koman Jr.'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.9, 43.3], 'player': {'id': 164476, 'name': 'Łukasz Gikiewicz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [93.6, 26.3], 'player': {'id': 164495, 'name': 'Edwin Sydney Vanspaul'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [80.2, 21.9], 'player': {'id': 164496, 'name': 'Jerry Lalrinzuala'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",,,Off T,,0.018778358,Normal,Open Play,,,,Chennaiyin,7290,00:18:18.202,Shot,
,,,,,,,,,,,,,,0.567245,,,,,,,,,,,,,,,,f709cb56-139f-4a3e-8579-96d8f1a9a820,754,,"[113.8, 47.2]",3817868,23,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Łukasz Gikiewicz,164476.0,Right Center Forward,49,Chennaiyin,7290,['028d4f30-0bae-4990-a370-1a0af559e9c0'],0,Head,"[120.0, 43.3, 5.6]",,"[{'location': [116.9, 74.3], 'player': {'id': 51364, 'name': 'Vladimir Koman Jr.'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [115.3, 44.8], 'player': {'id': 166560, 'name': 'Wungngayam Muirang'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.7, 46.4], 'player': {'id': 124748, 'name': 'Sunil Chhetri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.4, 43.2], 'player': {'id': 83332, 'name': 'Prince Vinny Ibara Doniama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.8, 41.2], 'player': {'id': 164481, 'name': 'Narayan Das'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [111.8, 43.2], 'player': {'id': 89499, 'name': 'Slavko Damjanović'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [113.5, 42.0], 'player': {'id': 179458, 'name': 'Mohammad Sajid Dhot'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [119.4, 48.9], 'player': {'id': 162208, 'name': 'Naorem Roshan Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.5, 47.3], 'player': {'id': 124904, 'name': 'Suresh Singh Wangjam'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.6, 43.2], 'player': {'id': 162202, 'name': 'Lara Sharma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.5, 43.0], 'player': {'id': 162203, 'name': 'Pratik Prabhakar Chaudhari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.8, 39.3], 'player': {'id': 26565, 'name': 'Bruno Edgar Silva Almeida'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.5, 37.0], 'player': {'id': 170069, 'name': 'Parag Satish Shrivas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.3, 34.4], 'player': {'id': 124740, 'name': 'Udanta Kumam Singh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.9, 33.7], 'player': {'id': 164495, 'name': 'Edwin Sydney Vanspaul'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [113.2, 47.7], 'player': {'id': 125212, 'name': 'Mirlan Murzaev'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [113.4, 48.2], 'player': {'id': 162205, 'name': 'Iman Basafa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",1a4971cb-603c-4433-becc-0f194f6bc702,,Off T,,0.06319389,Normal,Open Play,,,,Chennaiyin,7290,00:23:00.806,Shot,
,,,,,,,,,,,,,,1.285758,,,,,,,,,,,,,,,,70e66ca1-a011-4b9f-9b30-3b8f916de340,1004,,"[96.7, 27.6]",3817868,33,,,True,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vladimir Koman Jr.,51364.0,Right Center Midfield,65,Chennaiyin,7290,['69ddc643-b9e5-4420-820a-ba27b75d378f'],11,Right Foot,"[120.0, 58.6]",,"[{'location': [85.6, 9.7], 'player': {'id': 164496, 'name': 'Jerry Lalrinzuala'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [88.1, 19.9], 'player': {'id': 164495, 'name': 'Edwin Sydney Vanspaul'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.8, 22.1], 'player': {'id': 125212, 'name': 'Mirlan Murzaev'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [95.7, 31.5], 'player': {'id': 124740, 'name': 'Udanta Kumam Singh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [93.5, 23.5], 'player': {'id': 124904, 'name': 'Suresh Singh Wangjam'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 38.1], 'player': {'id': 162208, 'name': 'Naorem Roshan Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [88.5, 14.3], 'player': {'id': 26565, 'name': 'Bruno Edgar Silva Almeida'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.5, 33.4], 'player': {'id': 166560, 'name': 'Wungngayam Muirang'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.5, 25.9], 'player': {'id': 162203, 'name': 'Pratik Prabhakar Chaudhari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.2, 19.1], 'player': {'id': 170069, 'name': 'Parag Satish Shrivas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.7, 39.5], 'player': {'id': 162202, 'name': 'Lara Sharma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.8, 32.8], 'player': {'id': 164476, 'name': 'Łukasz Gikiewicz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",5dc3feb9-2730-49a2-8845-554fc3e8b94d,,Wayward,,0.03530518,Normal,Open Play,,,,Chennaiyin,7290,00:33:11.479,Shot,
