ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.871607,,,,,,,,,,,,b46190a1-c2af-43c9-8383-5eb06d20bbf8,351,,"[109.9, 18.4]",3829436,6,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kolbeinn Sigþórsson,6284.0,Center Forward,21,Nantes,144,['0ce5c287-1a46-4670-aa6a-9937482bc9c5'],18,,Left Foot,"[120.0, 33.1, 7.8]",,,"[{'location': [101.4, 41.5], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.2, 55.2], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.1, 21.6], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.4, 20.0], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.0, 29.5], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.5, 33.8], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.7, 42.4], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",a872e40f-75df-489a-8dbc-0f5c7a393feb,,,Off T,,0.006634409,Half Volley,Open Play,,,,Nantes,144,00:06:18.043,Shot,
,,,,,,,,,,,,,,,,0.900456,,,,,,,,,,,,ac2aa01f-956c-4114-bfa7-5254e6aa6881,407,,"[104.5, 64.2]",3829436,7,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Johan Audel,401477.0,Right Wing,23,Nantes,144,['618b2759-bf15-48ed-ad57-151da1d214a8'],40,,Left Foot,"[118.4, 42.5, 0.6]",,,"[{'location': [116.8, 70.6], 'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.0, 51.9], 'player': {'id': 7817, 'name': 'Frédéric Bulot'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.4, 61.0], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.7, 45.2], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.6, 50.9], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.1, 40.3], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 35.8], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.9, 65.1], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.4, 36.0], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.1, 41.9], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.1, 38.5], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.6, 31.1], 'player': {'id': 6284, 'name': 'Kolbeinn Sigþórsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.7, 57.8], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",aa692796-6ead-4763-aa00-d191fd91dee7,,,Saved,,0.007993169,Normal,Open Play,,,,Nantes,144,00:07:40.563,Shot,
,,,,,,,,,,,,,,,,0.778575,,,,,,,,,,,,b50b4549-ae40-4adf-9b59-a6b74e222293,1159,,"[112.6, 42.0]",3829436,24,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kolbeinn Sigþórsson,6284.0,Center Forward,62,Nantes,144,"['8597d01b-5b34-4d6a-bd59-27bb1b619c76', 'f497ab4d-b6cf-4384-9009-7400c83558dd']",17,True,Head,"[119.7, 41.6, 0.9]",,,"[{'location': [110.4, 39.3], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.1, 35.9], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.6, 26.8], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.5, 40.3], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.8, 41.4], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",9c42c078-9925-4fdb-9ad8-3998a551f634,,,Saved,,0.1571282,Normal,Open Play,,,,Nantes,144,00:24:17.481,Shot,True
,,,,,,,,,,,,,,,,1.274183,,,,,,,,,,,,ca82ac73-e97e-4ba9-b3f2-16bff2ec4fe2,1430,,"[102.8, 37.9]",3829436,30,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Johan Audel,401477.0,Right Wing,76,Nantes,144,"['9921eb71-1f69-455b-b67a-3f462040c321', 'c746f6a0-7b83-4be4-bfee-0578f48431b8']",1,True,Head,"[118.3, 34.9, 0.7]",,,"[{'location': [101.3, 49.5], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.0, 38.8], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.6, 31.9], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.7, 34.2], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.5, 8.9], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 39.3], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.2, 46.7], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.6, 42.0], 'player': {'id': 6284, 'name': 'Kolbeinn Sigþórsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",107b5bdd-bc65-42e4-a22e-90e94a5145d7,,,Saved Off Target,True,0.038630705,Normal,Open Play,,,,Nantes,144,00:30:01.749,Shot,True
,,,,,,,,,,,,,,,,1.555818,,,,,,,,,,,,ac747967-c567-4d2b-8e6a-159f65d741ec,1586,,"[101.7, 31.3]",3829436,35,,,True,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Valentin Rongier,3365.0,Left Defensive Midfield,85,Nantes,144,['264098ac-a5b8-484d-bde1-5c3439dd41ee'],47,,Left Foot,"[120.0, 17.8]",True,,"[{'location': [103.0, 71.4], 'player': {'id': 7817, 'name': 'Frédéric Bulot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.9, 64.0], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.5, 76.1], 'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.7, 43.5], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.2, 41.2], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 51.2], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.2, 34.1], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.7, 34.9], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [86.8, 48.0], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.6, 37.5], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.4, 44.6], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.3, 49.2], 'player': {'id': 6284, 'name': 'Kolbeinn Sigþórsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.2, 33.2], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.1, 40.4], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",f7cf7d41-62c7-4b6e-ad17-154bf47aee58,,,Wayward,,0.050489318,Volley,Open Play,,,,Nantes,144,00:35:47.670,Shot,
,,,,,,,,,,,,,,,,0.10941,,,,,,,,,,,,2d3480f2-b4cb-4ffe-8f2e-f3c0b1e3291e,1821,,"[91.5, 44.7]",3829436,44,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Adryan Oliveira Tavares,31687.0,Left Wing,101,Nantes,144,"['07b8fca5-666b-4647-9351-d8566646d452', '9dffce14-6c85-4f80-834d-176d21db59e1']",10,,Left Foot,"[94.8, 44.0]",,,"[{'location': [98.9, 48.9], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 56.9], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [92.5, 49.7], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.8, 42.8], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.4, 30.2], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [81.1, 54.0], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [86.0, 43.6], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.9, 40.4], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.2, 64.9], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [89.5, 16.6], 'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [83.4, 57.7], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.5, 52.5], 'player': {'id': 6284, 'name': 'Kolbeinn Sigþórsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",33838108-e20e-45d4-b5f0-18cb9e86fd89,,,Blocked,,0.035343006,Normal,Open Play,,,,Nantes,144,00:44:10.431,Shot,
,,,,,,,,,,,,,,,,0.263988,,,,,,,,,,,,7643d051-afc7-45f6-b6d8-9049fc5dc05a,1843,,"[91.6, 50.9]",3829436,44,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Frédéric Bulot,7817.0,Left Wing,102,Stade de Reims,156,"['09d9680a-c211-4255-8c5c-0243c00d9cca', '393f9591-8228-425a-aef9-b192f3a72ae5']",30,,Left Foot,"[97.7, 48.6]",,,"[{'location': [91.2, 55.6], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [89.1, 39.4], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [97.4, 52.5], 'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.6, 59.2], 'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.7, 48.6], 'player': {'id': 2943, 'name': 'Lucas Deaux'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.2, 44.6], 'player': {'id': 3365, 'name': 'Valentin Rongier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.9, 45.5], 'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 39.1], 'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.4, 42.7], 'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.2, 60.3], 'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.9, 46.5], 'player': {'id': 401453, 'name': 'David N""Gog'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.5, 38.9], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",1ae955c5-f632-4a87-9766-e425ed784333,,,Blocked,,0.021346772,Normal,Open Play,,,,Stade de Reims,156,00:44:30.425,Shot,
,,,,,,,,,,,,,,,,0.929446,,,,,,,,,,,,cd2789ff-e1ab-4332-abaa-795363ab9dcc,2008,,"[95.8, 40.9]",3829436,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Birama Touré,7350.0,Right Defensive Midfield,107,Nantes,144,['97293de8-f30d-4cf7-8137-9ede702171ed'],47,,Left Foot,"[120.0, 33.3, 5.3]",True,True,"[{'location': [99.4, 23.2], 'player': {'id': 7817, 'name': 'Frédéric Bulot'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.3, 42.6], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.7, 36.8], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.5, 42.5], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 48.8], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.8, 40.7], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.6, 36.3], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 26.5], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.1, 57.5], 'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [98.7, 58.4], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [86.1, 38.7], 'player': {'id': 3365, 'name': 'Valentin Rongier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [108.2, 38.6], 'player': {'id': 6284, 'name': 'Kolbeinn Sigþórsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.4, 15.2], 'player': {'id': 10746, 'name': 'Ermir Lenjani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.3, 40.3], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.3, 12.6], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",9f2216cf-a13d-4c8e-85fd-6847e9b2ea14,,,Off T,,0.026649965,Half Volley,Open Play,,,,Nantes,144,00:00:47.129,Shot,
,,,,,,,,,,,,,,,,1.041766,,,,,,,,,,,,d5c99ce8-5056-4c88-a8df-5f61be2872c1,2160,,"[94.2, 50.8]",3829436,49,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Adrien Thomasson,3375.0,Center Attacking Midfield,117,Nantes,144,['71e61f8e-a1c8-40af-9e1c-6a494d5eb578'],42,,Left Foot,"[119.4, 39.2, 0.9]",,,"[{'location': [119.2, 41.8], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [76.2, 15.9], 'player': {'id': 7817, 'name': 'Frédéric Bulot'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.6, 59.4], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [88.7, 40.0], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [95.6, 51.3], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.4, 55.4], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.4, 50.3], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 43.8], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.5, 31.6], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.9, 64.0], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.6, 55.8], 'player': {'id': 6284, 'name': 'Kolbeinn Sigþórsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [91.2, 23.4], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.9, 71.7], 'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",ba7cfce9-eac4-408c-8092-d8233ced799d,,,Saved,,0.02815696,Normal,Open Play,,,,Nantes,144,00:04:42.959,Shot,
,,,,,,,,,,,,,,,,1.223493,,,,,,,,,,,,622bdc50-4080-4d31-85d5-864bba6eba43,2400,,"[87.5, 33.2]",3829436,57,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Kolbeinn Sigþórsson,6284.0,Center Forward,131,Nantes,144,['396a6511-d514-4e1c-beb2-99afac0507ed'],27,,Right Foot,"[119.7, 42.2, 0.2]",,,"[{'location': [96.2, 37.2], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.7, 36.3], 'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [96.4, 38.3], 'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.5, 50.6], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.1, 47.6], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.4, 44.4], 'player': {'id': 7817, 'name': 'Frédéric Bulot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.4, 42.3], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.8, 54.3], 'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [82.7, 25.2], 'player': {'id': 3365, 'name': 'Valentin Rongier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [83.9, 22.6], 'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [96.8, 35.3], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.6, 36.1], 'player': {'id': 401453, 'name': 'David N""Gog'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [97.1, 34.6], 'player': {'id': 18783, 'name': 'Omenuke Mfulu'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.1, 33.5], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.8, 47.7], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.1, 43.0], 'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.9, 30.8], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.6, 40.6], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,Saved,,0.024765782,Normal,Free Kick,,,,Nantes,144,00:12:27.266,Shot,
