ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.738517,,,,,,,,,,,,e5a659a1-da1b-4ec4-b2a5-81410cdda569,184,,"[109.5, 39.7]",3829465,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Layvin Kurzawa,4326.0,Left Back,9,Paris Saint-Germain,131,"['2df072fe-f3c0-4139-a7b8-29f5287e95b8', '89c4f6d3-2814-466b-8227-547dada6b7fa']",4,True,Head,"[118.1, 40.2, 0.5]",,"[{'location': [100.4, 58.2], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.7, 44.3], 'player': {'id': 7367, 'name': 'Grejohn Kyei'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [106.5, 43.3], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 43.1], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [110.3, 40.1], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.9, 39.0], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.6, 36.5], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.6, 33.2], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 40.1], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.9, 36.7], 'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [111.0, 31.6], 'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.4, 41.9], 'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.9, 42.8], 'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.5, 39.8], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",8ed2e7ad-111b-4a79-9048-82f950f9db46,,Saved,0.054878768,Normal,Open Play,,,,Paris Saint-Germain,131,00:05:04.072,Shot,True
,,,,,,,,,,,,,,0.955939,,,,,,,,,,,,a8a71466-674f-44ab-9e53-f07515f9c473,282,,"[99.4, 54.7]",3829465,7,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Marco Verratti,3166.0,Right Center Midfield,13,Paris Saint-Germain,131,"['c3c16ed4-32f9-4a1f-9e0c-7c85ef3d8d7c', 'fc942289-d27a-4121-b3b2-8e74d766d4d9']",5,,Right Foot,"[117.1, 42.0, 1.5]",,"[{'location': [118.5, 42.9], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.5, 54.0], 'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.9, 62.9], 'player': {'id': 7817, 'name': 'Frédéric Bulot'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [104.5, 54.6], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.8, 52.4], 'player': {'id': 7367, 'name': 'Grejohn Kyei'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [103.8, 44.9], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.9, 47.2], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [107.1, 44.4], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.7, 42.2], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.1, 41.1], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.9, 35.1], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.8, 65.9], 'player': {'id': 351521, 'name': 'Ezequiel Iván Lavezzi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.0, 54.0], 'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.0, 41.1], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.0, 40.8], 'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.8, 37.7], 'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.4, 36.0], 'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.1, 34.1], 'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",ecd3e708-7367-4667-9a4a-402d885ee193,,Saved,0.021769846,Half Volley,Open Play,,,,Paris Saint-Germain,131,00:07:05.473,Shot,True
,,,,,,,,,,,,,,0.107935,,,,,,,,,,,,3e3dea07-ce6d-4e4b-8095-38fb1535c1a1,473,,"[90.0, 37.5]",3829465,10,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Frédéric Bulot,7817.0,Right Midfield,26,Stade de Reims,156,"['931fa73f-2020-43c0-917b-61c86e78f62e', 'c16b3631-e14e-4b50-86d5-55983227e9ad']",35,,Left Foot,"[93.7, 38.0]",,"[{'location': [99.7, 29.6], 'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.4, 20.6], 'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.9, 30.7], 'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [95.1, 41.4], 'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.7, 35.9], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.1, 37.1], 'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.4, 39.3], 'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.2, 9.9], 'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [88.9, 35.3], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [97.8, 33.8], 'player': {'id': 7367, 'name': 'Grejohn Kyei'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",dc5ec58d-be77-4885-acbf-ddcdb9b03b3f,,Blocked,0.025569675,Normal,Open Play,,,,Stade de Reims,156,00:10:35.426,Shot,
,,,,,,,,,,,,,,1.21046,,,,,,,,,,,,2abd6b99-a249-4a59-a7c6-e1fcbf70f081,766,,"[115.9, 28.7]",3829465,17,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ezequiel Iván Lavezzi,351521.0,Left Wing,37,Paris Saint-Germain,131,"['51927db0-4e84-407e-b338-bb7cdf3c2dc9', '8079d9a7-bb26-477a-88e9-9032091806b8', 'f4f00f63-6066-4cb1-ae1a-68c191d78998']",40,,Right Foot,"[119.5, 38.0]",,"[{'location': [103.0, 35.1], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.2, 29.5], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.9, 38.8], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 35.9], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.1, 30.6], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.4, 23.4], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.4, 12.9], 'player': {'id': 7817, 'name': 'Frédéric Bulot'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.2, 31.8], 'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.3, 9.9], 'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [96.6, 30.0], 'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.3, 38.3], 'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",164d6698-e0b0-4cf0-9cb1-f6e394a87b30,,Blocked,0.096047476,Lob,Open Play,,,,Paris Saint-Germain,131,00:17:40.742,Shot,True
,,,,,,,,,,,,,,0.264334,,,,,,,,,,,,9631daeb-40ab-49d9-a1da-cae842750c57,1534,,"[99.7, 38.0]",3829465,37,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Javier Matías Pastore,4370.0,Left Center Midfield,67,Paris Saint-Germain,131,"['43642b4a-b262-457e-b002-8e8332616e42', 'e6adfca4-e94b-4890-a2b5-aa4fab14cb90']",48,,Left Foot,"[112.7, 43.6]",,"[{'location': [99.8, 39.1], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [116.1, 39.7], 'player': {'id': 3980, 'name': 'Johny Placide'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.2, 44.8], 'player': {'id': 7817, 'name': 'Frédéric Bulot'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [104.1, 36.2], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.2, 40.4], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.1, 36.7], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.2, 37.5], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.1, 36.4], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.1, 22.8], 'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.8, 25.8], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.4, 30.3], 'player': {'id': 351521, 'name': 'Ezequiel Iván Lavezzi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [92.7, 18.0], 'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.8, 44.6], 'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Wayward,0.050751276,Normal,Open Play,,,,Paris Saint-Germain,131,00:37:48.090,Shot,True
,,,,,,,,,,,,,,1.108756,,,,,,,,,,,,826b3159-d427-43b3-b51e-891a8f22baf4,1686,,"[107.5, 50.2]",3829465,40,,,True,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nicolas de Roussel de Préville,4383.0,Left Midfield,72,Stade de Reims,156,['912da75f-5fba-4117-8034-cca2027cee2f'],44,,Left Foot,"[120.0, 35.4, 1.6]",True,"[{'location': [106.0, 56.5], 'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.2, 41.2], 'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.3, 54.6], 'player': {'id': 351521, 'name': 'Ezequiel Iván Lavezzi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [103.2, 44.1], 'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.5, 28.5], 'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.9, 49.5], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.6, 43.5], 'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.4, 36.0], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [106.9, 40.8], 'player': {'id': 7367, 'name': 'Grejohn Kyei'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.4, 59.5], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,,Post,0.068263166,Normal,Open Play,,,,Stade de Reims,156,00:40:44.170,Shot,
,,,,,,,,,,,,,,0.976141,,,,,,,,,,,,c0fe2454-59fd-4218-bfbe-8b0a1d806fe7,1755,,"[91.5, 53.4]",3829465,41,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Hamari Traoré,3248.0,Right Back,74,Stade de Reims,156,['f4628ba0-12c9-4403-af6e-1c05671f6eda'],56,,Right Foot,"[116.6, 42.7, 0.3]",,"[{'location': [101.9, 22.8], 'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.7, 51.1], 'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.2, 44.9], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.1, 36.0], 'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.7, 48.6], 'player': {'id': 351521, 'name': 'Ezequiel Iván Lavezzi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.1, 41.7], 'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.3, 35.5], 'player': {'id': 7367, 'name': 'Grejohn Kyei'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [94.8, 40.5], 'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [97.5, 69.2], 'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",8bb9dfdc-65d9-4d93-8bba-b1aab97f3022,,Saved,0.02118443,Normal,Open Play,,,,Stade de Reims,156,00:41:56.675,Shot,
,,,,,,,,,,,,,,0.476998,,,,,,,,,,,,1de3c49c-f0b5-4168-bf54-4f53b4fe0747,1796,,"[111.5, 36.4]",3829465,42,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Zlatan Ibrahimović,3672.0,Center Forward,77,Paris Saint-Germain,131,"['8dbb75a3-2aea-4aca-8493-af7e4c00ad99', 'f6681659-794a-473d-b0f8-ea179d6288ac']",42,True,Head,"[116.2, 35.1]",,"[{'location': [118.2, 39.3], 'player': {'id': 3980, 'name': 'Johny Placide'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.4, 40.2], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.1, 46.3], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.4, 26.0], 'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [111.7, 40.2], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.6, 36.8], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.5, 46.8], 'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [98.2, 31.0], 'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.0, 41.1], 'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.1, 39.4], 'player': {'id': 351521, 'name': 'Ezequiel Iván Lavezzi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.5, 21.2], 'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [111.8, 33.2], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",9189e690-2c41-413b-8e10-629d1b03e161,,Wayward,0.09300613,Normal,Open Play,,,,Paris Saint-Germain,131,00:42:42.859,Shot,True
,,,,,,,,,,,,,,0.643553,,,,,,,,,,,,a8b92fe7-8576-42db-b31f-bd465f0d2fd7,2089,,"[104.8, 26.4]",3829465,46,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Zlatan Ibrahimović,3672.0,Center Forward,92,Paris Saint-Germain,131,['1747d6a8-adf0-4831-82ec-a4760d0f763e'],32,,Left Foot,"[120.0, 39.9, 3.5]",True,"[{'location': [104.5, 28.3], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.8, 33.5], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.7, 35.9], 'player': {'id': 3980, 'name': 'Johny Placide'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",b183ad1e-9f3c-465d-b892-47ee85013b99,,Off T,0.06177168,Half Volley,Open Play,,,,Paris Saint-Germain,131,00:01:32.959,Shot,
,,,,,,,,,,,,,,0.121289,,,,,,,,,,,,7d2e813e-22e0-443b-a103-f11ff015c1fd,2156,,"[97.0, 43.6]",3829465,48,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lucas Rodrigues Moura da Silva,3745.0,Right Wing,96,Paris Saint-Germain,131,"['75861f9e-8f30-4408-b1d5-c0c625021d0e', 'a9ed5222-7f72-4bf6-8f26-a29c8d88c1f2']",4,,Left Foot,"[99.5, 43.2]",,"[{'location': [101.6, 50.8], 'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.3, 45.5], 'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.1, 44.0], 'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 42.9], 'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.1, 35.7], 'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.7, 39.6], 'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 40.5], 'player': {'id': 3980, 'name': 'Johny Placide'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.2, 45.2], 'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.5, 24.6], 'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [102.4, 27.4], 'player': {'id': 351521, 'name': 'Ezequiel Iván Lavezzi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.7, 46.7], 'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",75aaa0c6-ff9d-4e17-a19f-fcad7f6dc615,,Blocked,0.0476394,Normal,Open Play,,,,Paris Saint-Germain,131,00:03:04.825,Shot,
