ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.827486,,,,,,,,,,,,,,,2b63d2bb-2f82-48d3-b69d-13f9fb376af1,153,,"[108.5, 46.0]",3879547,3,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Seydou Kéita,20169.0,Center Defensive Midfield,9,AS Roma,229,"['822e04ae-8749-4be8-8f26-325de96b3dfa', 'b930dc03-dab7-4e62-994f-f130feede87e']",3,True,Head,,"[120.0, 40.0, 3.6]",,"[{'location': [119.6, 43.2], 'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.1, 52.3], 'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [111.5, 48.4], 'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [110.7, 47.1], 'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.2, 42.0], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.5, 38.4], 'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.4, 40.5], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [100.4, 55.2], 'player': {'id': 7696, 'name': 'Ryder Matos Santos'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [104.4, 36.1], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.7, 41.2], 'player': {'id': 57655, 'name': 'Željko Brkić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.6, 47.8], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [113.1, 40.5], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.3, 37.4], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [107.9, 37.6], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.8, 49.6], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.1, 55.9], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.2, 45.3], 'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",41cebb33-017b-4d24-90d5-dd818383cb30,,,Off T,,0.03336514,Normal,Open Play,,,,AS Roma,229,00:03:03.353,Shot,True
,,,,,,,,,,,,,,,,0.53054,,,,,,,,,,,,,,,7652fb6d-e914-41fe-b94d-e3918f4797dd,396,,"[107.4, 49.4]",3879547,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Edin Džeko,6973.0,Center Forward,22,AS Roma,229,"['293c0a8b-3dd5-4615-85de-8bdda9f18dd2', '93c518f6-6119-4202-88cd-0c33b3de5b29']",37,,Right Foot,,"[117.0, 42.6, 0.2]",,"[{'location': [108.7, 47.6], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [105.2, 51.0], 'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [108.6, 41.1], 'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.8, 46.8], 'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.6, 44.3], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.3, 42.2], 'player': {'id': 57655, 'name': 'Željko Brkić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 41.7], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.2, 37.3], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.5, 51.3], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",a45d5664-305e-4fc7-8740-06dbcb5f9f4a,,,Saved,,0.110899314,Normal,Open Play,,,,AS Roma,229,00:08:37.122,Shot,True
,,,,,,,,,,,,,,,,0.212657,,,,,,,,,,,,,,,28f2fa51-5c79-4522-8f33-ca574b240898,734,,"[108.7, 48.9]",3879547,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Marco Borriello,8871.0,Center Forward,37,Carpi,1683,['1733105d-ec6d-4c93-a7cb-bb24b87c3c17'],5,,Right Foot,,"[115.0, 46.1, 1.3]",,"[{'location': [115.0, 45.5], 'player': {'id': 40529, 'name': 'Morgan De Sanctis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.3, 44.9], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.7, 46.7], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.8, 41.8], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.6, 38.9], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.6, 37.1], 'player': {'id': 7696, 'name': 'Ryder Matos Santos'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",a6728549-9107-4f7d-862c-f1935d258df8,,,Saved,,0.21204352,Normal,Open Play,,,,Carpi,1683,00:16:05.293,Shot,
,,,,,,,,,,,,,,,,0.104659,,,,,,,,,,,,,,,bf100ef6-63a8-48cb-84e2-6565a46ad122,1023,,"[113.2, 25.5]",3879547,22,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Edin Džeko,6973.0,Center Forward,45,AS Roma,229,['49665aac-9b7b-4053-a7c0-c71c2dbf575a'],27,,Left Foot,,"[114.6, 28.2, 1.4]",,"[{'location': [111.5, 39.8], 'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [114.8, 28.7], 'player': {'id': 57655, 'name': 'Željko Brkić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.8, 34.8], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.2, 27.4], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [108.6, 30.2], 'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.4, 36.3], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [93.8, 75.3], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.3, 37.4], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.3, 56.0], 'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [110.0, 39.9], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",e7fc69fd-9172-4935-88fb-d5fdb1df170f,True,,Saved,,0.06589781,Normal,Open Play,,,,AS Roma,229,00:22:27.091,Shot,
,,,,,,,,,,,,,,,,0.413229,,,,,,,,,,,,,,,6a7b023e-92bc-4588-89c3-137606029f58,1029,,"[96.2, 22.8]",3879547,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Lucas Digne,6849.0,Left Back,46,AS Roma,229,"['22515c3d-b71a-4a1a-95f3-6e372519cf55', '41b480f3-d3c1-4181-ae8a-ef1ccd36780d']",1,,Left Foot,,"[110.1, 39.6]",True,"[{'location': [108.8, 41.4], 'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.9, 43.8], 'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [109.3, 36.1], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.1, 30.8], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [111.1, 29.6], 'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 37.2], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.0, 11.7], 'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.2, 25.7], 'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [98.4, 20.7], 'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [94.9, 24.7], 'player': {'id': 7696, 'name': 'Ryder Matos Santos'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [117.1, 36.4], 'player': {'id': 57655, 'name': 'Željko Brkić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.2, 44.0], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.1, 32.2], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.5, 40.0], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [108.8, 38.7], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.2, 27.0], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [115.8, 8.6], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.7, 17.1], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [93.3, 30.8], 'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",,,,Wayward,,0.016089946,Normal,Open Play,,,,AS Roma,229,00:23:01.081,Shot,True
,,,,,,,,,,,,,,,,0.601055,,,,,,,,,,,,,,,598a60d7-ed84-47d0-b249-de89ffb1b7d1,1034,,"[110.4, 39.6]",3879547,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Konstantinos Manolas,7048.0,Right Center Back,46,AS Roma,229,['c8c8605a-5442-486c-b94e-c10bebebeb62'],2,,Right Foot,,"[120.0, 36.4, 0.2]",,"[{'location': [106.8, 45.2], 'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [109.6, 36.2], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.5, 42.7], 'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.4, 30.9], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [109.0, 27.6], 'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.5, 36.8], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.0, 16.1], 'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.2, 24.1], 'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.8, 39.6], 'player': {'id': 57655, 'name': 'Željko Brkić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.8, 14.1], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.3, 17.7], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.2, 29.4], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [105.3, 39.8], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.8, 26.4], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.9, 43.5], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.7, 34.6], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",,True,,Goal,,0.5017799,Half Volley,Open Play,,,,AS Roma,229,00:23:02.519,Shot,
,,,,,,,,,,,,,,,,0.851557,,,,,,,,,,,,,,,38d25718-fb9b-4eee-9b0a-75cbc97a3818,1089,,"[99.2, 40.3]",3879547,27,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Miralem Pjanić,6947.0,Right Center Midfield,49,AS Roma,229,['5f5800cd-ba1a-4ec0-ab05-a2e0d9acf8a2'],10,,Right Foot,,"[120.0, 36.7, 1.3]",,"[{'location': [109.0, 44.0], 'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.1, 43.3], 'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.1, 42.5], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [109.1, 41.7], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.1, 40.8], 'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 39.8], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.2, 45.6], 'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [108.0, 47.3], 'player': {'id': 7696, 'name': 'Ryder Matos Santos'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [107.6, 36.5], 'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.2, 35.1], 'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [119.2, 38.5], 'player': {'id': 57655, 'name': 'Željko Brkić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.4, 47.0], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.5, 45.7], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.4, 38.0], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.1, 37.5], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.1, 32.6], 'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [95.4, 45.5], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.3, 53.5], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,,,Goal,,0.09897008,Normal,Free Kick,,,,AS Roma,229,00:27:10.053,Shot,
,,,,,,,,,,,,,,,,1.050856,,,,,,,,,,,,,,,15fa4401-5b87-47f6-88c8-13833bc46004,1220,,"[95.0, 66.2]",3879547,30,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Maicon Douglas Sisenando,19299.0,Right Back,52,AS Roma,229,['40261e64-640d-4f15-b14b-2506d73e53fa'],4,,Right Foot,,"[117.3, 41.4, 1.3]",,"[{'location': [117.6, 41.2], 'player': {'id': 57655, 'name': 'Željko Brkić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.9, 64.5], 'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [96.0, 63.4], 'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.8, 51.3], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.1, 44.6], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [99.9, 36.8], 'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [92.8, 49.1], 'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.4, 28.2], 'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [85.6, 61.0], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [95.2, 38.2], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.3, 43.2], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.7, 70.3], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",fde4c692-f3e2-4a0d-900d-7a31d17d824b,,,Saved,,0.0067312,Normal,Open Play,,,,AS Roma,229,00:30:04.040,Shot,
,,,,,,,,,,,,,,,,0.523582,,,,,,,,,,,,,,,8849fc05-9c20-4eb4-9ecd-ff37409f4c19,1224,,"[109.2, 41.0]",3879547,30,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gervais Lombe Yao Kouassi,15818.0,Left Wing,52,AS Roma,229,"['736547ce-757f-442e-bef9-e60fbfee1db1', '8a53d3c0-6b58-4a4b-81f7-26f9d4971884']",5,,Right Foot,,"[120.0, 43.7, 0.3]",True,"[{'location': [103.5, 65.4], 'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [106.7, 50.8], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.8, 60.6], 'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.7, 40.7], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.8, 38.9], 'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.6, 40.3], 'player': {'id': 57655, 'name': 'Željko Brkić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.5, 41.4], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.4, 69.5], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.8, 59.2], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,,,Goal,,0.3533631,Volley,Open Play,,,,AS Roma,229,00:30:05.794,Shot,True
,,,,,,,,,,,,,,,,0.731645,,,,,,,,,,,,,,,4fb88090-c399-42cb-a549-339f4679ea01,1254,,"[97.5, 40.0]",3879547,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gervais Lombe Yao Kouassi,15818.0,Left Wing,54,AS Roma,229,['743a466b-64c7-4020-8a8d-389c32d873dd'],30,,Right Foot,,"[120.0, 41.7, 4.9]",,"[{'location': [102.9, 48.9], 'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [102.3, 44.4], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.9, 39.3], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [98.7, 43.9], 'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.2, 35.0], 'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.1, 53.2], 'player': {'id': 28442, 'name': 'Matteo Fedele'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.3, 40.1], 'player': {'id': 57655, 'name': 'Željko Brkić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.1, 40.0], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.6, 30.4], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.1, 49.0], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",08b9db21-533d-4643-bc63-a15011659081,,,Off T,,0.058214933,Volley,Open Play,,,,AS Roma,229,00:31:30.930,Shot,
