50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.362182,,,,,,,,,,,,,ce990bb3-95bf-4c78-b709-7ebe8e39a959,124,,"[91.5, 32.5]",3879562,2,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Riccardo Montolivo,7166.0,Center Defensive Midfield,6,AC Milan,243,"['91344d75-6198-4bc4-af10-7fed1410a2d4', 'e21a3532-2a04-4085-b534-f5737cec914b']",14,,Right Foot,"[120.0, 44.4, 4.9]",,"[{'location': [115.2, 37.6], 'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.2, 19.1], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 23.1], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.3, 30.9], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 48.5], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.8, 42.0], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.6, 36.0], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.0, 50.2], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [96.5, 30.7], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.1, 15.5], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.4, 25.9], 'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.1, 15.0], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [98.8, 14.9], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.5, 50.0], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.0, 44.5], 'player': {'id': 21272, 'name': 'Luiz Adriano de Souza da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [92.8, 50.7], 'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",e9bec957-2b93-4938-8706-3c65629cc2c9,,Off T,0.026675995,Normal,Open Play,,,,AC Milan,243,00:02:14.664,Shot,True
,,,,,,,,,,,,,,,0.159539,,,,,,,,,,,,,eadcdca7-970a-43bf-a52c-408e8f410c4c,209,,"[98.3, 34.8]",3879562,4,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luiz Adriano de Souza da Silva,21272.0,Right Center Forward,13,Napoli,227,"['81870e93-d65a-4a5d-991c-d322ffc18b34', '9e388e96-9fb2-4c6b-a6c6-865b236c79d6']",56,,Right Foot,"[100.1, 35.5]",,"[{'location': [101.3, 29.0], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.0, 24.6], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.9, 31.5], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [89.4, 35.5], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.6, 34.1], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 35.4], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.3, 39.9], 'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.3, 45.3], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.3, 25.2], 'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.6, 30.3], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [98.7, 27.7], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [88.8, 42.9], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,,Blocked,0.03879156,Normal,Open Play,,,,AC Milan,243,00:04:56.616,Shot,
,,,,,,,,,,,,,,,1.621035,,,,,,,,,,,,,70495924-595d-41a7-8cf4-aa06a568ad13,544,,"[99.2, 48.6]",3879562,11,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Juraj Kucka,10919.0,Right Center Midfield,27,AC Milan,243,['b48af22a-fe20-4a02-85b0-2ccf93f0ca3e'],13,,Right Foot,"[120.0, 28.7, 0.3]",True,"[{'location': [103.4, 36.6], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [105.0, 46.5], 'player': {'id': 21272, 'name': 'Luiz Adriano de Souza da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [103.2, 23.4], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.6, 37.4], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.8, 41.2], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.4, 46.7], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.9, 41.2], 'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",9c1611ad-c5cf-465d-a6c1-912444596375,,Off T,0.059025504,Normal,Open Play,,,,AC Milan,243,00:11:13.873,Shot,
,,,,,,,,,,,,,,,0.716854,,,,,,,,,,,,,63b837fa-d8cf-49d1-887c-2419b750d9f2,609,,"[107.1, 46.5]",3879562,12,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Allan Marques Loureiro,7035.0,Right Center Midfield,30,Napoli,227,['37133142-9546-4ab9-840f-01b4f2f76e59'],39,,Right Foot,"[120.0, 43.0, 0.0]",,"[{'location': [112.2, 44.2], 'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.2, 46.9], 'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.7, 36.6], 'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.7, 42.6], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.2, 27.3], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.2, 35.5], 'player': {'id': 6360, 'name': 'Cristian Eduardo Zapata Valencia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.6, 30.5], 'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.5, 56.9], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.1, 28.9], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.9, 18.3], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.8, 34.4], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",96674f19-87ea-455e-9753-1f26d500fad2,True,Goal,0.4888157,Normal,Open Play,,,,Napoli,227,00:12:39.115,Shot,
,,,,,,,,,,,,,,,0.754731,,,,,,,,,,,,,423bcf25-bbb2-42c1-bf63-86a9ab8aff2e,739,,"[94.9, 25.1]",3879562,17,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luca Antonelli,8874.0,Left Back,40,AC Milan,243,['2a4b86d6-16cf-43c1-8de5-174b585943d6'],15,,Left Foot,"[107.4, 39.3]",True,"[{'location': [105.9, 35.3], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [96.6, 63.6], 'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.7, 54.6], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.7, 53.6], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.5, 61.1], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.5, 38.1], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.9, 32.3], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.7, 28.3], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.2, 39.4], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 50.3], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.2, 38.0], 'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.8, 26.2], 'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [107.4, 34.5], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [108.9, 42.6], 'player': {'id': 21272, 'name': 'Luiz Adriano de Souza da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [92.3, 37.6], 'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [88.0, 54.8], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,,Wayward,0.014067965,Half Volley,Open Play,,,,AC Milan,243,00:17:15.680,Shot,
,,,,,,,,,,,,,,,0.827762,,,,,,,,,,,,,4c2a2054-db81-44f0-9588-609882074c92,759,,"[94.7, 39.8]",3879562,17,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Gonzalo Gerardo Higuaín,5497.0,Center Forward,41,Napoli,227,"['882f3b54-2d5c-478a-a3d8-fe270da58ac2', 'a89f1ccb-8c88-4a6c-9a79-79075ac5c606']",36,,Left Foot,"[115.8, 38.0, 0.3]",,"[{'location': [88.9, 27.3], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.4, 51.0], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.4, 40.7], 'player': {'id': 6360, 'name': 'Cristian Eduardo Zapata Valencia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.8, 33.0], 'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.6, 39.6], 'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",4187cf62-623f-41ea-affb-91639c575dae,,Saved,0.058385387,Normal,Open Play,,,,Napoli,227,00:17:36.526,Shot,True
,,,,,,,,,,,,,,,0.289634,,,,,,,,,,,,,e1d0235d-5460-43b1-8193-0bc5de079727,1006,,"[98.4, 49.3]",3879562,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Carlos Arturo Bacca Ahumada,5688.0,Left Center Forward,62,AC Milan,243,"['1a1821f1-b270-442b-9c8d-e8dfbee821da', '996f19f7-5b16-4602-9206-53e72db99211', 'f46164bf-08e8-47e2-b53f-a1f7a17f7f5a']",59,,Right Foot,"[103.3, 47.5]",,"[{'location': [103.3, 24.7], 'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.0, 41.2], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [87.3, 47.8], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.1, 44.7], 'player': {'id': 21272, 'name': 'Luiz Adriano de Souza da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [91.3, 58.5], 'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.5, 38.8], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.7, 47.7], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.3, 35.8], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.7, 41.8], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.2, 44.4], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.5, 47.6], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.5, 56.8], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.6, 41.6], 'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Blocked,0.03800745,Normal,Open Play,,,,AC Milan,243,00:22:59.073,Shot,True
,,,,,,,,,,,,,,,1.110628,,,,,,,,,,,,,16060eec-acb1-4b86-88f3-5dd7843f69d6,1273,,"[112.4, 36.8]",3879562,30,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Luiz Adriano de Souza da Silva,21272.0,Right Center Forward,74,AC Milan,243,"['b700b05f-ceab-42b1-af6c-beb5573019ea', 'eecb7c00-2386-4630-bfa3-b3fd9b8277d5']",10,True,Head,"[120.0, 36.8, 5.7]",,"[{'location': [109.8, 38.8], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.4, 48.7], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.2, 43.6], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.4, 37.3], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.8, 36.9], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.5, 38.5], 'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.4, 42.1], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [115.2, 41.7], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.6, 40.1], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.9, 36.6], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.3, 51.2], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.5, 34.1], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.3, 52.8], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [115.5, 45.8], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [113.7, 38.6], 'player': {'id': 6360, 'name': 'Cristian Eduardo Zapata Valencia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [111.2, 42.3], 'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.9, 50.9], 'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",9b1555d2-7e50-4ffe-aade-02905f60bd4f,,Off T,0.07316671,Normal,Open Play,,,,AC Milan,243,00:30:10.565,Shot,True
,,,,,,,,,,,,,,,1.158793,,,,,,,,,,,,,aa3da660-48d5-4521-8e98-22dd0a383fde,1356,,"[100.5, 57.2]",3879562,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gonzalo Gerardo Higuaín,5497.0,Center Forward,77,Napoli,227,"['40885a04-bec4-4c07-8a7e-45d98a00e329', 'd3f813d8-5214-4897-ba02-87a63f7cbd38']",34,,Right Foot,"[120.0, 32.2, 0.2]",,"[{'location': [82.0, 32.5], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [99.6, 56.3], 'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.9, 51.9], 'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.7, 55.3], 'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.6, 49.3], 'player': {'id': 6636, 'name': 'Rodrigo Ely'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.9, 29.7], 'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.2, 42.2], 'player': {'id': 6360, 'name': 'Cristian Eduardo Zapata Valencia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.8, 32.8], 'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.7, 41.4], 'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.8, 66.1], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [88.3, 24.0], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.6, 37.9], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",7c7878d1-4981-4131-a968-428f80575c78,,Off T,0.024521872,Normal,Open Play,,,,Napoli,227,00:31:34.864,Shot,True
,,,,,,,,,,,,,,,1.467044,,,,,,,,,,,,,0239a2b0-cd55-43f2-9df0-8ac585929db6,1478,,"[97.4, 28.7]",3879562,35,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luca Antonelli,8874.0,Left Back,82,AC Milan,243,['d46d9de9-4113-495c-9d74-d83ec05f91c6'],5,,Left Foot,"[120.0, 34.2, 6.4]",,"[{'location': [108.5, 58.7], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.6, 38.3], 'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.1, 50.8], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.2, 59.4], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.9, 37.1], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.9, 40.5], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.1, 35.2], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.1, 30.3], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.3, 32.4], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.1, 29.5], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.2, 43.5], 'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [107.0, 41.9], 'player': {'id': 21272, 'name': 'Luiz Adriano de Souza da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [107.0, 36.6], 'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [92.9, 37.1], 'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [89.7, 41.5], 'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [91.1, 60.8], 'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",fe26a1ba-4287-4cd8-86eb-ade6282f913f,,Off T,0.024127755,Half Volley,Open Play,,,,AC Milan,243,00:35:05.107,Shot,
