50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.427812,,,,,,,,,,,,,17891023-ad39-4eb2-8062-7805c9038fcc,193,,"[108.7, 43.8]",3879592,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Miralem Pjanić,6947.0,Left Center Midfield,12,AS Roma,229,"['9c2ed81b-4bd7-41c3-9c1a-fbde0157e2d3', 'd602add1-1283-44b4-b0bc-d36683406fc2']",44,,Right Foot,"[120.0, 43.5, 0.4]",True,"[{'location': [118.8, 43.3], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.5, 47.5], 'player': {'id': 27044, 'name': 'Marco Antônio De Mattos Filho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.3, 43.4], 'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.5, 55.8], 'player': {'id': 386656, 'name': 'Giovanni Pasquale'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [113.4, 47.5], 'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.4, 32.3], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.1, 46.3], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.2, 38.8], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 35.6], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [111.6, 38.3], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.1, 33.9], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.7, 38.2], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [114.6, 47.5], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.9, 60.8], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [95.2, 18.1], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",b06447cd-8b6f-4a87-ac6b-6468752ea650,Goal,0.23434193,Normal,Open Play,,,,AS Roma,229,00:03:44.430,Shot,True
,,,,,,,,,,,,,,0.704132,,,,,,,,,,,,,9008448d-cce5-4c18-ad2d-01880e74588c,302,,"[104.3, 54.7]",3879592,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Edin Džeko,6973.0,Center Forward,17,AS Roma,229,['5682830c-fe17-40ae-889e-6f97c31e6df5'],35,,Left Foot,"[117.0, 43.7, 0.2]",,"[{'location': [117.9, 44.0], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.6, 58.4], 'player': {'id': 386656, 'name': 'Giovanni Pasquale'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [96.9, 46.8], 'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.6, 37.7], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.6, 50.0], 'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.5, 54.7], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [105.7, 34.4], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [109.5, 42.1], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.6, 42.9], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.7, 22.6], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.7, 39.1], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [89.5, 50.6], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",f82c27f8-0f34-44d1-9013-5e0288800ad7,Saved,0.06216215,Normal,Open Play,,,,AS Roma,229,00:06:35.606,Shot,
,,,,,,,,,,,,,,0.042526,,,,,,,,,,,,,580c54a7-9aef-4d3b-b527-097166bd436d,330,,"[101.4, 36.8]",3879592,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Edin Džeko,6973.0,Center Forward,21,AS Roma,229,"['36e93506-7a24-4e64-8e48-5073b6614625', '74483462-8632-45d9-b73b-6fb3ddd71283', 'dd09bd6e-dded-4ad7-991a-8151ee8c5814']",11,,Left Foot,"[102.6, 36.9]",True,"[{'location': [116.2, 39.7], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.5, 46.6], 'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.2, 47.6], 'player': {'id': 386656, 'name': 'Giovanni Pasquale'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [92.6, 26.1], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [100.5, 40.0], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [102.3, 35.9], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.6, 26.1], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.4, 45.4], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",81e5c1d2-6ccb-491b-80a0-ca13ad112c18,Blocked,0.115477294,Normal,Open Play,,,,AS Roma,229,00:07:11.124,Shot,True
,,,,,,,,,,,,,,0.677756,,,,,,,,,,,,,3948ffe2-cd71-4a18-9a9a-52c392f9a107,394,,"[109.7, 50.8]",3879592,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Maicon Douglas Sisenando,19299.0,Right Back,24,AS Roma,229,['a1598fe9-fbaf-41b8-a686-1488df692ce0'],43,,Left Foot,"[120.0, 42.2, 1.3]",,"[{'location': [104.4, 62.9], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [103.2, 38.1], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.8, 58.1], 'player': {'id': 27044, 'name': 'Marco Antônio De Mattos Filho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.3, 56.1], 'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.8, 47.3], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.2, 36.3], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [117.0, 44.5], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.7, 37.9], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.1, 39.0], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.0, 22.8], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",b9acbf0b-408e-4052-aa28-164d2af516ba,Goal,0.1770806,Normal,Open Play,,,,AS Roma,229,00:08:43.717,Shot,
,,,,,,,,,,,,,,0.042288,,,,,,,,,,,,,71df2b31-9db9-4465-a699-6c798e79d453,431,,"[91.4, 37.4]",3879592,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marco Antônio De Mattos Filho,27044.0,Left Center Midfield,26,Udinese,230,"['89007a28-3f07-464e-97f4-e292468379d7', 'a292279f-a0d1-433c-8851-f1ac4669c62b']",26,,Left Foot,"[93.2, 37.5]",,"[{'location': [118.8, 39.9], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.8, 51.1], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.4, 47.3], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.6, 39.2], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.2, 47.2], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.6, 33.6], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.4, 54.9], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.6, 38.7], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.6, 66.0], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.0, 47.9], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [102.1, 42.6], 'player': {'id': 7805, 'name': 'Stipe Perica'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.8, 47.3], 'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [99.5, 17.4], 'player': {'id': 386656, 'name': 'Giovanni Pasquale'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",51a3948a-7621-4abd-bd06-6704e3ad8118,Blocked,0.029191436,Normal,Open Play,,,,Udinese,230,00:10:26.951,Shot,
,,,,,,,,,,,,,,0.751421,,,,,,,,,,,,,f19ba5bb-ee69-49c9-b2af-d3241087bba2,826,,"[105.7, 29.2]",3879592,20,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lucas Digne,6849.0,Left Back,40,AS Roma,229,"['3b8853c8-15da-481e-90da-b750c02f6643', 'aa00dd53-d48f-4164-b506-b651f642b023']",1,,Left Foot,"[120.0, 38.8, 4.9]",True,"[{'location': [118.1, 38.2], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.8, 49.3], 'player': {'id': 386656, 'name': 'Giovanni Pasquale'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [119.1, 50.7], 'player': {'id': 27044, 'name': 'Marco Antônio De Mattos Filho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.4, 32.0], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.4, 38.6], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [117.2, 42.6], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [112.9, 46.6], 'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 49.4], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.8, 48.3], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [114.9, 41.1], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.8, 34.1], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.5, 44.8], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,Off T,0.09736957,Normal,Open Play,,,,AS Roma,229,00:20:01.187,Shot,True
,,,,,,,,,,,,,,0.816639,,,,,,,,,,,,,fb5bf3be-6ac4-4569-b702-316c74418098,1014,,"[105.4, 43.2]",3879592,23,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Edin Džeko,6973.0,Center Forward,49,AS Roma,229,"['505ebb8b-f3e8-4019-a2dc-dce449744a82', 'a5371cf7-1057-495e-8fc9-2f204c0300cf']",58,True,Head,"[118.5, 41.6, 0.4]",,"[{'location': [101.9, 43.8], 'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.1, 72.0], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.0, 42.5], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.3, 25.2], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.8, 62.4], 'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.7, 28.3], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [102.8, 48.2], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [105.6, 42.6], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",644b28a6-9cde-4980-8281-bb08e30fd535,Saved,0.04364121,Normal,Open Play,,,,AS Roma,229,00:23:58.715,Shot,True
,,,,,,,,,,,,,,1.140721,,,,,,,,,,,,,9250313e-c7c8-4736-ac39-fe083fe5146f,1049,,"[85.0, 43.6]",3879592,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marco Antônio De Mattos Filho,27044.0,Left Center Midfield,54,Udinese,230,['18c072ee-91f6-4f2e-ad68-68a8e1472008'],49,,Left Foot,"[120.0, 40.8, 3.5]",,"[{'location': [95.4, 42.8], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.3, 33.2], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.9, 23.4], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.9, 40.0], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.9, 55.9], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [95.9, 50.9], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [95.4, 43.5], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.7, 40.9], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.6, 37.6], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.7, 35.0], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [96.2, 27.3], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [78.0, 30.0], 'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [97.4, 32.6], 'player': {'id': 7805, 'name': 'Stipe Perica'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [96.6, 55.6], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [95.1, 54.3], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [97.6, 40.5], 'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [95.7, 24.3], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [96.2, 19.1], 'player': {'id': 386656, 'name': 'Giovanni Pasquale'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [80.1, 41.8], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,Off T,0.018270329,Normal,Free Kick,,,,Udinese,230,00:25:49.357,Shot,
,,,,,,,,,,,,,,0.449379,,,,,,,,,,,,,65300437-1f96-4ca3-97c6-3c6057a7541e,1203,,"[106.2, 33.1]",3879592,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Alessandro Florenzi,6964.0,Right Center Midfield,63,AS Roma,229,['0156bca0-05e5-41ec-93a5-1785a386c9c1'],9,,Left Foot,"[120.0, 35.4, 5.2]",True,"[{'location': [102.8, 37.5], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.3, 45.5], 'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.7, 46.0], 'player': {'id': 386656, 'name': 'Giovanni Pasquale'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [102.8, 34.3], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [117.4, 39.0], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.3, 32.2], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.8, 47.2], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",81b862f8-acfd-409c-be0b-f80304fcfe6d,Off T,0.117958166,Half Volley,Open Play,,,,AS Roma,229,00:30:09.421,Shot,
,,,,,,,,,,,,,,0.027779,,,,,,,,,,,,,0c88042a-1eb5-42b3-92f5-01b148af766f,1451,,"[109.0, 35.5]",3879592,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Stipe Perica,7805.0,Left Center Forward,81,Udinese,230,"['69ddd69a-6a99-4610-8961-fbae8e95a2e7', '7b55454d-3989-46df-ac9a-765af1285fce', '99d94d0f-70c6-434f-9b41-ce8df455dd89']",20,True,Head,"[109.8, 35.7]",,"[{'location': [111.6, 49.3], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.3, 49.0], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 40.4], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.2, 38.7], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.1, 26.1], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.5, 27.0], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.2, 27.8], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.9, 41.2], 'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.5, 36.0], 'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.0, 38.2], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.6, 36.1], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [100.0, 18.5], 'player': {'id': 27044, 'name': 'Marco Antônio De Mattos Filho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.2, 49.8], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [110.9, 48.8], 'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.7, 39.9], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [110.7, 37.3], 'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [98.5, 41.3], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [93.7, 36.2], 'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [91.9, 27.8], 'player': {'id': 386656, 'name': 'Giovanni Pasquale'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",bc625365-13ab-4933-a5cf-0d8859aa8e07,Blocked,0.046518177,Normal,Open Play,,,,Udinese,230,00:39:20.378,Shot,True
