50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.602007,,,,,,,,,,,,706b31a2-df83-4318-b8c1-0e5ba86fc2f5,154,,,"[108.2, 32.5]",3879797,3,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Nicola Sansone,6859.0,Left Wing,12,Sassuolo,232,['5b10b3e9-0598-4639-a256-6d9f87902aa8'],19,,Left Foot,,"[120.0, 39.0, 2.2]",,"[{'location': [108.0, 33.5], 'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.2, 35.4], 'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",d1e1c05c-7fe5-4d8d-8a2f-b46a0da2cb7f,True,Goal,0.29331222,Normal,Open Play,,,,Sassuolo,232,00:03:19.108,Shot,
,,,,,,,,,,,,,,,,,,1.007011,,,,,,,,,,,,11377fcf-2cda-4883-a6fc-3e244918c984,314,,,"[95.4, 45.2]",3879797,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Domenico Berardi,7131.0,Right Wing,16,Sassuolo,232,"['1769eac3-d1ae-4f88-a71b-f6c659d1e1b3', 'ce5d5de0-8068-47a2-b7ba-69ae16f730bd']",52,,Left Foot,,"[120.0, 33.8, 6.3]",True,"[{'location': [90.2, 54.8], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.1, 42.8], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.4, 35.4], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.2, 21.4], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [91.5, 57.0], 'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [87.6, 38.5], 'player': {'id': 387832, 'name': 'Filippo Porcari'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [87.1, 35.7], 'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [88.2, 34.3], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.0, 43.9], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.1, 43.8], 'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.3, 39.0], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.1, 32.3], 'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.8, 40.0], 'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Off T,0.034601584,Normal,Open Play,,,,Sassuolo,232,00:06:52.662,Shot,True
,,,,,,,,,,,,,,,,,,0.268922,,,,,,,,,,,,67fc9148-e1e0-4d76-8fb9-71878db8b2f1,728,,,"[103.0, 46.6]",3879797,16,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Isaac Cofie,7460.0,Right Center Midfield,38,Carpi,1683,['eed222bf-aaa5-4857-9d18-d97ae3698772'],1,,Right Foot,,"[120.0, 32.6, 0.8]",,"[{'location': [102.2, 47.8], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.1, 40.1], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.9, 47.6], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.2, 41.9], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.1, 56.6], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 55.7], 'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.7, 36.3], 'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [104.4, 57.9], 'player': {'id': 15415, 'name': 'Matteo Mancosu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [87.6, 68.2], 'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",04294c09-5aec-4266-9e17-af8734c466da,,Off T,0.23199067,Normal,Open Play,,,,Carpi,1683,00:16:01.710,Shot,
,,,,,,,,,,,,,,,,,,0.989202,,,,,,,,,,,,77001646-7ade-4924-95a5-2628e800d04d,965,,,"[105.8, 63.5]",3879797,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Domenico Berardi,7131.0,Right Wing,52,Sassuolo,232,['1a711ba7-0450-46b2-896b-6a6f296f2a05'],36,,Left Foot,,"[119.2, 43.9, 0.9]",True,"[{'location': [115.1, 57.7], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.7, 40.5], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.9, 46.3], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [113.4, 39.1], 'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.2, 38.3], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [92.7, 21.7], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [90.2, 34.2], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.4, 39.2], 'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.4, 40.9], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.8, 46.5], 'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.0, 38.4], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.1, 56.4], 'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.7, 52.8], 'player': {'id': 387832, 'name': 'Filippo Porcari'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.5, 48.2], 'player': {'id': 15415, 'name': 'Matteo Mancosu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.4, 40.3], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.4, 60.2], 'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.0, 36.3], 'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.9, 42.9], 'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",c8bd0d6b-c659-4f07-b85f-abd6abb8f3b4,,Saved,0.0070303218,Normal,Open Play,,,,Sassuolo,232,00:22:36.240,Shot,
,,,,,,,,,,,,,,,,,,0.980915,,,,,,,,,,,,950797ae-a0e6-4c8d-a6ba-6fdfb6d8e9b2,978,,,"[113.8, 39.4]",3879797,24,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Riccardo Gagliolo,11499.0,Left Center Back,54,Carpi,1683,['41519345-bf1b-40de-80d4-516f82e844fe'],14,,Head,,"[120.0, 42.9, 1.3]",,"[{'location': [102.9, 31.3], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.5, 24.5], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.6, 32.1], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 38.2], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.3, 39.3], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 43.2], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.1, 42.0], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.9, 38.9], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.6, 36.8], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.0, 41.0], 'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.3, 37.6], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.5, 44.3], 'player': {'id': 387832, 'name': 'Filippo Porcari'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [112.1, 31.4], 'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.5, 38.4], 'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [111.6, 37.7], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.3, 47.4], 'player': {'id': 15415, 'name': 'Matteo Mancosu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.9, 45.6], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",0be6c77f-089c-4c77-bfdf-9e9eed0640f7,,Goal,0.20434119,Normal,Open Play,,,,Carpi,1683,00:24:14.079,Shot,
,,,,,,,,,,,,,,,,,,0.718059,,,,,,,,,,,,f3bec310-b94f-49cd-8dac-17eb05f78af1,1074,,,"[104.1, 31.1]",3879797,26,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gregoire Defrel,7457.0,Center Forward,57,Sassuolo,232,['a7a9ee52-b9c1-4958-9d95-6ebd66a47728'],33,,Left Foot,,"[118.3, 39.6, 0.2]",,"[{'location': [96.4, 44.3], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.6, 53.1], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.3, 39.5], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.1, 38.9], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [92.0, 15.0], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.9, 37.8], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.4, 37.4], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.9, 41.2], 'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.9, 34.5], 'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.5, 32.3], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.6, 23.8], 'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.3, 38.9], 'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",62306878-cbdd-4110-9f47-e92465fd8afa,,Saved,0.056784358,Normal,Open Play,,,,Sassuolo,232,00:26:33.113,Shot,
,,,,,,,,,,,,,,,,,,0.650904,,,,,,,,,,,,b5c30af3-0479-4392-944a-c09c4a56c8db,1442,,,"[109.9, 38.0]",3879797,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Gregoire Defrel,7457.0,Center Forward,78,Sassuolo,232,['5601c24d-15b5-4149-9a7d-c31a15991ad4'],51,,Right Foot,,"[120.0, 36.6, 0.9]",,"[{'location': [117.7, 27.3], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.4, 23.3], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.3, 24.4], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [113.1, 49.2], 'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.5, 40.0], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.4, 27.7], 'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.1, 31.6], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.2, 35.0], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.7, 36.9], 'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",8a9957f9-9461-4a3c-bb8d-36281b209778,,Goal,0.4824446,Normal,Open Play,,,,Sassuolo,232,00:34:51.741,Shot,
,,,,,,,,,,,,,,,,,,0.004049,,,,,,,,,,,,fbe8be87-f629-409e-889b-f4bbce0d5647,1525,,,"[111.7, 41.9]",3879797,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Simone Romagnoli,7172.0,Right Center Back,83,Carpi,1683,['c34a14cb-e32f-411a-9825-8d50ff1d85e4'],23,,Head,,"[112.8, 40.3]",,"[{'location': [113.3, 30.7], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [113.9, 35.2], 'player': {'id': 387832, 'name': 'Filippo Porcari'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [111.1, 38.2], 'player': {'id': 15415, 'name': 'Matteo Mancosu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.1, 40.9], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.8, 39.8], 'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [108.4, 49.8], 'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.7, 61.5], 'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [114.1, 37.8], 'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.9, 33.8], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.4, 37.4], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.3, 38.6], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.8, 41.9], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.6, 44.1], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.3, 40.0], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.8, 54.8], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.0, 43.9], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [104.3, 46.0], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.4, 40.0], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",23d679f5-4557-461b-bbb3-bdca91d60f96,,Wayward,0.08795484,Normal,Open Play,,,,Carpi,1683,00:38:23.903,Shot,
,,,,,,,,,,,,,,,,,,0.530276,,,,,,,,,,,,99f28cbd-f270-4491-8cbe-b40db9769adc,1531,,,"[111.6, 47.2]",3879797,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Simone Romagnoli,7172.0,Right Center Back,84,Carpi,1683,"['373ec158-4803-4a37-97d2-2e266e75b202', '83518b0f-45c3-4925-8c22-9c4954508752']",51,True,Head,,"[115.9, 43.4]",,"[{'location': [118.5, 41.7], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.8, 37.1], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.5, 39.2], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.1, 36.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.3, 32.9], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.5, 39.4], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.2, 45.8], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.9, 42.7], 'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 44.6], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.2, 48.0], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.6, 37.1], 'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [115.5, 40.7], 'player': {'id': 15415, 'name': 'Matteo Mancosu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.4, 35.7], 'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.6, 43.5], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [109.9, 54.7], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",e7d40a5a-7819-4601-a864-9591aade70cc,,Wayward,0.053380255,Normal,Open Play,,,,Carpi,1683,00:38:51.625,Shot,True
,,,,,,,,,,,,,,,,,,0.235446,,,,,,,,,,,,7f7e9313-fd4c-4069-95d4-8fa21fca1f84,1534,,,"[116.9, 43.4]",3879797,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Matteo Mancosu,15415.0,Center Forward,84,Carpi,1683,['0918b3ae-5f6d-4ec1-92e7-dc3c40c5126c'],52,,Right Foot,,"[120.0, 45.5, 1.3]",True,"[{'location': [105.5, 41.4], 'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [101.8, 47.3], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [114.3, 35.9], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.4, 33.6], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.3, 37.5], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.0, 38.7], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.8, 45.5], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.2, 49.5], 'player': {'id': 387420, 'name': 'Alessandro Longhi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.4, 42.2], 'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.9, 41.7], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.9, 37.0], 'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [114.7, 36.3], 'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.9, 49.1], 'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.4, 44.7], 'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [110.9, 56.9], 'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",,,Off T,0.55234915,Half Volley,Open Play,,,,Carpi,1683,00:38:52.318,Shot,
