50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.9975,,,,,,,,,,,,,b1129e66-6187-41d0-886d-a2069c9f90b1,80,,"[91.2, 18.0]",3879803,1,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bruno Miguel Borges Fernandes,5204.0,Left Center Midfield,8,Udinese,230,"['069f63a0-eeff-4887-bdeb-551d26ab1db9', '1d06fdda-d63c-4f13-9c90-18c1332a1c19']",14,,Right Foot,"[120.0, 26.7, 1.4]",True,"[{'location': [101.2, 49.0], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.3, 39.0], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.7, 6.6], 'player': {'id': 6577, 'name': 'Zdravko Kuzmanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [102.6, 23.0], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.5, 15.9], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.8, 21.0], 'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.1, 19.5], 'player': {'id': 29312, 'name': 'Pablo Estífer Armero'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [93.8, 17.2], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [93.4, 19.6], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [79.4, 12.6], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [83.8, 10.9], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [86.5, 13.6], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [87.3, 26.6], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.7, 39.3], 'player': {'id': 30767, 'name': 'Gabriel Vasconelos Ferreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [83.7, 21.7], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [90.3, 24.5], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",23a7433d-24e5-404c-9db7-5674d3eaa4e6,,Off T,0.00518892,Half Volley,Open Play,,,,Udinese,230,00:01:14.381,Shot,True
,,,,,,,,,,,,,,,,,,0.555702,,,,,,,,,,,,,0c991617-3cdb-41ac-ad1e-1f3129f779c7,537,,"[108.0, 40.0]",3879803,13,,,,,,,,,,,,,,,,,,,,,,,1,Other,Bruno Miguel Borges Fernandes,5204.0,Left Center Midfield,33,Udinese,230,['d8b3c355-0d13-4d66-8fa5-fb513fc53bf9'],9,,Right Foot,"[120.0, 42.6, 0.3]",,,,,Goal,0.7835,Normal,Penalty,,,,Udinese,230,00:13:09.839,Shot,
,,,,,,,,,,,,,,,,,,0.560232,,,,,,,,,,,,,519ef471-91fe-4111-93ea-189df55a53dd,657,,"[105.3, 30.4]",3879803,16,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Bruno Miguel Borges Fernandes,5204.0,Left Center Midfield,41,Udinese,230,['49c479b3-0c52-4caf-acd0-b1c70d43ffe6'],32,,Right Foot,"[120.0, 37.0, 4.1]",,"[{'location': [105.8, 53.9], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.6, 46.8], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.8, 33.4], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 30.5], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.3, 38.3], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.5, 33.0], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.1, 51.9], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.8, 37.2], 'player': {'id': 30767, 'name': 'Gabriel Vasconelos Ferreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 39.0], 'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.3, 37.5], 'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.5, 25.5], 'player': {'id': 29312, 'name': 'Pablo Estífer Armero'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [90.3, 58.6], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",d85614eb-f1fa-4759-b80e-c3fe10c633d5,,Off T,0.07624432,Normal,Open Play,,,,Udinese,230,00:16:32.781,Shot,
,,,,,,,,,,,,,,,,,,0.850741,,,,,,,,,,,,,48ed7654-cfb5-4c28-a1ef-44c33cb3d410,804,,"[91.5, 41.2]",3879803,21,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Faouzi Ghoulam,8876.0,Left Back,50,Napoli,227,['4a16a536-b28a-40bf-8268-159e07acf162'],15,,Right Foot,"[120.0, 43.8, 5.1]",True,"[{'location': [105.0, 41.5], 'player': {'id': 8852, 'name': 'Thomas Heurtaux'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.5, 38.7], 'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.7, 37.9], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [101.3, 42.2], 'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [105.9, 46.8], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [102.0, 35.6], 'player': {'id': 6577, 'name': 'Zdravko Kuzmanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.9, 37.7], 'player': {'id': 29312, 'name': 'Pablo Estífer Armero'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [102.6, 43.6], 'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.9, 25.1], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.5, 21.2], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.3, 40.5], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.5, 48.8], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.5, 38.4], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.9, 36.2], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [105.8, 31.4], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.9, 32.6], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.7, 27.9], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.3, 17.5], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [90.7, 25.4], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",e5edae37-05a5-4583-ba15-e3d37295f6e0,,Off T,0.023265813,Normal,Open Play,,,,Napoli,227,00:21:15.637,Shot,
,,,,,,,,,,,,,,,,,,0.384329,,,,,,,,,,,,,7efd2973-9bbd-496d-b0ab-3561a80646af,882,,"[110.3, 55.4]",3879803,23,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,José María Callejón Bueno,7029.0,Right Wing,56,Napoli,227,"['3de0e1df-71c3-4eb3-aaab-919eea249885', 'c484ecbe-43c0-4851-b48b-ddc7379c249a']",34,,Right Foot,"[113.0, 42.3]",,"[{'location': [109.1, 54.6], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.8, 48.7], 'player': {'id': 6577, 'name': 'Zdravko Kuzmanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.2, 35.6], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.9, 55.4], 'player': {'id': 29312, 'name': 'Pablo Estífer Armero'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [113.3, 48.8], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.6, 33.1], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [111.6, 41.8], 'player': {'id': 8852, 'name': 'Thomas Heurtaux'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.5, 43.3], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.8, 60.9], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.8, 37.4], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [111.5, 42.6], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",3c36835e-4863-4f29-b96c-b9c205515327,,Wayward,0.03010336,Half Volley,Open Play,,,,Napoli,227,00:23:34.128,Shot,True
,,,,,,,,,,,,,,,,,,0.723197,,,,,,,,,,,,,46cc86a5-26ac-49a7-8bf2-f4a6af2c5e6a,887,,"[100.1, 43.0]",3879803,23,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gonzalo Gerardo Higuaín,5497.0,Center Forward,56,Napoli,227,"['7d47f131-59e7-451e-8e46-c492674ef90c', '98084b1b-9b4a-4c8d-8c49-b088de70c2c0']",36,,Right Foot,"[120.0, 42.9, 1.9]",True,"[{'location': [105.5, 47.8], 'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.8, 48.5], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.5, 43.7], 'player': {'id': 6577, 'name': 'Zdravko Kuzmanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.4, 49.3], 'player': {'id': 29312, 'name': 'Pablo Estífer Armero'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [113.3, 44.1], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [111.9, 39.4], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.8, 41.9], 'player': {'id': 8852, 'name': 'Thomas Heurtaux'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.9, 35.3], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [118.2, 40.6], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.3, 59.7], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.4, 49.3], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.7, 40.9], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.9, 39.3], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,,Goal,0.04306613,Half Volley,Open Play,,,,Napoli,227,00:23:36.280,Shot,True
,,,,,,,,,,,,,,,,,,0.423083,,,,,,,,,,,,,7a05b72d-5998-4691-a6d1-cf359819312e,904,,"[108.0, 40.0]",3879803,25,,,,,,,,,,,,,,,,,,,,,,,1,Other,Bruno Miguel Borges Fernandes,5204.0,Left Center Midfield,58,Udinese,230,['f2009bba-25e3-452c-92f2-3884e6e312e6'],52,,Right Foot,"[119.3, 38.0, 0.4]",,,,,Saved,0.7835,Normal,Penalty,,,,Udinese,230,00:25:52.517,Shot,
,,,,,,,,,,,,,,,,,,0.575409,,,,,,,,,,,,,d42dbe2d-2ca8-45a6-983e-2201ef3c31d2,907,,"[113.0, 36.1]",3879803,25,,,,,,,,,,,,,,,,,,,,,,,1,Other,Felipe Dias da Silva dal Belo,6938.0,Left Center Back,58,Udinese,230,['184d6b47-2085-4de5-9659-aef6544b7ed7'],53,,Left Foot,"[118.3, 38.1, 0.9]",True,"[{'location': [108.7, 41.2], 'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.5, 38.2], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [118.4, 38.1], 'player': {'id': 30767, 'name': 'Gabriel Vasconelos Ferreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.3, 50.8], 'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.5, 48.6], 'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.7, 42.8], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.7, 40.3], 'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.1, 29.7], 'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 47.0], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",,,Saved,0.48581362,Half Volley,Open Play,,,,Udinese,230,00:25:53.842,Shot,
,,,,,,,,,,,,,,,,,,1.263138,,,,,,,,,,,,,86a3a926-5b5a-45a8-b1c2-d8d1ea961898,969,,"[108.1, 37.2]",3879803,28,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Raúl Albiol i Tortajada,7030.0,Right Center Back,63,Napoli,227,"['9ffd0269-4f5e-4237-82e3-ae0c292b21de', 'c1aaed10-09e8-4c55-b3fe-ff25014be76a']",57,True,Head,"[120.0, 34.3, 1.5]",,"[{'location': [118.8, 39.6], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.1, 59.2], 'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.6, 45.1], 'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [108.8, 42.3], 'player': {'id': 6577, 'name': 'Zdravko Kuzmanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.7, 40.9], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [114.0, 43.6], 'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [114.0, 48.8], 'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.3, 44.8], 'player': {'id': 29312, 'name': 'Pablo Estífer Armero'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [109.3, 35.0], 'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.6, 36.3], 'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [107.7, 36.3], 'player': {'id': 8852, 'name': 'Thomas Heurtaux'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.5, 78.1], 'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [114.9, 44.2], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.0, 37.1], 'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [111.9, 45.5], 'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.0, 46.3], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",9a7bcfc5-fb35-4ecd-8b84-453f3367af0a,,Off T,0.04541067,Normal,Open Play,,,,Napoli,227,00:28:57.615,Shot,True
,,,,,,,,,,,,,,,,,,0.131984,,,,,,,,,,,,,e27bd7bb-e225-45cf-a5a2-a68fd809460f,1092,,"[106.8, 40.9]",3879803,31,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José María Callejón Bueno,7029.0,Right Wing,70,Napoli,227,['88327d9e-0953-471f-a5e2-70253d1d5ff9'],36,,Right Foot,"[108.4, 40.7, 1.6]",True,"[{'location': [95.3, 50.6], 'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 43.4], 'player': {'id': 8852, 'name': 'Thomas Heurtaux'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.3, 32.1], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [109.0, 40.8], 'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.1, 20.4], 'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",745bc689-2bdd-4f35-8243-4c830d28d0aa,,Saved,0.19307145,Half Volley,Open Play,,,,Napoli,227,00:31:36.445,Shot,
