50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.554632,,,,,,,,,,,,,,60a2d527-1d18-4324-8364-864267bb8df9,225,,,"[105.0, 53.0]",3879823,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessandro Florenzi,6964.0,Right Center Midfield,14,AS Roma,229,['05991823-f273-40cd-bb47-d7928e83ff52'],23,,Right Foot,,"[108.9, 41.7]",True,"[{'location': [118.7, 41.3], 'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.9, 44.2], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.4, 38.5], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [111.5, 52.2], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.2, 37.3], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [103.1, 49.2], 'player': {'id': 40455, 'name': 'Giulio Migliaccio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.7, 51.5], 'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.5, 47.7], 'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.1, 38.9], 'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.6, 40.9], 'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",e14439ea-2e27-4870-8723-05bc258e1718,Wayward,0.059611503,Normal,Open Play,,,,AS Roma,229,00:04:23.961,Shot,
,,,,,,,,,,,,,,,,,,,1.122701,,,,,,,,,,,,,,0e5ab8dd-4b92-4ef7-af0c-18a072da964a,242,,,"[90.0, 21.2]",3879823,4,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alejandro Darío Gómez,7006.0,Left Wing,15,Atalanta,228,['865fb10f-082d-47f9-bd66-52947ada9e84'],43,,Right Foot,,"[120.0, 49.0, 5.6]",,"[{'location': [117.6, 39.9], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.1, 46.9], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [95.2, 24.9], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [90.5, 32.0], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [91.8, 20.5], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.8, 39.3], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.8, 34.3], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.3, 23.9], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.2, 18.9], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.2, 18.7], 'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.5, 19.9], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.8, 41.8], 'player': {'id': 8184, 'name': ""Marco D''Alessandro""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",50b71192-45f9-4741-b9ab-c22190a1b8b3,Off T,0.006235382,Normal,Open Play,,,,Atalanta,228,00:04:43.787,Shot,
,,,,,,,,,,,,,,,,,,,1.489847,,,,,,,,,,,,,,e030f923-d479-468d-a975-c2fa4338e5a7,291,,,"[95.0, 21.7]",3879823,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marco Borriello,8871.0,Center Forward,17,Atalanta,228,['19df56ef-f27c-44cc-94c0-c3638cb5ab81'],40,,Left Foot,,"[120.0, 45.4, 0.7]",,"[{'location': [117.9, 39.0], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 24.6], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [89.2, 33.4], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [87.4, 38.0], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.1, 26.3], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.5, 48.3], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.2, 31.4], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.9, 25.3], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.5, 10.4], 'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [86.6, 31.9], 'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [96.8, 56.0], 'player': {'id': 8184, 'name': ""Marco D''Alessandro""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",10dd8d63-7e1c-4dab-bea6-e8364d04e561,Off T,0.008849864,Normal,Open Play,,,,Atalanta,228,00:05:40.584,Shot,
,,,,,,,,,,,,,,,,,,,0.537254,,,,,,,,,,,,,,d6be9c41-1b30-46a0-b474-30c3afec6e41,607,,,"[98.9, 40.4]",3879823,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alejandro Darío Gómez,7006.0,Left Wing,36,Atalanta,228,['5bb3f09c-0358-4447-bc8d-8f28dbe2c2e0'],5,,Right Foot,,"[120.0, 39.5, 6.0]",,"[{'location': [97.2, 37.4], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 30.2], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.9, 38.5], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.3, 47.7], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.2, 31.6], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.2, 39.6], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.2, 40.4], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.4, 30.3], 'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.9, 24.4], 'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.7, 33.5], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.6, 58.4], 'player': {'id': 8184, 'name': ""Marco D''Alessandro""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,Off T,0.11807866,Normal,Open Play,,,,Atalanta,228,00:13:05.286,Shot,
,,,,,,,,,,,,,,,,,,,0.594997,,,,,,,,,,,,,,92c01929-eb80-49a2-9d8b-97603eda2d03,706,,,"[108.1, 29.4]",3879823,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Diego Perotti,7456.0,Center Attacking Midfield,41,AS Roma,229,['284e9927-5a3b-462a-bdaf-e93e6605fa7a'],34,,Right Foot,,"[120.0, 38.2, 5.1]",True,"[{'location': [112.6, 33.5], 'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 38.8], 'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.6, 29.8], 'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.6, 33.0], 'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.3, 30.3], 'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.6, 37.7], 'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.2, 40.6], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.1, 28.3], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,Off T,0.06612836,Normal,Open Play,,,,AS Roma,229,00:15:34.431,Shot,
,,,,,,,,,,,,,,,,,,,0.123444,,,,,,,,,,,,,,e4f7ff61-21c9-4701-afa2-9a7804cf6191,948,,,"[107.0, 28.5]",3879823,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lucas Digne,6849.0,Left Back,51,AS Roma,229,"['1c937947-8ce2-4309-81a6-1ecbef762de7', '471ef1fd-41a3-4c69-b753-196509592dcd', '97960257-10d7-4d0e-bef9-d6dd684eca8c']",13,,Right Foot,True,"[120.0, 42.1, 0.3]",True,"[{'location': [116.8, 36.5], 'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.2, 44.8], 'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.1, 29.7], 'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.1, 40.3], 'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.6, 30.3], 'player': {'id': 40455, 'name': 'Giulio Migliaccio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.3, 22.0], 'player': {'id': 8184, 'name': ""Marco D''Alessandro""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.9, 23.7], 'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.6, 20.2], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.1, 21.2], 'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.0, 27.1], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.8, 40.3], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [99.9, 17.9], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.6, 24.8], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",07be7287-6134-497a-86db-37d76baef604,Goal,0.115632616,Normal,Open Play,,,,AS Roma,229,00:22:13.108,Shot,True
,,,,,,,,,,,,,,,,,,,0.13994,,,,,,,,,,,,,,a68ef994-367e-4199-a288-e4f0c98e4fc4,1036,,,"[107.8, 29.3]",3879823,25,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alejandro Darío Gómez,7006.0,Left Wing,57,Atalanta,228,"['30d14ef1-92f2-4511-a320-e13a048801de', 'cfbfadb0-b333-4936-b603-5c8d4c353f08']",39,,Right Foot,,"[109.5, 30.8]",True,"[{'location': [115.1, 46.5], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.6, 37.8], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.6, 39.9], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.4, 35.9], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 46.6], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [119.0, 33.8], 'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [97.3, 62.3], 'player': {'id': 8184, 'name': ""Marco D''Alessandro""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.9, 35.6], 'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.4, 32.1], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.6, 50.5], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.8, 31.0], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",,Blocked,0.06288119,Half Volley,Open Play,,,,Atalanta,228,00:25:39.673,Shot,
,,,,,,,,,,,,,,,,,,,0.728155,,,,,,,,,,,,,,47bc89ea-3f73-42e6-9152-06cdd54ef55a,1099,,,"[103.0, 44.6]",3879823,26,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Radja Nainggolan,6962.0,Left Center Midfield,58,AS Roma,229,"['a5a5dade-205f-40b1-b08f-b7cfbce6a316', 'd0524fc3-23da-4a6c-b2f2-2ed81df0e32d']",22,,Right Foot,,"[120.0, 44.0, 0.3]",True,"[{'location': [111.7, 54.1], 'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.3, 50.8], 'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.3, 43.4], 'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.7, 30.6], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.0, 41.9], 'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.8, 53.6], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.8, 28.5], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",04b7fccb-87e4-47fe-9741-0505a6e803a7,Goal,0.07694094,Normal,Open Play,,,,AS Roma,229,00:26:22.494,Shot,True
,,,,,,,,,,,,,,,,,,,0.65107,,,,,,,,,,,,,,9244e857-68f7-4765-acd7-5d473cdb3c70,1304,,,"[110.4, 44.9]",3879823,32,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marco D''Alessandro,8184.0,Right Wing,67,Atalanta,228,['6623ac04-7577-47f5-ac4d-5ec56621e7e7'],11,,Right Foot,,"[120.0, 43.5, 0.8]",True,"[{'location': [117.2, 35.1], 'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.9, 26.7], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.5, 39.8], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.7, 41.1], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.3, 36.7], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.4, 44.1], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.7, 45.7], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",,Goal,0.23726021,Normal,Open Play,,,,Atalanta,228,00:32:11.023,Shot,
,,,,,,,,,,,,,,,,,,,0.735682,,,,,,,,,,,,,,676204b0-295d-4d1c-98b5-57b6ec323c77,1403,,,"[113.0, 40.5]",3879823,36,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Marco Borriello,8871.0,Center Forward,73,Atalanta,228,"['1ffc835d-e9fd-4592-b883-3fd7ff06c559', '7d26f62c-d6b9-400b-92d0-3a618fd2b126']",34,True,Head,,"[120.0, 36.7, 0.7]",,"[{'location': [113.8, 35.6], 'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [112.4, 31.8], 'player': {'id': 4355, 'name': 'Emerson Palmieri dos Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.2, 28.6], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.2, 33.7], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.8, 34.4], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.5, 37.4], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.5, 41.0], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.1, 44.7], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.4, 42.0], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.6, 40.4], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.3, 10.5], 'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [117.0, 6.6], 'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.9, 30.5], 'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [113.1, 30.5], 'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.7, 33.8], 'player': {'id': 40455, 'name': 'Giulio Migliaccio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [97.5, 44.3], 'player': {'id': 8184, 'name': ""Marco D''Alessandro""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.2, 46.4], 'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",b86d8271-aabd-4cd9-af56-dc19dbfd2b5f,Goal,0.14419447,Normal,Open Play,,,,Atalanta,228,00:36:34.207,Shot,True
