50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.839048,,,,,,,,,,,,,,,57d68eba-cb64-4f9d-9ef5-d5e672ac1617,79,,"[91.8, 39.8]",3890371,1,,,True,,,,,,,,,,,,,,,,,,,,1,Regular Play,Matthias Lehmann,8827.0,Right Defensive Midfield,6,FC Köln,186,['f1bea442-d11e-4b66-b88f-90f8fea58901'],39,,Left Foot,"[110.7, 0.1]",True,"[{'location': [102.0, 48.5], 'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.7, 36.7], 'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [109.7, 43.8], 'player': {'id': 10902, 'name': 'Philipp Hosiner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [86.9, 50.4], 'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [91.9, 55.2], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [99.0, 54.5], 'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [94.1, 38.8], 'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.6, 43.5], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 52.2], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.7, 47.3], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.1, 40.1], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.9, 32.6], 'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.1, 40.8], 'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [82.2, 31.2], 'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.2, 63.1], 'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,,Wayward,,0.019919546,Half Volley,Open Play,,,,FC Köln,186,00:01:39.593,Shot,
,,,,,,,,,,,,,,,,0.907093,,,,,,,,,,,,,,,59523017-7ee7-4bdd-adb9-a588a9e53d82,287,,"[102.4, 38.9]",3890371,6,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Philipp Hosiner,10902.0,Right Center Forward,16,FC Köln,186,"['02c74711-12dd-46d9-a1d7-bc161c377050', '9503062d-1794-469a-a4f3-5fcf0cf042eb', 'c3cc977a-115e-46de-8ded-260d86ce4396']",2,,Right Foot,"[120.0, 35.1, 0.5]",,"[{'location': [109.5, 39.5], 'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.8, 39.4], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.4, 39.2], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.6, 25.0], 'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.1, 28.6], 'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",809b0c30-5edb-496a-a251-c21fef94c452,,Off T,,0.101193145,Half Volley,Open Play,,,,FC Köln,186,00:06:02.956,Shot,True
,,,,,,,,,,,,,,,,0.851932,,,,,,,,,,,,,,,541d87e7-bc9d-4daf-b0e2-7860a3d3ba86,332,,"[106.6, 30.2]",3890371,7,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Leonardo Bittencourt,8826.0,Left Midfield,20,FC Köln,186,['3ac5fc34-7699-4985-9fd6-5325b0ecdb2d'],26,,Right Foot,"[120.0, 50.8, 6.9]",True,"[{'location': [113.5, 48.7], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.8, 37.3], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.7, 42.3], 'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.6, 38.7], 'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.8, 31.4], 'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [107.2, 34.3], 'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.5, 43.6], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 36.7], 'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.4, 40.0], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.9, 35.1], 'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 39.6], 'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [114.1, 46.9], 'player': {'id': 10902, 'name': 'Philipp Hosiner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [107.9, 36.5], 'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.7, 43.7], 'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [109.5, 35.4], 'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",,,Off T,,0.120652206,Normal,Open Play,,,,FC Köln,186,00:07:26.002,Shot,
,,,,,,,,,,,,,,,,0.442404,,,,,,,,,,,,,,,1be2b102-78c2-4630-ba5f-340d19412771,419,,"[112.3, 29.4]",3890371,10,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leonardo Bittencourt,8826.0,Left Midfield,24,FC Köln,186,"['1223491a-7d55-406c-86bd-61bf5db9a49d', 'a4a559f4-9bdf-451b-b74d-3e878ffc3f66']",11,,Left Foot,"[120.0, 34.9, 1.3]",,"[{'location': [110.1, 47.0], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.5, 34.0], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 24.9], 'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.3, 38.8], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.5, 33.0], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.2, 23.5], 'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.4, 35.7], 'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 40.6], 'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [110.3, 36.4], 'player': {'id': 10902, 'name': 'Philipp Hosiner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",8882942e-d880-4e4b-802e-6cabc096d5cb,,Off T,,0.110275865,Half Volley,Open Play,,,,FC Köln,186,00:10:11.944,Shot,True
,,,,,,,,,,,,,,,,0.674962,,,,,,,,,,,,,,,59e5d48b-871c-4e0b-914e-46cb93d2b6b0,462,,"[113.3, 45.3]",3890371,11,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pablo Ezequiel De Blasis,8555.0,Right Wing,26,FSV Mainz 05,177,['6b42a9b6-4baa-4cdf-a18b-824346511670'],47,,Head,"[120.0, 44.0, 4.3]",,"[{'location': [114.9, 29.7], 'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.3, 40.2], 'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.6, 43.7], 'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.6, 37.7], 'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.2, 51.7], 'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [114.0, 21.3], 'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.7, 32.4], 'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.1, 17.0], 'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.7, 16.4], 'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [114.6, 35.6], 'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.2, 40.1], 'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",a312bbda-3a04-4b1c-99f5-c58854c286ed,,Off T,,0.12991442,Normal,Open Play,,,,FSV Mainz 05,177,00:11:47.816,Shot,
,,,,,,,,,,,,,,,,1.104785,,,,,,,,,,,,,,,a1fdb828-c3f9-47ec-b98d-b56258fd047d,835,,"[91.5, 34.9]",3890371,18,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Yunus Mallı,8679.0,Center Attacking Midfield,38,FSV Mainz 05,177,['32614377-eb1d-486f-8ef3-7bfafd445fae'],54,,Right Foot,"[120.0, 32.1, 0.2]",,"[{'location': [116.5, 40.1], 'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 45.7], 'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.4, 36.3], 'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.4, 33.9], 'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.1, 21.9], 'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [87.3, 48.0], 'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [93.6, 31.4], 'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [88.9, 35.6], 'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [86.9, 20.8], 'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [98.0, 27.9], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [92.8, 10.7], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [78.7, 55.4], 'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [86.1, 27.3], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [97.4, 48.2], 'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.1, 33.4], 'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Off T,,0.025556913,Normal,Open Play,,,,FSV Mainz 05,177,00:18:54.886,Shot,
,,,,,,,,,,,,,,,,0.948551,,,,,,,,,,,,,,,9deba66b-c5b6-4a91-9478-1fd36aaaa1bb,1068,,"[100.6, 42.0]",3890371,25,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Yunus Mallı,8679.0,Center Attacking Midfield,48,FSV Mainz 05,177,['d56b3644-8dc2-4869-aa16-e9a00994dd84'],16,,Right Foot,"[120.0, 34.1, 0.2]",,"[{'location': [118.2, 39.9], 'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.1, 43.0], 'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.8, 40.5], 'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.4, 34.4], 'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.3, 40.7], 'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.0, 46.4], 'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.2, 33.8], 'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.5, 23.9], 'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.7, 27.2], 'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.9, 26.7], 'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.6, 33.9], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [90.7, 55.0], 'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.9, 39.8], 'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",0870544b-b5fe-4009-bda2-a25fb1e12751,,Off T,,0.06343588,Normal,Open Play,,,,FSV Mainz 05,177,00:25:16.720,Shot,
,,,,,,,,,,,,,,,,0.591424,,,,,,,,,,,,,,,938d9781-b39f-4d0f-b0b7-32d919d81b24,1278,,"[114.7, 33.0]",3890371,30,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Yoshinori Muto,6337.0,Center Forward,59,FSV Mainz 05,177,['0928adf5-9046-48e8-bc15-ce26334db596'],20,,Head,"[120.0, 39.7, 3.5]",,"[{'location': [104.9, 21.0], 'player': {'id': 10902, 'name': 'Philipp Hosiner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [111.8, 33.5], 'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.1, 19.1], 'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 36.4], 'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [115.8, 42.8], 'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 43.1], 'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 38.4], 'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.3, 35.8], 'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.6, 34.2], 'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [111.1, 38.4], 'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [117.8, 38.7], 'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.9, 33.6], 'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [111.3, 42.1], 'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.9, 38.2], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [111.3, 36.1], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [103.0, 43.7], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [91.1, 46.0], 'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [119.2, 1.7], 'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",a1329fe1-3906-4369-8509-8501194e964f,,Off T,,0.09201824,Normal,Open Play,,,,FSV Mainz 05,177,00:30:20.476,Shot,
,,,,,,,,,,,,,,,,0.341523,,,,,,,,,,,,,,,cdf17dd3-14a9-4a4a-ac26-43e016b0252e,1601,,"[111.2, 52.8]",3890371,39,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kevin Vogt,8397.0,Left Defensive Midfield,76,FC Köln,186,['7fc4011a-8cb2-48d6-9182-ecac18145ccc'],28,,Right Foot,"[117.6, 44.6, 0.9]",True,"[{'location': [108.9, 56.2], 'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.3, 57.5], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.5, 45.0], 'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.1, 47.7], 'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.4, 29.7], 'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [103.5, 41.4], 'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.9, 49.7], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.8, 41.8], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.8, 37.0], 'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.5, 68.5], 'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.6, 35.1], 'player': {'id': 10902, 'name': 'Philipp Hosiner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [107.3, 42.7], 'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",e6e4b5cd-2bcc-4b62-b4b8-67d028cd3017,,Saved,,0.06064647,Normal,Open Play,,,,FC Köln,186,00:39:28.752,Shot,
,,,,,,,,,,,,,,,,0.365782,,,,,,,,,,,,,,,2c2b6df4-543d-4b26-abd6-88afb65a024b,1990,,"[109.7, 54.6]",3890371,47,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Anthony Modeste,23486.0,Left Center Forward,93,FC Köln,186,"['23a3c405-e20c-4d88-b9e2-90d60fa1edfb', 'd27577dc-63fd-433a-8f70-8496b05bf29d']",31,,Right Foot,"[117.5, 45.8, 0.4]",True,"[{'location': [107.6, 41.3], 'player': {'id': 10902, 'name': 'Philipp Hosiner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.2, 36.9], 'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.7, 40.9], 'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.9, 52.3], 'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.1, 53.3], 'player': {'id': 20871, 'name': 'Pierre Bengtsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.6, 45.3], 'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",19c6c6c5-5aa5-4d10-ad18-53e061b67bb2,,Saved to Post,True,0.048791986,Half Volley,Open Play,,,,FC Köln,186,00:02:31.159,Shot,True
