50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.484407,,,,,,,,,,,313acabe-2fec-40ec-a468-ad0dbd28713d,188,,,"[114.9, 34.6]",3890551,4,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pierre-Michel Lasogga,8895.0,Center Forward,13,Hamburger SV,171,"['4af7a863-e03d-491d-94cb-4a2585f67a72', '70abec17-193c-4f4a-8a70-23884395e3fd']",13,,Left Foot,"[120.0, 30.6, 0.3]",True,"[{'location': [117.3, 23.8], 'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.6, 33.8], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.7, 43.9], 'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.8, 38.0], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.9, 35.2], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.1, 43.3], 'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.9, 38.6], 'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [98.8, 18.5], 'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [116.7, 17.1], 'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.1, 26.0], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [115.8, 20.9], 'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",34fc23ec-78b6-4701-877e-144d6fee9f7f,,Off T,,0.20410937,Normal,Open Play,,,,Hamburger SV,171,00:04:13.626,Shot,True
,,,,,,,,,,,,,,,,0.361816,,,,,,,,,,,180f3f1c-586d-446e-b0b2-62f22e35bf47,382,,,"[106.1, 55.2]",3890551,8,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aaron Hunt,8308.0,Center Attacking Midfield,24,Hamburger SV,171,"['2472b2d1-966c-4c1e-a1fd-f0e1292b13d7', '3bf53a03-9a09-448c-b624-f1959ae17032', '3e77eeb4-ed6f-43c7-8bc2-efbc33bc10cc']",23,,Left Foot,"[111.8, 47.7]",,"[{'location': [117.0, 42.7], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.8, 36.9], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.2, 45.2], 'player': {'id': 23267, 'name': 'Paul Seguin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.1, 51.5], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.2, 54.9], 'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.8, 52.8], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.6, 47.6], 'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 33.7], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.4, 41.9], 'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 53.5], 'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.8, 40.9], 'player': {'id': 9407, 'name': 'Gojko Kačar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [114.0, 52.0], 'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.6, 41.4], 'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.4, 29.6], 'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",3d795fa2-4edf-4eb4-ba9d-0915ff4ea6f2,,Blocked,,0.040761277,Normal,Open Play,,,,Hamburger SV,171,00:08:23.055,Shot,True
,,,,,,,,,,,,,,,,0.677815,,,,,,,,,,,fad5d666-f7e4-4728-a430-4451c88eed7c,498,,,"[110.9, 41.6]",3890551,12,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Michael Gregoritsch,8309.0,Right Wing,37,Hamburger SV,171,['550ab0e4-1bf3-416a-92ff-84e3f3bd5a22'],42,,Head,"[120.0, 42.9, 5.6]",,"[{'location': [111.8, 40.6], 'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.5, 45.0], 'player': {'id': 9407, 'name': 'Gojko Kačar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [92.3, 29.1], 'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [106.3, 44.8], 'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.9, 45.7], 'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.4, 42.8], 'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.9, 29.5], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [97.7, 43.2], 'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.8, 42.5], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.9, 44.1], 'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [107.9, 45.4], 'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.6, 38.4], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.6, 37.9], 'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [119.2, 36.7], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.7, 35.8], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.1, 39.7], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",df06fe93-ed6b-428f-a8f6-0a14fdaea8b3,,Off T,,0.06738162,Normal,Open Play,,,,Hamburger SV,171,00:12:42.273,Shot,
,,,,,,,,,,,,,,,,1.368016,,,,,,,,,,,16a52b32-a9b3-4ab8-9990-03c9063ad8b4,802,,,"[78.8, 41.0]",3890551,22,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Maximilian Arnold,8235.0,Center Attacking Midfield,61,Wolfsburg,179,['7b6ff465-f00b-4cf5-bc67-c1b9cbade734'],21,,Left Foot,"[120.0, 32.4, 5.3]",,"[{'location': [114.8, 38.5], 'player': {'id': 23499, 'name': 'Jaroslav Drobný'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [69.6, 67.6], 'player': {'id': 23267, 'name': 'Paul Seguin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [90.9, 60.2], 'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 42.1], 'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.5, 47.2], 'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.1, 35.0], 'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [79.1, 66.2], 'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [84.7, 35.4], 'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [82.0, 42.3], 'player': {'id': 9407, 'name': 'Gojko Kačar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [73.6, 70.3], 'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [73.5, 62.0], 'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [72.3, 32.2], 'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [84.6, 73.9], 'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [91.0, 39.3], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",0d683648-770d-4f98-9bd8-c3bcbddb5e27,,Off T,,0.0062295026,Normal,Open Play,,,,Wolfsburg,179,00:22:21.072,Shot,
,,,,,,,,,,,,,,,,0.731121,,,,,,,,,,,76f96fd9-b81d-4ba3-aa7b-97ee818111fb,983,,,"[113.6, 40.9]",3890551,28,,,True,,,,,,,,,,,,,,,,,,,,1,From Corner,Max Kruse,8386.0,Center Forward,72,Wolfsburg,179,['d64b540a-b1a8-4da7-92e9-f15815485710'],58,,Right Foot,"[117.6, 80.0]",True,"[{'location': [111.6, 29.8], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [113.3, 42.6], 'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.9, 39.2], 'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.7, 36.1], 'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.6, 38.1], 'player': {'id': 23499, 'name': 'Jaroslav Drobný'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",53a0afb8-7d50-4cae-84c9-a03ffb8744f1,,Wayward,,0.35324964,Volley,Open Play,,,,Wolfsburg,179,00:28:58.278,Shot,
,,,,,,,,,,,,,,,,1.239155,,,,,,,,,,,988c3df0-1625-431e-a698-a5e64c7b8168,1429,,,"[80.6, 36.5]",3890551,43,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,102,Wolfsburg,179,['a146374a-1d7e-4264-83a0-3f8f048dd161'],5,,Right Foot,"[117.7, 41.0, 1.3]",,"[{'location': [102.0, 30.1], 'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.4, 49.1], 'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [93.4, 32.4], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [118.2, 38.9], 'player': {'id': 23499, 'name': 'Jaroslav Drobný'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.3, 52.5], 'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.4, 45.3], 'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.6, 40.4], 'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.4, 42.7], 'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.7, 35.0], 'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.1, 41.1], 'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [97.5, 36.3], 'player': {'id': 9407, 'name': 'Gojko Kačar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [92.8, 36.9], 'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [101.6, 58.6], 'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.8, 50.5], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.7, 40.5], 'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.5, 34.9], 'player': {'id': 23267, 'name': 'Paul Seguin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [101.4, 28.5], 'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [79.8, 38.1], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [80.9, 30.9], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Saved,,0.0076118177,Normal,Free Kick,,,,Wolfsburg,179,00:43:05.367,Shot,
,,,,,,,,,,,,,,,,1.436321,,,,,,,,,,,eb5165cf-ffda-4393-b921-a4d238d2ae63,1899,,,"[87.2, 50.3]",3890551,57,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,127,Wolfsburg,179,['cbb883d0-2955-4ee5-99c2-8df5a177d4fe'],23,,Right Foot,"[120.0, 33.2, 0.9]",,"[{'location': [115.5, 41.9], 'player': {'id': 23499, 'name': 'Jaroslav Drobný'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.9, 39.2], 'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.4, 77.5], 'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.1, 52.4], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.6, 17.8], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [90.6, 16.6], 'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [70.7, 56.0], 'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [80.8, 75.8], 'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [92.0, 55.3], 'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [97.1, 75.0], 'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [88.4, 42.5], 'player': {'id': 9407, 'name': 'Gojko Kačar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.0, 49.4], 'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.1, 44.9], 'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.0, 33.8], 'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [68.2, 45.7], 'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [74.4, 74.1], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [77.1, 60.5], 'player': {'id': 23267, 'name': 'Paul Seguin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,,Off T,,0.0109663345,Half Volley,Open Play,,,,Wolfsburg,179,00:12:23.934,Shot,
,,,,,,,,,,,,,,,,0.833428,,,,,,,,,,,d3ee74ec-2103-4b6c-92ec-46688c2ce61d,2025,,,"[109.1, 41.9]",3890551,61,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Maximilian Arnold,8235.0,Center Attacking Midfield,133,Wolfsburg,179,['c6df7384-6bc0-4a16-ad5d-131692888485'],16,,Head,"[118.6, 41.7, 1.6]",,"[{'location': [110.0, 33.1], 'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.6, 41.7], 'player': {'id': 23499, 'name': 'Jaroslav Drobný'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.7, 59.4], 'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.2, 44.4], 'player': {'id': 9407, 'name': 'Gojko Kačar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.3, 49.7], 'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 46.2], 'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 27.5], 'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.0, 38.8], 'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.1, 56.1], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",f844b197-207d-474f-85fb-f67c14381e5e,,Saved,,0.112480685,Normal,Open Play,,,,Wolfsburg,179,00:16:16.575,Shot,
,,,,,,,,,,,,,,,,0.727768,,,,,,,,,,,f9362966-29ca-4ddb-819a-dabb73487690,2184,,,"[108.1, 23.8]",3890551,66,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ivica Olić,19289.0,Center Forward,142,Hamburger SV,171,['9a8650b1-7470-4e00-b0ad-a82c2829c9c1'],24,,Left Foot,"[120.0, 35.4, 1.9]",True,"[{'location': [106.3, 40.7], 'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.2, 36.7], 'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.5, 30.2], 'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.1, 29.6], 'player': {'id': 23267, 'name': 'Paul Seguin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.5, 31.0], 'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.6, 35.6], 'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.7, 39.0], 'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.4, 39.6], 'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",0f64a194-82ea-4cb5-a121-0d6a802d94b1,,Off T,,0.051273946,Normal,Open Play,,,,Hamburger SV,171,00:21:24.299,Shot,
,,,,,,,,,,,,,,,,0.847755,,,,,,,,,,,d62f30e3-9f61-4b58-aba5-69127d54ba13,2208,,,"[99.5, 62.2]",3890551,67,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,André Schürrle,10281.0,Right Wing,143,Wolfsburg,179,['937ea598-55a2-45e6-8f7d-2b342b693dc5'],2,,Right Foot,"[118.8, 44.1, 1.8]",,"[{'location': [87.6, 23.0], 'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.7, 45.4], 'player': {'id': 23267, 'name': 'Paul Seguin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [107.5, 37.0], 'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.9, 30.6], 'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [89.2, 37.1], 'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.4, 60.0], 'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.1, 61.8], 'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.2, 42.8], 'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.1, 46.3], 'player': {'id': 9407, 'name': 'Gojko Kačar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 46.0], 'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.1, 40.0], 'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 34.5], 'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.4, 43.7], 'player': {'id': 23499, 'name': 'Jaroslav Drobný'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.4, 52.6], 'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.8, 70.1], 'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",85b893d9-30f0-4cc5-a3d7-2927fdfd3f6b,,Saved,,0.008002313,Normal,Open Play,,,,Wolfsburg,179,00:22:02.775,Shot,
