50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.77278,,,,,,,,,,,,,,fceed97f-c541-45ae-bee8-33eabae03312,55,,,"[86.8, 41.0]",3900585,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Óscar Guido Trejo,11540.0,Right Wing,2,Toulouse,130,['fd79f7ac-5d7b-468d-b035-d7617adc9107'],38,,Right Foot,,"[120.0, 30.6, 0.3]",,"[{'location': [116.5, 40.3], 'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.6, 49.0], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.9, 33.4], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.8, 29.6], 'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.2, 40.7], 'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [85.4, 46.9], 'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [86.7, 36.4], 'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.6, 23.2], 'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [97.5, 30.1], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [84.1, 45.3], 'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [93.0, 30.8], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.8, 54.6], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",ccf7db9b-5ccc-4752-99c8-0b9069aba9c8,Off T,,0.022690961,Normal,Open Play,,,,Toulouse,130,00:00:38.091,Shot,
,,,,,,,,,,,,,,,,1.422203,,,,,,,,,,,,,,2ba3f5d3-11eb-476d-bee8-7854473d380f,72,,,"[82.2, 45.5]",3900585,1,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Zlatan Ibrahimović,3672.0,Center Forward,3,Paris Saint-Germain,131,['26a4631c-6396-498f-b8cb-c6df83bb30ca'],5,,Right Foot,,"[120.0, 51.7, 6.0]",,"[{'location': [117.2, 40.3], 'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [83.0, 30.0], 'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.0, 55.2], 'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [63.3, 54.4], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [62.7, 32.3], 'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [74.9, 46.8], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [71.5, 14.0], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [93.7, 57.0], 'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [83.0, 44.5], 'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [88.3, 29.4], 'player': {'id': 16430, 'name': 'Uroš Spajić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.0, 47.9], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.9, 43.7], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [63.2, 43.8], 'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [62.4, 11.1], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [64.3, 28.6], 'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,Off T,,0.005660963,Half Volley,Open Play,,,,Paris Saint-Germain,131,00:01:05.622,Shot,
,,,,,,,,,,,,,,,,0.6314,,,,,,,,,,,,,,993ced9b-13fa-4063-9c67-0b116f4b6ded,497,,,"[113.5, 31.6]",3900585,9,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Zlatan Ibrahimović,3672.0,Center Forward,16,Paris Saint-Germain,131,"['46139a8f-ad99-4504-be13-173f46b1b353', '9b610370-217b-4020-b48f-85626f1e0a25']",10,,Left Foot,,"[117.7, 39.3]",True,"[{'location': [114.5, 35.6], 'player': {'id': 16430, 'name': 'Uroš Spajić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 37.6], 'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.3, 33.3], 'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.1, 53.8], 'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [104.2, 45.4], 'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [117.8, 39.3], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [110.9, 31.4], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [112.6, 44.5], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.6, 41.3], 'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,Blocked,,0.13023184,Volley,Open Play,,,,Paris Saint-Germain,131,00:09:10.986,Shot,
,,,,,,,,,,,,,,,,0.661437,,,,,,,,,,,,,,23f2c1ab-db5a-414f-b9b9-b85d52b85a75,606,,,"[110.1, 31.3]",3900585,12,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Wissam Ben Yedder,6723.0,Center Forward,22,Toulouse,130,['b519dd05-98b3-4ec6-9f85-8af0e244ac66'],6,,Head,,"[120.0, 35.4, 1.1]",,"[{'location': [110.5, 37.2], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.8, 33.2], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.2, 41.8], 'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.3, 32.4], 'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.1, 14.8], 'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.8, 28.3], 'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [93.5, 21.0], 'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.8, 32.3], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [102.4, 9.6], 'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [118.1, 38.0], 'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.3, 47.9], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [108.8, 37.2], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",884e536e-41f8-49de-8532-9c50d1119ac3,Off T,,0.05983165,Normal,Open Play,,,,Toulouse,130,00:12:06.234,Shot,
,,,,,,,,,,,,,,,,1.325407,,,,,,,,,,,,,,84563e0e-2e1f-46df-ab60-1ec378ca861b,1402,,,"[81.0, 34.6]",3900585,29,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Zlatan Ibrahimović,3672.0,Center Forward,50,Paris Saint-Germain,131,['4a0ce3a3-7c25-47f1-ba17-dc3efec80409'],42,,Right Foot,,"[120.0, 37.9, 4.9]",,"[{'location': [87.6, 45.1], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [92.6, 35.1], 'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [92.4, 36.4], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [92.5, 35.8], 'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [99.8, 45.2], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.4, 51.7], 'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [100.0, 40.7], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.1, 32.1], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [101.6, 30.7], 'player': {'id': 16430, 'name': 'Uroš Spajić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.9, 25.2], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [99.8, 57.1], 'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [84.4, 46.3], 'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.6, 31.0], 'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [96.5, 19.4], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.1, 32.1], 'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.6, 46.7], 'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [91.8, 28.7], 'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [118.3, 39.7], 'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [78.0, 27.0], 'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",,Off T,,0.007427754,Normal,Free Kick,,,,Paris Saint-Germain,131,00:29:42.980,Shot,
,,,,,,,,,,,,,,,,0.573473,,,,,,,,,,,,,,6fdc9102-8d53-45ea-a0ba-6b39f0fa2f08,1448,,,"[111.1, 39.0]",3900585,31,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Wissam Ben Yedder,6723.0,Center Forward,53,Toulouse,130,['e06c97e2-9e48-4575-8d1a-d4c664d57a43'],5,,Head,,"[118.0, 40.8, 1.1]",,"[{'location': [118.1, 39.2], 'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.6, 37.0], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.6, 41.0], 'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.3, 36.8], 'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.7, 23.3], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.2, 40.5], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [104.4, 21.0], 'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [98.2, 45.0], 'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [112.7, 44.8], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",d1aee41d-e241-4aa0-ab3a-8516d87e1f97,Saved,,0.21056183,Normal,Open Play,,,,Toulouse,130,00:31:05.262,Shot,
,,,,,,,,,,,,,,,,0.092743,,,,,,,,,,,,,,970b0372-30cb-4d45-9b79-b633227f3e08,1519,,,"[104.2, 31.8]",3900585,32,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Martin Braithwaite Christensen,4447.0,Left Wing,56,Toulouse,130,"['0f0758a1-945c-46d9-af94-82253b4db15d', '17407524-19c4-4d98-949f-7847d622eb80']",33,,Right Foot,,"[106.2, 32.7]",,"[{'location': [99.2, 37.2], 'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.6, 30.4], 'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.1, 38.4], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.4, 32.6], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.8, 42.4], 'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.3, 38.5], 'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.5, 48.7], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [108.4, 39.6], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.2, 40.9], 'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",cfd5dacc-a313-451a-a9d1-7507b8d0697a,Blocked,,0.07411313,Normal,Open Play,,,,Toulouse,130,00:32:33.247,Shot,
,,,,,,,,,,,,,,,,1.043212,,,,,,,,,,,,,,f362d11f-f429-4e14-86ce-1504c26f6c9c,1616,,,"[103.5, 29.6]",3900585,34,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Zlatan Ibrahimović,3672.0,Center Forward,60,Paris Saint-Germain,131,"['a302c05f-cf1a-4fa0-afb2-d872fc251184', 'b66429d9-c4cb-49a3-89b8-b2d3e5cfd993']",52,,Left Foot,,"[115.5, 37.3, 0.2]",True,"[{'location': [104.0, 30.7], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [93.7, 35.1], 'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.7, 31.4], 'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.2, 44.2], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [90.5, 20.0], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [97.7, 26.4], 'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.4, 31.4], 'player': {'id': 16430, 'name': 'Uroš Spajić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.9, 37.2], 'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.2, 28.4], 'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.3, 45.9], 'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.9, 30.3], 'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [93.1, 21.7], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",c598f556-2e52-4c25-b028-4b02ece3b4ce,Saved,,0.07347534,Normal,Open Play,,,,Paris Saint-Germain,131,00:34:52.922,Shot,True
,,,,,,,,,,,,,,,,0.386977,,,,,,,,,,,,,,9669869b-e624-410e-80c5-ed25f22293c7,1628,,,"[107.8, 50.9]",3900585,35,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Wissam Ben Yedder,6723.0,Center Forward,62,Toulouse,130,['2916a566-5f02-4f46-bb2c-a3baa3e44dc9'],12,,Right Foot,,"[120.0, 42.1, 2.0]",,"[{'location': [99.0, 40.4], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.3, 47.8], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.5, 40.4], 'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.1, 48.7], 'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.7, 44.2], 'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.5, 34.2], 'player': {'id': 44065, 'name': 'William Matheus da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [98.7, 55.0], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",2790f5c2-2c3a-4eb4-b4f8-946fd6b66cd5,Saved to Post,True,0.094167,Normal,Open Play,,,,Toulouse,130,00:35:12.842,Shot,
,,,,,,,,,,,,,,,,0.310795,,,,,,,,,,,,,,338dfec4-4502-46c4-bc91-6fc6325c29fa,1830,,,"[100.2, 50.9]",3900585,41,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Wissam Ben Yedder,6723.0,Center Forward,73,Toulouse,130,"['6b33042d-8172-4838-9e6c-6f780adaeb8f', '94f91669-c6d5-4a73-beb2-fa0dc6e4f457']",55,,Right Foot,True,"[118.1, 43.6, 0.8]",,"[{'location': [110.8, 39.5], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.6, 39.1], 'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 36.9], 'player': {'id': 3481, 'name': 'Serge Aurier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.5, 32.9], 'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.9, 48.9], 'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.8, 48.3], 'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.6, 47.5], 'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.3, 46.7], 'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 45.8], 'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.5, 39.5], 'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 31.1], 'player': {'id': 16430, 'name': 'Uroš Spajić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [111.6, 36.0], 'player': {'id': 11540, 'name': 'Óscar Guido Trejo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.9, 37.4], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [103.0, 42.7], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.9, 40.0], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,Saved,,0.078271955,Normal,Free Kick,,,,Toulouse,130,00:41:55.807,Shot,
