50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.394005,,,,,,,,,,,,,,,653c103f-fb1e-4013-b907-3328cece9516,113,,"[107.0, 37.4]",3901243,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Floyd Ayité,15689.0,Center Forward,7,Bastia,2736,"['147bb4d2-91c9-4d1f-b8f8-7027dfe2ea3e', '839c202e-7783-4f07-86be-3697274f4e80', 'bdc672e4-30ea-4c2e-91c1-6bad71c6de25']",59,Left Foot,,"[115.4, 38.4, 0.5]",,"[{'location': [94.2, 55.2], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.4, 37.7], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 38.7], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.9, 47.5], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.6, 38.0], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.5, 57.8], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.6, 47.6], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.1, 44.9], 'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.4, 52.1], 'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",fac9f9dd-e706-4cdd-a552-4da284b3ad38,,Saved,0.24017462,Normal,Open Play,,,,Bastia,2736,00:01:59.554,Shot,True
,,,,,,,,,,,,,,,,0.220394,,,,,,,,,,,,,,,8fb363cb-8e7d-4ac1-a194-3641a469d498,117,,"[106.1, 41.6]",3901243,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Seko Fofana,7791.0,Left Center Midfield,7,Bastia,2736,"['9945a1ec-beee-45db-baef-c9aa9a9b722e', 'ea009b8d-62b7-45ed-a17f-91b811c23155']",2,Left Foot,,"[110.8, 40.0]",True,"[{'location': [116.6, 39.3], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.2, 39.7], 'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.9, 35.4], 'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.4, 42.2], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.8, 40.1], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.1, 34.9], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.8, 45.0], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.7, 53.2], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",,,Blocked,0.11189881,Normal,Open Play,,,,Bastia,2736,00:02:02.022,Shot,
,,,,,,,,,,,,,,,,1.211328,,,,,,,,,,,,,,,d57947a3-4ec4-424b-96e2-4111d65f5e20,122,,"[111.7, 52.4]",3901243,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,François Modesto,401194.0,Left Center Back,8,Bastia,2736,['fa35a2ee-6887-4ea1-aed0-df292f5b6f7d'],26,Head,,"[119.2, 43.2, 1.0]",,"[{'location': [114.6, 33.5], 'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.5, 38.5], 'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [112.2, 41.3], 'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.6, 40.5], 'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [119.4, 38.5], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.7, 33.5], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.1, 39.5], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.3, 37.5], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.3, 43.2], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.1, 49.7], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.4, 50.9], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.4, 44.9], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.3, 49.6], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]",e6e4b6b9-1025-47fa-baf8-ee04fba0a874,,Saved,0.021102376,Normal,Open Play,,,,Bastia,2736,00:02:26.241,Shot,
,,,,,,,,,,,,,,,,0.357415,,,,,,,,,,,,,,,7008c4fa-fb86-4be3-8ce7-7e9c07e873c8,315,,"[115.0, 53.2]",3901243,6,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gilles Sunu,3111.0,Left Wing,22,Angers,145,['e547c20e-9471-425f-b1b8-06ba8080a0f1'],24,Left Foot,,"[119.5, 44.5, 1.3]",,"[{'location': [118.9, 44.1], 'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.9, 44.5], 'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.3, 49.6], 'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 52.7], 'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.6, 43.7], 'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.4, 35.1], 'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.1, 45.9], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.5, 40.7], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.9, 25.3], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",c786ddb7-774e-4268-87ef-fbbbb01f2c26,,Saved,0.0291586,Normal,Open Play,,,,Angers,145,00:06:24.030,Shot,
,,,,,,,,,,,,,,,,1.450047,,,,,,,,,,,,,,,e1b73d24-2a33-460b-a771-ad79d717e266,329,,"[90.1, 45.9]",3901243,7,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Billy Ketkeophomphone,4441.0,Center Forward,23,Angers,145,['a8594890-4b99-4b9e-82a7-871b0648f157'],6,Right Foot,,"[120.0, 43.5, 6.7]",,"[{'location': [97.1, 65.2], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [91.6, 37.2], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.3, 44.7], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.0, 43.8], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.0, 43.6], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [100.2, 37.9], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [99.7, 30.1], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [99.5, 50.5], 'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [86.5, 42.8], 'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [90.2, 53.4], 'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [88.6, 36.2], 'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [97.8, 55.2], 'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.6, 44.2], 'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.7, 41.2], 'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.5, 38.5], 'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.9, 43.1], 'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.8, 36.2], 'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.4, 40.0], 'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",828a3b8f-3db7-4b8f-bf44-a76393b60831,,Off T,0.025221093,Normal,Open Play,,,,Angers,145,00:07:06.118,Shot,
,,,,,,,,,,,,,,,,1.115022,,,,,,,,,,,,,,,a68fed6c-e270-42d5-b7c0-e5f515d1565c,458,,"[98.9, 44.5]",3901243,10,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gaël Danic,7349.0,Left Wing,32,Bastia,2736,"['2df6f97f-5475-409f-869d-0b9d7b7078cd', '7bbb9bf8-7f83-4198-8b5a-2897c8b3b8e9']",6,Left Foot,,"[120.0, 36.7, 4.2]",,"[{'location': [80.2, 55.5], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.2, 38.1], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.6, 45.5], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.7, 43.0], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.3, 48.8], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.9, 43.2], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [84.7, 57.1], 'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.0, 41.5], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.1, 61.2], 'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Off T,0.10439789,Normal,Open Play,,,,Bastia,2736,00:10:06.241,Shot,True
,,,,,,,,,,,,,,,,0.364585,,,,,,,,,,,,,,,8b62eaaa-2ec7-4615-a086-8942818436f9,783,,"[109.2, 38.2]",3901243,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gaël Danic,7349.0,Right Wing,52,Bastia,2736,"['4475b8d1-ed63-4b2f-aa88-bf553d7fe5eb', 'e056737d-0f01-4774-a0f2-76fcece00587']",39,Right Foot,,"[117.7, 37.8, 1.0]",True,"[{'location': [104.4, 20.3], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.8, 20.3], 'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.5, 30.0], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.9, 27.6], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.4, 29.1], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.7, 34.7], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.2, 32.7], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.1, 39.0], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.8, 37.6], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.6, 48.8], 'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",4a3e0e34-234b-4ff4-bf78-6b24b6ce91ba,,Saved,0.15321042,Normal,Open Play,,,,Bastia,2736,00:20:39.731,Shot,True
,,,,,,,,,,,,,,,,1.219761,,,,,,,,,,,,,,,0b701223-8b1d-4a24-8c59-0d727f006d4b,1335,,"[108.0, 40.0]",3901243,32,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cheikh N''Doye,5676.0,Right Center Midfield,78,Angers,145,['1a15896b-1244-4471-a2a9-d71371d31bbe'],11,Head,,"[120.0, 29.6, 0.9]",,"[{'location': [108.2, 30.2], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.0, 19.4], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.2, 29.3], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.7, 34.0], 'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.3, 40.7], 'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.6, 21.1], 'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.7, 32.5], 'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.9, 31.5], 'player': {'id': 401194, 'name': 'François Modesto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.2, 23.2], 'player': {'id': 2989, 'name': 'Alexander Djiku'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.7, 39.8], 'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",456a1300-07ba-4122-bdb5-8dec5d2abf1a,,Off T,0.08905064,Normal,Open Play,,,,Angers,145,00:32:11.993,Shot,
,,,,,,,,,,,,,,,,0.209888,,,,,,,,,,,,,,,ce1c6a3b-ce9f-4cb3-9289-f03cd2d8a8b6,1773,,"[91.4, 39.6]",3901243,42,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Yannick Cahuzac,4350.0,Right Center Midfield,102,Bastia,2736,"['2054afe6-2b2c-44fd-b7a4-b5944fd802cc', 'e4c78b48-216a-4fb7-90be-2bf1857f415f', 'ff7e8c26-88bb-41ea-9f35-c9e0211e602d']",42,Right Foot,True,"[120.0, 37.6, 1.8]",,"[{'location': [98.8, 40.0], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.7, 30.6], 'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.2, 29.6], 'player': {'id': 3405, 'name': 'François Kamano'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.7, 41.0], 'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.6, 60.9], 'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.8, 39.7], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.3, 16.8], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [96.3, 29.6], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.6, 34.7], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.1, 38.1], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.2, 32.5], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.7, 38.7], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.1, 50.1], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [89.9, 57.0], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",738091e6-9c42-44a6-9df3-7a93b1643070,,Goal,0.024276363,Normal,Open Play,,,,Bastia,2736,00:42:42.534,Shot,True
,,,,,,,,,,,,,,,,0.48637,,,,,,,,,,,,,,,45a41ea7-6187-4730-82d0-ffc51ace7166,2100,,"[108.0, 40.0]",3901243,49,,,,,,,,,,,,,,,,,,,,,,,,2,Other,Thomas Mangani,3185.0,Left Center Midfield,120,Angers,145,['8d44f7d2-6014-4dd9-a3f2-8b0cfe11ab36'],32,Left Foot,,"[120.0, 42.8, 2.8]",,"[{'location': [119.5, 40.4], 'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,True,Post,0.7835,Normal,Penalty,,,,Angers,145,00:04:32.184,Shot,
