50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.724151,,,,,,,,,,,,,4964f252-b6b8-4882-90f9-7580dbb5d0d1,242,,"[115.7, 31.7]",3901246,4,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ronny Rodelin,2955.0,Left Midfield,12,Caen,140,['fa35c5e1-9dec-45cb-a241-c7e86fbdc86f'],32,Head,"[120.0, 43.1, 1.1]",,,"[{'location': [102.8, 48.2], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.5, 36.2], 'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.4, 54.0], 'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.7, 40.2], 'player': {'id': 4411, 'name': 'Anthony Walongwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.4, 33.8], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.2, 37.2], 'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.7, 36.0], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",488dd75f-79a4-4a51-852b-ae92a41827cb,True,Goal,0.13177922,Normal,Open Play,,,,Caen,140,00:04:32.533,Shot,
,,,,,,,,,,,,,,,0.829202,,,,,,,,,,,,,8d2e6577-758f-4005-aa0d-f0e6142604c4,264,,"[102.2, 49.9]",3901246,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Emiliano Sala,3114.0,Center Forward,13,Nantes,144,['8f1c03d2-3dac-421d-aefb-70470571f86f'],36,Right Foot,"[120.0, 44.0, 0.5]",True,,"[{'location': [101.2, 35.8], 'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [85.6, 57.2], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.6, 44.0], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [101.7, 66.1], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.7, 71.0], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [97.4, 51.7], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.8, 46.9], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.6, 49.6], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [86.4, 68.5], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [90.1, 44.8], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.3, 46.9], 'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.2, 51.2], 'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.9, 42.3], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",3d53808e-517e-440d-9cce-5e25b2ea7df6,,Post,0.10369771,Normal,Open Play,,,,Nantes,144,00:05:36.007,Shot,
,,,,,,,,,,,,,,,1.032597,,,,,,,,,,,,,85b1cfd2-ea7a-48c0-a928-17c6381253e4,398,,"[94.3, 48.6]",3901246,8,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Adrien Thomasson,3375.0,Right Wing,17,Nantes,144,['be2ec464-9eef-4a00-9441-b9512a6b5dc2'],29,Right Foot,"[114.4, 41.0, 0.7]",,,"[{'location': [101.3, 34.4], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.9, 40.8], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.6, 41.0], 'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.7, 25.1], 'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [86.2, 64.1], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [98.9, 53.8], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.8, 44.1], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 47.4], 'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.3, 33.5], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.2, 44.6], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.3, 35.9], 'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.7, 27.9], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",0ec7c2f3-75e2-4f14-bab2-35038b4bf7f5,,Saved,0.03203029,Normal,Open Play,,,,Nantes,144,00:08:29.479,Shot,
,,,,,,,,,,,,,,,1.374014,,,,,,,,,,,,,518f6331-1be0-4205-9b55-1aaeaf5baea9,539,,"[88.3, 42.4]",3901246,12,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Adryan Oliveira Tavares,31687.0,Left Wing,25,Nantes,144,['49c90625-8f0b-4bc9-a3cf-b853e7502a07'],23,Right Foot,"[120.0, 41.7, 5.4]",,,"[{'location': [97.4, 14.7], 'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [96.4, 51.7], 'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.7, 45.7], 'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [83.4, 57.2], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [99.6, 55.6], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [86.6, 39.6], 'player': {'id': 401478, 'name': 'Rémi Gomis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [87.1, 69.5], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [86.5, 38.1], 'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.3, 56.7], 'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.4, 64.5], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.3, 47.1], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.9, 42.9], 'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.8, 47.0], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.7, 30.1], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.5, 43.7], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.4, 33.4], 'player': {'id': 7726, 'name': 'Jeff Louis'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [116.3, 40.4], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",4eb8e901-38ae-439b-909b-ab2c8931cd33,,Off T,0.0225814,Normal,Open Play,,,,Nantes,144,00:12:23.383,Shot,
,,,,,,,,,,,,,,,0.27858,,,,,,,,,,,,,47365058-7bcf-48df-9ac9-9090ca58a7ae,565,,"[98.0, 36.3]",3901246,13,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Alejandro Bedoya,12351.0,Center Attacking Midfield,27,Nantes,144,['41ef0d07-25f4-4f4e-907c-f8f001556a9b'],18,Right Foot,"[103.0, 36.8, 2.0]",True,,"[{'location': [84.3, 34.2], 'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [87.2, 30.9], 'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.5, 42.5], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.4, 34.6], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.2, 39.1], 'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.7, 29.1], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.5, 37.2], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",db65ad13-4424-4fcb-826d-d09d061aae18,,Saved,0.1901249,Lob,Open Play,,,,Nantes,144,00:13:18.054,Shot,
,,,,,,,,,,,,,,,0.145964,,,,,,,,,,,,,72bf4a13-64b8-4f8a-b016-dbc9c1ae9f1c,1026,,"[84.1, 45.5]",3901246,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Jeff Louis,7726.0,Right Midfield,49,Caen,140,"['470675c1-1c56-4290-a051-49d4d2005fc8', '521b5967-38ef-4dc0-b61f-277be8b8100d']",22,Left Foot,"[89.1, 44.5]",,,"[{'location': [117.5, 40.1], 'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [57.1, 27.7], 'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [57.0, 43.9], 'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [66.8, 59.9], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [73.8, 58.9], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [68.4, 20.1], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [85.2, 50.5], 'player': {'id': 401478, 'name': 'Rémi Gomis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [91.3, 52.8], 'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [89.2, 44.6], 'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.5, 40.2], 'player': {'id': 4411, 'name': 'Anthony Walongwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.3, 31.7], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [61.4, 49.7], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [67.7, 56.3], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [84.2, 58.1], 'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [89.6, 61.2], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [75.1, 33.6], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [93.2, 48.2], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [78.8, 19.7], 'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",b00635be-f196-4159-ae73-7e49ada1a9af,,Blocked,0.0068251635,Normal,Open Play,,,,Caen,140,00:22:22.571,Shot,
,,,,,,,,,,,,,,,0.649696,,,,,,,,,,,,,16f89339-7762-4370-a5b1-96d513e53e1a,1094,,"[100.0, 19.7]",3901246,23,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Léo Dubois,3144.0,Left Back,52,Nantes,144,"['a678689b-48e1-48de-8311-4bd9ecac8fac', 'd6c1549d-93c3-4ad0-ad1f-bb6319ac2a2c']",31,Right Foot,"[114.1, 32.3]",,,"[{'location': [113.7, 34.1], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [114.6, 32.5], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.6, 37.5], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [111.9, 42.0], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.7, 42.8], 'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.8, 40.9], 'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [111.6, 34.5], 'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.5, 39.2], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.7, 41.8], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.4, 20.6], 'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.9, 43.9], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.9, 2.7], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.4, 44.4], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [93.7, 24.2], 'player': {'id': 401478, 'name': 'Rémi Gomis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [119.2, 37.8], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 42.6], 'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.3, 43.2], 'player': {'id': 7726, 'name': 'Jeff Louis'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",261ec48b-cf5b-4362-a887-9527297c79f0,,Blocked,0.008785481,Normal,Open Play,,,,Nantes,144,00:23:31.341,Shot,
,,,,,,,,,,,,,,,0.087007,,,,,,,,,,,,,183f0629-e9a0-4251-9934-55f8e0d76f27,1100,,"[103.0, 26.6]",3901246,23,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Léo Dubois,3144.0,Left Back,52,Nantes,144,"['8ae63ea0-fe55-4753-815a-8a2d212cb6b7', 'a5554797-61a7-43c3-98c9-540ae8b7f9a1']",34,Right Foot,"[105.4, 28.7]",,,"[{'location': [102.4, 24.5], 'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.5, 27.5], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.0, 33.6], 'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.8, 34.1], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.4, 33.0], 'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.7, 28.9], 'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.3, 38.3], 'player': {'id': 7726, 'name': 'Jeff Louis'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.7, 45.5], 'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.1, 38.9], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.5, 38.5], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.2, 37.6], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.8, 41.0], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.6, 11.7], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.5, 36.6], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [112.0, 38.6], 'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.8, 41.9], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Blocked,0.024413617,Half Volley,Open Play,,,,Nantes,144,00:23:34.696,Shot,
,,,,,,,,,,,,,,,0.252113,,,,,,,,,,,,,e5f6843c-ef33-48e9-92b5-370c204a804c,1266,,"[118.7, 52.1]",3901246,28,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Emiliano Sala,3114.0,Center Forward,62,Nantes,144,['8794bac8-d9b1-40d7-9de8-8f89bf42da4b'],33,Right Foot,"[120.0, 45.3, 1.7]",True,,"[{'location': [109.5, 39.2], 'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.2, 47.8], 'player': {'id': 12351, 'name': 'Alejandro Bedoya'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.5, 48.5], 'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [115.5, 50.5], 'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 47.8], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.2, 64.6], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [110.8, 38.3], 'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.7, 48.0], 'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.4, 49.9], 'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.2, 44.7], 'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.4, 71.0], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.0, 56.9], 'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.7, 44.2], 'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",49a003e9-d5ac-4527-8660-71cd06947ac7,,Off T,0.018544499,Normal,Open Play,,,,Nantes,144,00:28:33.295,Shot,
,,,,,,,,,,,,,,,0.052503,,,,,,,,,,,,,dd6d3805-b095-4b36-84d5-cd6cff4a248f,1367,,"[93.1, 39.5]",3901246,30,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Vincent Bessat,2992.0,Left Back,66,Caen,140,"['12a5dbe1-a796-487f-81c1-30999a151972', 'b01c68fa-e2f3-4dca-bc62-4441bd0aac5e']",41,Right Foot,"[95.9, 39.9]",,,"[{'location': [81.6, 20.4], 'player': {'id': 4380, 'name': 'Guillaume Gillet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [92.8, 49.6], 'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.3, 37.7], 'player': {'id': 401478, 'name': 'Rémi Gomis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [96.5, 42.0], 'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.2, 40.0], 'player': {'id': 4411, 'name': 'Anthony Walongwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.9, 30.6], 'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.8, 39.8], 'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.2, 47.9], 'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [84.3, 37.0], 'player': {'id': 7726, 'name': 'Jeff Louis'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",e1499207-b9de-47f9-8357-997b191e75e4,,Blocked,0.028988495,Normal,Open Play,,,,Caen,140,00:30:41.327,Shot,
