50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.792166,,,,,,,,,,,,,,c6010e1d-b77e-48fd-9b70-fbf486b8e4f5,52,,"[105.2, 32.3]",3901255,2,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jean-Armel Kana-Biyik,30447.0,Left Defensive Midfield,5,Toulouse,130,"['39572dc0-a646-4f33-ab65-32eb016b6c96', 'f6a33561-063c-4428-8fad-3b3aec3b97e7']",11,,Left Foot,"[120.0, 34.6, 1.7]",True,"[{'location': [98.6, 35.2], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.4, 37.8], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.9, 38.1], 'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 34.7], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.7, 32.8], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.4, 34.6], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.3, 28.8], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.6, 38.1], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 33.8], 'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [107.0, 45.1], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.6, 40.2], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.2, 33.0], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [111.1, 23.0], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,Off T,0.058706503,Half Volley,Open Play,,,,Toulouse,130,00:02:11.571,Shot,True
,,,,,,,,,,,,,,,,,0.979281,,,,,,,,,,,,,,0c0a9fc4-848c-4c37-998c-1284c56ef1cb,205,,"[109.2, 42.3]",3901255,7,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Issa Diop,4349.0,Right Center Back,17,Toulouse,130,['c3b997a2-b87a-4d34-8308-f75a9eaa4ee4'],28,,Head,"[112.2, 36.5]",,"[{'location': [119.4, 43.4], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.0, 45.4], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.4, 42.1], 'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.7, 42.5], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.1, 49.5], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.6, 40.3], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.7, 39.0], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.5, 37.9], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.5, 31.9], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.1, 40.6], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.1, 75.9], 'player': {'id': 16418, 'name': 'Adrien Regattin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.7, 45.3], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.5, 49.2], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [109.9, 39.0], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [107.1, 32.7], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",22dd90e5-837b-466e-99c7-de5164713cd2,,Wayward,0.04368106,Normal,Open Play,,,,Toulouse,130,00:07:28.187,Shot,
,,,,,,,,,,,,,,,,,1.014135,,,,,,,,,,,,,,e61ccb28-35f1-4e23-a7cb-46558103c83b,212,,"[115.0, 17.7]",3901255,8,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Adrien Regattin,16418.0,Right Wing,18,Toulouse,130,['35255443-c717-48e6-a223-db1005063b0e'],23,,Right Foot,"[120.0, 39.5, 3.8]",,"[{'location': [112.4, 47.5], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.9, 37.0], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.6, 37.6], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.5, 36.3], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.6, 37.0], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.0, 34.6], 'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.4, 27.6], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.0, 27.4], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.9, 33.0], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.2, 40.9], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.1, 32.8], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [114.4, 33.3], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [116.1, 36.4], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.4, 38.1], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.8, 48.3], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [100.3, 32.2], 'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,,Off T,0.009558799,Normal,Free Kick,,,,Toulouse,130,00:08:23.451,Shot,
,,,,,,,,,,,,,,,,,0.466608,,,,,,,,,,,,,,3552d196-27ac-415b-b0d3-50abe7a9c6f7,323,,"[110.2, 33.8]",3901255,11,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Billy Ketkeophomphone,4441.0,Left Wing,22,Angers,145,['abd215d5-bf02-4e99-b701-64bd3e62dcb7'],41,,Left Foot,"[120.0, 38.9, 2.3]",True,"[{'location': [112.5, 35.9], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.4, 38.1], 'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.9, 36.5], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.1, 35.4], 'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.1, 25.8], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.9, 29.3], 'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.2, 34.1], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [100.6, 24.3], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.6, 28.2], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.6, 27.3], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.9, 36.7], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,,Goal,0.110991806,Normal,Open Play,,,,Angers,145,00:11:41.352,Shot,
,,,,,,,,,,,,,,,,,0.904983,,,,,,,,,,,,,,da8cee7f-e2a7-4836-9f39-d4087ac5e38a,395,,"[96.9, 54.2]",3901255,14,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Étienne Didot,3189.0,Right Defensive Midfield,30,Toulouse,130,['99da7651-1449-4ca1-bcc4-66cd1f932518'],20,,Left Foot,"[118.5, 42.2, 0.5]",,"[{'location': [118.8, 41.6], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.2, 38.1], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.8, 61.7], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.8, 75.4], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.1, 50.9], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.3, 68.9], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.1, 54.5], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.6, 51.3], 'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.9, 48.1], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.4, 37.8], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.2, 68.6], 'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.2, 70.3], 'player': {'id': 16418, 'name': 'Adrien Regattin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.9, 47.7], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [81.0, 37.0], 'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.3, 59.9], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.1, 51.8], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.7, 36.5], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,Saved,0.024668962,Normal,Open Play,,,,Toulouse,130,00:14:20.700,Shot,
,,,,,,,,,,,,,,,,,1.447359,,,,,,,,,,,,,,d0db41cb-9915-4e4e-8231-fa20d9ae866c,687,,"[84.3, 39.2]",3901255,25,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gilles Sunu,3111.0,Right Wing,65,Angers,145,['cdbc7faf-9a80-4c3d-bf9b-f84518519e17'],22,,Right Foot,"[120.0, 42.7, 4.9]",,"[{'location': [104.1, 40.4], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.5, 49.9], 'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.3, 43.3], 'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.9, 33.8], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.7, 37.1], 'player': {'id': 16418, 'name': 'Adrien Regattin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.2, 32.4], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [90.4, 49.0], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [94.3, 39.3], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [94.3, 38.6], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [94.3, 37.8], 'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [117.2, 40.6], 'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 50.6], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [103.1, 42.7], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.6, 42.7], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [101.6, 36.0], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.1, 31.5], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.2, 39.7], 'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [81.8, 41.5], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [77.3, 52.5], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,,Off T,0.015739266,Normal,Free Kick,,,,Angers,145,00:25:22.226,Shot,
,,,,,,,,,,,,,,,,,0.466469,,,,,,,,,,,,,,ca1774e0-aa60-4058-a850-143ca9651650,862,,"[108.1, 40.1]",3901255,30,,,,,,,,,,,,,,,,,,,,,,,1,Other,Martin Braithwaite Christensen,4447.0,Left Wing,79,Toulouse,130,['9b32b329-0b40-4b51-a9e0-9f4495ad3fe9'],11,,Right Foot,"[120.0, 40.8, 4.4]",,"[{'location': [119.0, 39.5], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,True,Off T,0.7835,Normal,Penalty,,,,Toulouse,130,00:30:11.369,Shot,
,,,,,,,,,,,,,,,,,0.412352,,,,,,,,,,,,,,4f3bfdb6-6e8f-4206-87d8-efbb566f7ff1,940,,"[113.4, 34.7]",3901255,33,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Martin Braithwaite Christensen,4447.0,Left Wing,84,Toulouse,130,['ac78314f-b2e1-42c1-bc33-07e199534c00'],12,,Head,"[118.7, 39.3, 1.6]",,"[{'location': [105.5, 61.6], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.1, 54.6], 'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [86.1, 25.7], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.6, 41.2], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.3, 39.7], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 33.4], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.3, 39.1], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.5, 38.4], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",f61adcc8-5086-4255-bf79-9bb32df9ee6f,True,Saved,0.15157829,Normal,Open Play,,,,Toulouse,130,00:33:12.374,Shot,
,,,,,,,,,,,,,,,,,1.423138,,,,,,,,,,,,,,263be2d1-ff80-464b-8a48-93143c1615a6,1193,,"[91.8, 54.1]",3901255,41,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cheikh N''Doye,5676.0,Right Center Midfield,103,Angers,145,['0b60bdac-d797-4cfe-8f7e-074ee64a80e6'],53,,Right Foot,"[120.0, 34.8, 0.2]",,"[{'location': [66.4, 53.5], 'player': {'id': 3030, 'name': 'Wergiton do Rosário Calmon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [66.5, 38.6], 'player': {'id': 16418, 'name': 'Adrien Regattin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [64.4, 53.1], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [100.5, 49.3], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.4, 54.5], 'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.7, 57.3], 'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [89.0, 53.8], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [87.4, 48.0], 'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [114.8, 43.1], 'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.8, 40.3], 'player': {'id': 3035, 'name': 'Steeve Yago'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [80.6, 46.9], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [78.9, 31.6], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [77.7, 66.3], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.5, 58.0], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Off T,0.016532253,Half Volley,Open Play,,,,Angers,145,00:41:53.638,Shot,
,,,,,,,,,,,,,,,,,0.59513,,,,,,,,,,,,,,110c991a-3d41-4bde-8e36-c982dd857655,1463,,"[112.6, 31.2]",3901255,47,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Marcel Tisserand,8677.0,Left Center Back,118,Toulouse,130,"['4ebf0a71-a956-4a8e-bdf6-0bbe69987c63', '78054a9c-7d6c-44d2-a14a-883ce5e3b18a']",39,True,Head,"[117.6, 38.7, 2.0]",,"[{'location': [119.1, 42.2], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.9, 31.9], 'player': {'id': 7230, 'name': 'Grégory Bourillon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.1, 37.4], 'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.9, 31.2], 'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.4, 41.0], 'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.0, 39.9], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.2, 39.4], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.5, 31.2], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.0, 44.0], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.8, 37.7], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.2, 30.6], 'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.5, 39.5], 'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [113.6, 36.4], 'player': {'id': 4349, 'name': 'Issa Diop'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.4, 42.2], 'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.0, 27.2], 'player': {'id': 3024, 'name': 'Jacques François Moubandje'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [92.4, 43.5], 'player': {'id': 3189, 'name': 'Étienne Didot'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",31628400-4124-48ee-8199-4669ca77bdb4,,Saved,0.046343368,Normal,Open Play,,,,Toulouse,130,00:02:39.571,Shot,True
