50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,2.302,,,,,,,,,,,f619c27a-5b09-4693-a4e6-f47bb00b6169,80,,"[92.0, 46.0]",7476,1,,,,,,,,,,,,,,,,,,,,1,From Throw In,Samantha May Kerr,4961.0,Center Forward,5,Chicago Red Stars,761,['49e93808-a762-446b-af54-1ab0e09249f3'],13,,Right Foot,"[120.0, 34.0, 0.4]",True,"[{'location': [118.0, 41.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [81.0, 62.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [74.0, 36.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [95.0, 51.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 50.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [85.0, 42.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [86.0, 24.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 47.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 33.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 41.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.0, 53.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [85.0, 64.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [94.0, 66.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [80.0, 48.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [79.0, 37.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [75.0, 24.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [90.0, 40.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",7b999b89-745d-436a-8161-275dc1c45fe6,,,Off T,0.03080657,Volley,Open Play,,,,Chicago Red Stars,761,00:01:13.590,Shot,
,,,,,,,,,,,0.298,,,,,,,,,,,da76c3b1-ddac-4b3b-a499-15eab3c35f37,117,,"[110.0, 42.0]",7476,2,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samantha May Kerr,4961.0,Center Forward,7,Chicago Red Stars,761,['35919324-ea9a-4396-8d60-cd3742ec33fc'],5,,Right Foot,"[112.0, 47.0]",,"[{'location': [120.0, 43.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 52.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 63.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 61.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 45.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 39.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [112.0, 42.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 35.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.0, 31.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 66.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [92.0, 48.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [105.0, 48.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 35.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [110.0, 32.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",9ff12941-d700-4aad-9316-ef2e03619a04,,,Wayward,0.13536823,Volley,Open Play,,,,Chicago Red Stars,761,00:02:05.261,Shot,
,,,,,,,,,,,1.071,,,,,,,,,,,8c639c10-5872-4fc5-b8c2-222b6e3f2ded,243,,"[107.0, 34.0]",7476,6,,,,,,,,,,,,,,,,,,,,1,From Counter,Imani Dorsey,7180.0,Left Defensive Midfield,16,NJ/NY Gotham FC,763,['d0ec0b46-29dc-4109-bfd2-3e60fbd86ba2'],39,,Right Foot,"[108.0, 42.8, 0.5]",,"[{'location': [102.0, 38.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 44.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [94.0, 40.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [88.0, 66.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [77.0, 63.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [89.0, 36.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [97.0, 31.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 37.0], 'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 50.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 42.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",9d8dff7b-6c4c-4149-8a37-72214afc5372,True,,Saved,0.49630484,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:06:39.497,Shot,
,,,,,,,,,,,0.309,,,,,,,,,,,706c96dc-6ca5-4a4d-b1ef-e414b1cc194b,392,,"[114.0, 55.0]",7476,10,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samantha May Kerr,4961.0,Center Forward,27,Chicago Red Stars,761,['b53bf487-dc14-486e-9f42-d587e666772e'],46,,Right Foot,"[118.0, 38.1, 0.5]",True,"[{'location': [95.0, 55.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [95.0, 62.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 38.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.0, 50.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 47.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [110.0, 41.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 36.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [79.0, 24.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.0, 31.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [116.0, 53.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",abac2601-5735-46f0-b4eb-73aed422711f,,,Saved,0.048072718,Normal,Open Play,,,,Chicago Red Stars,761,00:10:46.339,Shot,
,,,,,,,,,,,1.209,,,,,,,,,,,b71646de-0ae3-4a3a-986f-4544565c450d,538,,"[116.0, 50.0]",7476,15,,,,,,,,,,,,,,,,,,,,1,From Counter,Samantha May Kerr,4961.0,Center Forward,41,Chicago Red Stars,761,['ee7d745e-be10-44ba-becd-2065292fcb60'],32,,Right Foot,"[119.0, 43.0, 0.2]",,"[{'location': [104.0, 58.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 47.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 41.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 49.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 56.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 43.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",98fb253a-9b75-4d59-854d-0ab57f266005,True,,Saved,0.109047316,Normal,Open Play,,,,Chicago Red Stars,761,00:15:32.325,Shot,
,,,,,,,,,,,0.323,,,,,,,,,,,ea8c0c18-e5d8-4ded-b74e-e2be117fbd1b,565,,"[111.0, 49.0]",7476,16,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samantha May Kerr,4961.0,Center Forward,44,Chicago Red Stars,761,"['0a26d4c2-a4fb-4bb4-bb96-28953097914a', '17f15ef9-e587-4602-9814-43aecede90f8']",51,,Right Foot,"[112.0, 51.0]",,"[{'location': [92.0, 60.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.0, 50.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 48.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 33.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [86.0, 19.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [117.0, 45.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",5d80a6b8-33df-4090-9d44-63eb4d6b231b,,,Blocked,0.22224519,Normal,Open Play,,,,Chicago Red Stars,761,00:16:51.626,Shot,
,,,,,,,,,,,0.45,,,,,,,,,,,a6e767ea-a5de-414a-b230-a9eccedeaf68,656,,"[107.0, 46.0]",7476,20,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yuki Nagasato,4963.0,Center Attacking Midfield,50,Chicago Red Stars,761,['f698d063-3086-4a14-b900-1cf1fa4eb009'],15,,Right Foot,"[113.0, 41.7, 1.9]",True,"[{'location': [90.0, 55.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [95.0, 46.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 45.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 49.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 41.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [84.0, 68.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 71.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.0, 44.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.0, 64.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [92.0, 50.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [99.0, 23.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [82.0, 25.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 44.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",bb7f42ee-3942-45fc-a24b-b88f4b2b9aaa,,,Saved,0.39089024,Normal,Open Play,,,,Chicago Red Stars,761,00:20:15.500,Shot,
,,,,,,,,,,,1.497,,,,,,,,,,,f768534f-8657-44c2-a149-2c7885c154d5,910,,"[95.0, 54.0]",7476,27,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alyssa Mautz,4953.0,Right Midfield,65,Chicago Red Stars,761,['63174fbb-bf2e-48a0-a7e3-953ef80ff153'],56,,Left Foot,"[119.0, 43.8, 2.0]",,"[{'location': [93.0, 55.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 57.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.0, 55.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [77.0, 70.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [90.0, 63.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [88.0, 47.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [78.0, 40.0], 'player': {'id': 4965, 'name': 'Nikki Stanton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [77.0, 30.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [86.0, 36.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [84.0, 26.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 53.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 53.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 46.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 32.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",6e660b87-d467-4ca2-baef-908e0c5ad6b7,,,Saved,0.037731774,Normal,Open Play,,,,Chicago Red Stars,761,00:27:56.679,Shot,
,,,,,,,,,,,1.285,,,,,,,,,,,735ad8e7-fb66-45a9-84fe-4707931f3579,1129,,"[112.0, 40.0]",7476,34,,,,,,,,,,,,,,,,,,,,1,Regular Play,Michele Vasconcelos,5103.0,Left Midfield,80,Chicago Red Stars,761,['60cf614a-e226-4f5e-a54e-5845b4143d7e'],51,,Right Foot,"[120.0, 34.4, 0.7]",True,"[{'location': [93.0, 45.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 44.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 53.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.0, 52.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 53.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.0, 63.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 34.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.0, 42.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",3cc995f3-2ee7-4f67-839a-5a9264b492c6,,,Off T,0.6342155,Normal,Open Play,,,,Chicago Red Stars,761,00:34:51.082,Shot,
,,,,,,,,,,,1.508,,,,,,,,,,,20a94079-3233-4a20-9f4e-688b76afce41,1256,,"[103.0, 50.0]",7476,39,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samantha May Kerr,4961.0,Center Forward,89,Chicago Red Stars,761,['7ffd061a-b054-40a3-959b-d252eadab60e'],14,,Right Foot,"[120.0, 36.4, 1.3]",,"[{'location': [119.0, 42.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 74.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 74.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [101.0, 64.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [88.0, 26.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 50.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [111.0, 48.0], 'player': {'id': 4978, 'name': 'Dominique Richardson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 47.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 41.0], 'player': {'id': 5103, 'name': 'Michele Vasconcelos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [111.0, 40.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 37.0], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [107.0, 49.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",77ccb898-da13-4ae6-8889-1f9ab99d8d18,,,Goal,0.063034706,Normal,Open Play,,,,Chicago Red Stars,761,00:39:14.453,Shot,
