50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.133,,,,,,,,,,,,974211ad-df10-4fac-a61c-6329e0c32af8,430,,"[98.0, 71.0]",7478,11,,,,,,,,,,,,,,,,1,From Counter,Sofia Huerta,5105.0,Center Attacking Midfield,32,Houston Dash,762,['78356f8f-5f83-4348-8ba8-eea7709f2346'],17,Right Foot,"[120.0, 42.8, 2.4]","[{'location': [90.0, 69.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [94.0, 61.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [88.0, 40.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 43.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.0, 41.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.0, 63.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Saved,0.008057771,Normal,Open Play,,,,Houston Dash,762,00:11:17.875,Shot,
,,,,,,,,,,,,,,0.854,,,,,,,,,,,,94940de0-25be-4bad-a107-57c6ba80f49a,434,,"[112.0, 41.0]",7478,11,,,,,,,,,,,,,,,,1,From Corner,Amber Brooks,5045.0,Left Center Back,33,Houston Dash,762,['fde24292-e101-47e1-9476-ed7105c89af0'],53,Head,"[120.0, 37.2, 2.4]","[{'location': [117.0, 80.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [113.0, 45.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [115.0, 45.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 33.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.0, 43.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [114.0, 48.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.0, 28.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [120.0, 44.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 37.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [111.0, 37.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 56.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [115.0, 40.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 40.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 33.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.0, 53.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",0fa9b994-b06a-4676-a3a8-60781630393d,,Goal,0.08936537,Normal,Open Play,,,,Houston Dash,762,00:11:53.634,Shot,
,,,,,,,,,,,,,,1.786,,,,,,,,,,,,f50a4234-0820-4418-92af-d2fc32203bc2,1112,,"[105.0, 23.0]",7478,30,,,,,,,,,,,,,,,,1,From Throw In,Kealia Ohai,5051.0,Left Wing,83,Houston Dash,762,['8b3fd7a0-06da-42c3-9b65-829e87f6d32a'],51,Right Foot,"[120.0, 45.6, 0.3]","[{'location': [112.0, 37.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 43.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [99.0, 33.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 35.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [103.0, 24.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.0, 24.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 48.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 28.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 34.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 33.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [106.0, 47.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 38.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",cb4cf4a2-4b4e-4b27-bc6d-6c4feccf2dc7,,Off T,0.015128171,Normal,Open Play,,,,Houston Dash,762,00:30:51.820,Shot,
,,,,,,,,,,,,,,2.831,,,,,,,,,,,,f4afbb4d-4978-4501-b091-3de0da648a84,1314,,"[108.0, 29.0]",7478,36,,,,,,,,,,,,,,,,1,From Throw In,Jodie Taylor,5002.0,Center Forward,98,OL Reign,760,['40c2584e-2506-4542-be49-12f565cefb66'],57,Left Foot,"[119.0, 42.4, 1.1]","[{'location': [108.0, 27.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.0, 31.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [93.0, 37.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 33.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 42.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 34.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",e8276bac-405e-4c8b-8c5d-f62f5ffb2061,,Goal,0.09788062,Lob,Open Play,,,,OL Reign,760,00:36:57.659,Shot,
,,,,,,,,,,,,,,1.213,,,,,,,,,,,,e5f64c54-f326-45a4-9368-e1914d7ce242,1432,,"[111.0, 39.0]",7478,40,,,,,,,,,,,,,,,,1,From Free Kick,Rachel Daly,5058.0,Center Forward,106,Houston Dash,762,['bd467347-8b05-44c9-851a-e6358e92a873'],45,Head,"[120.0, 45.6, 0.3]","[{'location': [102.0, 13.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [114.0, 44.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [114.0, 53.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [113.0, 49.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [97.0, 33.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 39.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [110.0, 35.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [111.0, 37.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.0, 22.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.0, 22.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [114.0, 39.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.0, 44.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 41.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 42.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",e308b6f9-662d-402f-92e1-983dcdbfec25,,Off T,0.09719836,Normal,Open Play,,,,Houston Dash,762,00:40:45.369,Shot,
,,,,,,,,,,,,,,1.189,,,,,,,,,,,,31026472-6bcd-44d0-b273-94cd6d24d35d,1592,,"[111.0, 31.0]",7478,44,,,,,,,,,,,,,,,,1,From Free Kick,Beverly Yanez,5006.0,Center Attacking Midfield,114,OL Reign,760,['5d497b66-6949-4d63-aa34-449b1a8d6335'],22,Left Foot,"[119.0, 33.7, 0.2]","[{'location': [114.0, 23.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 27.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 24.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 20.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.0, 40.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 42.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 31.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 43.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 31.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 38.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 36.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",0195d3a1-f859-47e9-b5cb-6ebd248f30b3,,Off T,0.090928145,Normal,Open Play,,,,OL Reign,760,00:44:22.824,Shot,
,,,,,,,,,,,,,,1.052,,,,,,,,,,,,8787b882-1e2f-4c6b-9b43-68e92d93142b,1730,,"[109.0, 34.0]",7478,46,,,,,,,,,,,,,,,,2,From Throw In,Jodie Taylor,5002.0,Center Forward,122,OL Reign,760,['ae4cb692-21c2-4fdf-9f4b-90112ec7795c'],32,Left Foot,"[116.0, 36.8, 0.5]","[{'location': [104.0, 25.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 21.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [86.0, 36.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [102.0, 31.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [91.0, 24.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.0, 44.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.0, 34.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 42.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 40.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 46.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 39.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",5089165b-3763-4481-a7e8-24cf6400dcda,True,Saved,0.30458397,Normal,Open Play,,,,OL Reign,760,00:01:32.620,Shot,
,,,,,,,,,,,,,,0.84,,,,,,,,,,,,5226a3c8-f3a1-48bc-a3fb-347f2e440b92,1741,,"[96.0, 50.0]",7478,46,,,,,,,,,,,,,,,,2,From Throw In,Theresa Nielsen,5069.0,Right Back,123,OL Reign,760,"['7a642f7f-5174-4777-9e90-1515897193f5', 'a5d2523b-1b8e-465f-922c-7aed9bd174b2']",55,Right Foot,"[112.0, 46.0]","[{'location': [97.0, 38.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [112.0, 38.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 29.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.0, 40.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [96.0, 18.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.0, 34.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.0, 52.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.0, 38.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 42.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 46.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.0, 21.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [97.0, 53.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.0, 43.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [113.0, 45.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 51.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Blocked,0.026526485,Normal,Open Play,,,,OL Reign,760,00:01:55.457,Shot,
,,,,,,,,,,,,,,1.204,,,,,,,,,,,,4c32674d-2567-4917-bcc9-3ca078a5fffc,1746,,"[110.0, 38.0]",7478,46,,,,,,,,,,,,,,,,2,From Throw In,Elizabeth Addo,5075.0,Right Wing,123,OL Reign,760,['326badff-57f3-4189-864d-365603430ea4'],57,Right Foot,"[120.0, 37.2, 3.6]","[{'location': [94.0, 39.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [113.0, 33.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 28.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [88.0, 40.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [96.0, 23.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.0, 34.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 51.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 40.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 46.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [89.0, 23.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [106.0, 42.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [113.0, 39.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 52.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Off T,0.19889627,Normal,Open Play,,,,OL Reign,760,00:01:57.002,Shot,
,,,,,,,,,,,,,,1.569,,,,,,,,,,,,6c002c97-7d7e-4a0b-813e-3744b2280238,1772,,"[94.0, 41.0]",7478,47,,,,,,,,,,,,,,,,2,Regular Play,Rumi Utsugi,4998.0,Left Defensive Midfield,125,OL Reign,760,['118fade7-d8b7-4e14-9841-8ec80157e764'],48,Right Foot,"[120.0, 42.6, 4.1]","[{'location': [103.0, 42.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 30.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.0, 25.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.0, 36.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.0, 31.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.0, 46.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 47.0], 'player': {'id': 5075, 'name': 'Elizabeth Addo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 37.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 61.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.0, 42.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 43.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 51.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",497bdf06-9461-40b3-8c53-6aec225a4960,,Off T,0.039294954,Normal,Open Play,,,,OL Reign,760,00:02:48.903,Shot,
