ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,2.312,,,,,,,,,,,4efeeb40-aaaa-4995-92dd-b5975ea9dc0f,149,,"[104.0, 41.0]",7485,2,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samantha May Kerr,4961.0,Center Forward,7,Chicago Red Stars,761,['682b9fb6-95f6-4981-8cf5-023aff45c21a'],40,Head,"[115.0, 11.0]",,"[{'location': [90.0, 25.0], 'player': {'id': 6813, 'name': 'Morgan Paige Gautrat'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [108.0, 37.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.0, 51.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [119.0, 38.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.0, 26.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [99.0, 17.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 24.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [82.0, 54.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.0, 48.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 38.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 41.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 44.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}]",7aeb4582-a9e3-478b-8ca9-1fd9339e5525,,Wayward,0.050470345,Normal,Open Play,,,,Chicago Red Stars,761,00:02:40.153,Shot,
,,,,,,,,,,1.125,,,,,,,,,,,661de1e8-cb22-42a3-8818-253e7a60ba8c,298,,"[111.0, 52.0]",7485,6,,,,,,,,,,,,,,,,,,,,1,From Throw In,Samantha May Kerr,4961.0,Center Forward,16,Chicago Red Stars,761,['41f43e37-15c1-402d-84f7-52dbca64f417'],57,Right Foot,"[119.0, 45.4, 0.5]",,"[{'location': [118.0, 42.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.0, 50.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 50.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 53.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",76df1aab-160e-461b-8083-2856b216b086,,Off T,0.08012953,Normal,Open Play,,,,Chicago Red Stars,761,00:06:57.578,Shot,
,,,,,,,,,,1.065,,,,,,,,,,,76cb1953-3650-4ee2-92b8-12e84906eeac,499,,"[116.0, 24.0]",7485,12,,,,,,,,,,,,,,,,,,,,1,Regular Play,Megan Anna Rapinoe,8298.0,Left Wing,26,OL Reign,760,['552c855d-6167-42b5-b8a7-2c9a87a5e42b'],4,Left Foot,"[119.0, 36.6, 0.5]",,"[{'location': [113.0, 50.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.0, 40.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [113.0, 43.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 37.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [120.0, 39.0], 'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 48.0], 'player': {'id': 6812, 'name': 'Vanessa DiBernardo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [115.0, 41.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 39.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 38.0], 'player': {'id': 6813, 'name': 'Morgan Paige Gautrat'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 30.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 24.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 26.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.0, 26.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",0c4003e9-f763-46bd-bef9-8709584fa852,,Saved,0.013980359,Normal,Open Play,,,,OL Reign,760,00:12:04.095,Shot,
,,,,,,,,,,0.957,,,,,,,,,,,3073a14b-7043-4bcd-b6a2-c3097689a066,607,,"[109.0, 26.0]",7485,14,,,,,,,,,,,,,,,,,,,,1,Regular Play,Megan Anna Rapinoe,8298.0,Left Wing,30,OL Reign,760,"['08f96763-badd-4b1d-b377-2eba089109e8', 'ce7a7102-e23a-41e6-a18d-2d34deccd57e']",24,Left Foot,"[120.0, 35.2, 0.6]",,"[{'location': [109.0, 49.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 42.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.0, 39.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [120.0, 39.0], 'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 55.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 45.0], 'player': {'id': 6813, 'name': 'Morgan Paige Gautrat'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.0, 36.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [87.0, 22.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.0, 44.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 38.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 30.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",579697d7-ad8c-4c53-aea6-3dfb7766a631,,Off T,0.06987346,Normal,Open Play,,,,OL Reign,760,00:14:24.747,Shot,True
,,,,,,,,,,0.541,,,,,,,,,,,1bc8df02-f51e-4fca-90bd-9325ec6ca49b,789,,"[104.0, 20.0]",7485,18,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samantha May Kerr,4961.0,Center Forward,38,Chicago Red Stars,761,"['361e0845-f314-4a4c-bd2f-34d146997a5a', '899f2b10-bb2f-49e0-a53d-dbe625ee82f1']",34,Right Foot,"[108.0, 25.0]",,"[{'location': [106.0, 38.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [118.0, 36.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.0, 29.0], 'player': {'id': 6812, 'name': 'Vanessa DiBernardo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [97.0, 41.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.0, 43.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 37.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 31.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.0, 22.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 24.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [107.0, 23.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",6f1b8d6e-cb80-40ee-985b-ad8296d03a4d,,Blocked,0.010453868,Normal,Open Play,,,,Chicago Red Stars,761,00:18:34.307,Shot,
,,,,,,,,,,0.575,,,,,,,,,,,5a4b1204-0759-4c46-9ffb-c5a6e33e39a6,794,,"[99.0, 30.0]",7485,18,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vanessa DiBernardo,6812.0,Left Midfield,38,Chicago Red Stars,761,"['14b74d59-53dc-4fe0-95c4-02ca3bf7087a', 'b16e1c06-fe32-4812-b982-a026c3c7723b']",36,Left Foot,"[105.0, 29.0]",,"[{'location': [108.0, 45.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.0, 21.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.0, 35.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [119.0, 37.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 43.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 35.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 25.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 28.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [105.0, 27.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 30.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [91.0, 47.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [97.0, 34.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",,,Blocked,0.04713584,Normal,Open Play,,,,Chicago Red Stars,761,00:18:36.238,Shot,
,,,,,,,,,,1.754,,,,,,,,,,,c95a6d9c-c7a3-41b3-b1af-8f50fcce5ddc,931,,"[111.0, 36.0]",7485,21,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jodie Taylor,5002.0,Center Forward,43,OL Reign,760,['130b971b-95bb-4470-80b7-704fe8a8b95d'],5,Left Foot,"[119.0, 41.1, 0.6]",True,"[{'location': [108.0, 56.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [79.0, 16.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 34.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.0, 33.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [97.0, 35.0], 'player': {'id': 6813, 'name': 'Morgan Paige Gautrat'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 52.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 37.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 42.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 33.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 31.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 27.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",adc206f8-c371-4e8f-9e62-02c57a297a81,,Saved,0.34316838,Normal,Open Play,,,,OL Reign,760,00:21:05.134,Shot,
,,,,,,,,,,1.258,,,,,,,,,,,ab2e9f33-1820-497b-9f24-1fdf1cab1f40,1095,,"[97.0, 24.0]",7485,25,,,,,,,,,,,,,,,,,,,,1,From Keeper,Samantha May Kerr,4961.0,Center Forward,55,Chicago Red Stars,761,['b0a2a06b-5c12-4045-b6ea-b805c053e86c'],39,Right Foot,"[117.0, 36.4, 0.2]",,"[{'location': [93.0, 48.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [118.0, 37.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 44.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 31.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 28.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [101.0, 24.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",8ac0c7f2-782e-4f03-ab2a-90fcc9c52600,,Saved,0.025104394,Normal,Open Play,,,,Chicago Red Stars,761,00:25:39.653,Shot,
,,,,,,,,,,4.581,,,,,,,,,,,d89f6e06-e509-4e75-af1c-44aecf0c67c0,1204,,"[86.0, 40.0]",7485,28,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jessica Fishlock,5016.0,Left Midfield,62,OL Reign,760,['3cd9fd23-801e-42cd-965b-5797f8bf4192'],7,Right Foot,"[120.0, 47.7, 0.5]",,"[{'location': [120.0, 43.0], 'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 41.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.0, 30.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [78.0, 23.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [88.0, 32.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [82.0, 49.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [84.0, 49.0], 'player': {'id': 6812, 'name': 'Vanessa DiBernardo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [75.0, 29.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [98.0, 57.0], 'player': {'id': 7179, 'name': 'Casey Marie Krueger'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 46.0], 'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 34.0], 'player': {'id': 4958, 'name': 'Kathleen Naughton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 27.0], 'player': {'id': 4942, 'name': 'Arin Wright'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.0, 26.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [92.0, 37.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [92.0, 42.0], 'player': {'id': 6813, 'name': 'Morgan Paige Gautrat'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",3b9c3f46-dfdf-4708-b717-adaaa6bbe2f2,,Off T,0.030757101,Normal,Open Play,,,,OL Reign,760,00:28:07.504,Shot,
,,,,,,,,,,1.02,,,,,,,,,,,5ab7bec5-cafe-415d-8a33-ecf5b54cc871,1245,,"[98.0, 25.0]",7485,28,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vanessa DiBernardo,6812.0,Left Midfield,63,Chicago Red Stars,761,['8cf52096-eb48-4180-afcd-22dc92cdeae8'],57,Right Foot,"[117.0, 43.2, 1.4]",,"[{'location': [119.0, 38.0], 'player': {'id': 5019, 'name': 'Michelle Betos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 40.0], 'player': {'id': 4963, 'name': 'Yuki Nagasato'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.0, 36.0], 'player': {'id': 4947, 'name': 'Danielle Colaprico'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [97.0, 43.0], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.0, 59.0], 'player': {'id': 4953, 'name': 'Alyssa Mautz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [104.0, 49.0], 'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 39.0], 'player': {'id': 5007, 'name': 'Megan Montefusco'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 42.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 30.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.0, 36.0], 'player': {'id': 5001, 'name': 'Allie Long'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [94.0, 43.0], 'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [94.0, 37.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [90.0, 30.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [101.0, 25.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",648ec4b0-498a-48e3-a2ac-4bb34a6bc0cd,,Saved,0.02442867,Normal,Open Play,,,,Chicago Red Stars,761,00:28:57.373,Shot,
