ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,1.453,,,,,,,,,,,,,f3d172ff-26ca-48ea-9d3e-7bc142bea2da,85,,"[91.0, 51.0]",8650,1,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Kevin De Bruyne,3089.0,Secondary Striker,4,Brazil,781,['ffc22604-56c4-4a69-b9d9-0d629baac0f6'],34,,Right Foot,"[120.0, 34.8, 0.2]",,"[{'location': [100.0, 50.0], 'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [74.0, 21.0], 'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [81.0, 42.0], 'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [85.0, 41.0], 'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [88.0, 36.0], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [88.0, 43.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 47.0], 'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.0, 22.0], 'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.0, 33.0], 'player': {'id': 5838, 'name': 'Fágner Conserva Lemos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 37.0], 'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.0, 47.0], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Off T,0.020460658,Normal,Open Play,,,,Belgium,782,00:01:34.780,Shot,
,,,,,,,,,,0.853,,,,,,,,,,,,,71f2d6d9-43bd-4e1f-8b6b-4e4223a086fd,309,,"[115.0, 39.0]",8650,7,,,,,,,,,,,,,,,,,,,,1,From Corner,Thiago Emiliano da Silva,3295.0,Right Center Back,15,Brazil,781,['d9d0ba36-7182-4241-bac2-a1535a0789af'],12,,Right Foot,"[120.0, 35.8, 1.9]",True,"[{'location': [116.0, 33.0], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.0, 44.0], 'player': {'id': 3202, 'name': 'Gabriel Fernando de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.0, 33.0], 'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [114.0, 16.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [120.0, 3.0], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 30.0], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.0, 33.0], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.0, 41.0], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 35.0], 'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.0, 38.0], 'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",025356b8-56f0-4062-b0f3-ffa4265505a5,,Post,0.27402094,Normal,Open Play,,,,Brazil,781,00:07:12.260,Shot,
,,,,,,,,,,0.173,,,,,,,,,,,,,9d6c1888-c58e-4edf-ba08-92bfbbb270e5,325,,"[106.0, 31.0]",8650,7,,,,,,,,,,,,,,,,,,,,1,Regular Play,Eden Hazard,3621.0,Left Wing,16,Belgium,782,"['2f0f7163-a355-48ca-85b8-c3a4a8c3f162', '6743799f-a53b-4c0c-8c1c-a542595e86d7']",32,,Right Foot,"[109.0, 31.0]",,"[{'location': [116.0, 38.0], 'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 29.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': True}, {'location': [111.0, 33.0], 'player': {'id': 5838, 'name': 'Fágner Conserva Lemos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 44.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.0, 30.0], 'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.0, 16.0], 'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [106.0, 16.0], 'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.0, 30.0], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",a8c6872b-1b4a-4b8a-b1ab-ad9fb816e7f2,,Blocked,0.06590014,Normal,Open Play,,,,Belgium,782,00:07:32.580,Shot,
,,,,,,,,,,1.373,,,,,,,,,,,,,f583182c-edb7-4a44-bc9e-33d8bad10fd1,330,,"[92.0, 29.0]",8650,7,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nacer Chadli,4831.0,Left Center Midfield,16,Belgium,782,['bff02826-6f18-4c00-8ec7-d02af146c385'],35,,Right Foot,"[120.0, 34.4, 0.5]",,"[{'location': [107.0, 42.0], 'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 49.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.0, 58.0], 'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [113.0, 42.0], 'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.0, 25.0], 'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.0, 22.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': True}, {'location': [106.0, 38.0], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 32.0], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [100.0, 44.0], 'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 28.0], 'player': {'id': 5838, 'name': 'Fágner Conserva Lemos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 22.0], 'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [94.0, 42.0], 'player': {'id': 3202, 'name': 'Gabriel Fernando de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [95.0, 27.0], 'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",,,Off T,0.022908047,Normal,Open Play,,,,Belgium,782,00:07:35.460,Shot,
,,,,,,,,,,0.16,,,,,,,,,,,,,c0e302cd-ed83-4209-b355-62a3dd545d72,387,,"[109.0, 46.0]",8650,9,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Paulo Bezzera Maciel Júnior,5542.0,Right Midfield,17,Brazil,781,"['da283d31-4c0b-49a1-9b47-9eb87e654df7', 'dc63dd38-ef33-4d5f-a7e5-fe2ae97cabaf']",12,,Right Foot,"[111.0, 45.0]",True,"[{'location': [111.0, 44.0], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.0, 49.0], 'player': {'id': 3202, 'name': 'Gabriel Fernando de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 62.0], 'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 34.0], 'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 32.0], 'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.0, 56.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [103.0, 51.0], 'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 46.0], 'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [108.0, 48.0], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 49.0], 'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",4235308f-e8a7-48c0-8a5c-bad048190077,,Blocked,0.17421605,Normal,Open Play,,,,Brazil,781,00:09:12.620,Shot,
,,,,,,,,,,0.88,,,,,,,,,,,,,da05f9f4-86b2-4bee-b994-adfb0e7882a2,397,,"[111.0, 37.0]",8650,9,,,,,,,,,,,,,,,,,,,,1,From Corner,José Paulo Bezzera Maciel Júnior,5542.0,Right Midfield,18,Brazil,781,['23075a48-faed-4886-ab0d-25309906b811'],50,,Right Foot,"[115.0, 39.0]",True,"[{'location': [118.0, 48.0], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 33.0], 'player': {'id': 3202, 'name': 'Gabriel Fernando de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.0, 50.0], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.0, 47.0], 'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.0, 62.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [105.0, 36.0], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 35.0], 'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 61.0], 'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.0, 35.0], 'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.0, 50.0], 'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.0, 47.0], 'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 41.0], 'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}]",41eb8b5d-67d8-4d07-ba7b-3cb53aca70ae,,Wayward,0.20371178,Normal,Open Play,,,,Brazil,781,00:09:50.940,Shot,
,,,,,,,,,,0.133,,,,,,,,,,,,,656252c9-1c0c-44d2-aacf-9c65f7d4cee6,508,,"[98.0, 38.0]",8650,12,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marouane Fellaini-Bakkioui,3296.0,Right Center Midfield,21,Belgium,782,"['32ab3c08-4090-4441-a255-1b6769993a96', 'f5f08b60-9e7e-4373-b67e-ccf4d8ad0c56']",5,,Right Foot,"[101.0, 39.0]",,"[{'location': [119.0, 41.0], 'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.0, 13.0], 'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [85.0, 35.0], 'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [87.0, 26.0], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [93.0, 31.0], 'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [93.0, 34.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.0, 28.0], 'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.0, 24.0], 'player': {'id': 5838, 'name': 'Fágner Conserva Lemos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 42.0], 'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 31.0], 'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 37.0], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",35817cc1-699a-427b-80e3-c55277ae53fd,,Blocked,0.078730114,Normal,Open Play,,,,Belgium,782,00:12:05.100,Shot,
,,,,,,,,,,0.58,,,,,,,,,,,,,52a2867e-1d2c-4598-82f5-b0651e709f37,568,,"[115.0, 37.0]",8650,14,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabriel Fernando de Jesus,3202.0,Center Forward,23,Brazil,781,"['0094875c-bfc7-4a11-b801-acff6083b4cb', '732c0f62-fa02-47b3-a149-87bb00e6e594']",38,,Left Foot,"[116.0, 38.0]",True,"[{'location': [115.0, 32.0], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 56.0], 'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [120.0, 26.0], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.0, 31.0], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [118.0, 29.0], 'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [117.0, 26.0], 'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.0, 33.0], 'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 37.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [118.0, 37.0], 'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 47.0], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 37.0], 'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",a52af971-e4cf-4946-848c-60d6f455ac6c,,Blocked,0.27625608,Normal,Open Play,,,,Brazil,781,00:14:38.060,Shot,
,,,,,,,,,,0.773,,,,,,,,,,,,,557dfa2c-a468-427d-9309-284bf0ea96d5,793,,"[96.0, 33.0]",8650,18,,,,,,,,,,,,,,,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Midfield,31,Brazil,781,"['7a3cc7d2-7a13-44e7-b887-d733b3544e18', 'ef24ba6c-d2f5-4313-854a-0d4c16fce7d8']",53,,Right Foot,"[119.0, 39.3, 0.9]",,"[{'location': [99.0, 20.0], 'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.0, 32.0], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.0, 41.0], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.0, 26.0], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.0, 46.0], 'player': {'id': 3202, 'name': 'Gabriel Fernando de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.0, 59.0], 'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.0, 32.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [95.0, 29.0], 'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 29.0], 'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [105.0, 47.0], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 41.0], 'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.0, 36.0], 'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 23.0], 'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",dc246c8f-86d9-443d-92e8-9a937ccc23a8,,Saved,0.06166237,Normal,Open Play,,,,Brazil,781,00:18:53.340,Shot,True
,,,,,,,,,,0.813,,,,,,,,,,,,,2b690d7f-9ca9-4489-8a13-969c08a7fb00,1056,,"[99.0, 18.0]",8650,25,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marcelo Vieira da Silva Júnior,5552.0,Left Back,44,Brazil,781,['d530134f-2326-46c2-83cf-22cb2ef84dce'],19,,Left Foot,"[117.0, 37.6, 0.3]",,"[{'location': [105.0, 31.0], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [89.0, 16.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [103.0, 38.0], 'player': {'id': 3202, 'name': 'Gabriel Fernando de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.0, 7.0], 'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.0, 60.0], 'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.0, 38.0], 'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 17.0], 'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.0, 27.0], 'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [86.0, 34.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [92.0, 49.0], 'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.0, 51.0], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 38.0], 'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 18.0], 'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",3deb45e7-c832-46dd-91fa-20764cb0ecf6,,Saved,0.011753061,Normal,Open Play,,,,Brazil,781,00:25:19.980,Shot,
